geo,time,per_si_allsi_cov_q3_tot
afg,2007,0.25759
ago,2018,3.19375
alb,2008,50.21153
alb,2012,34.30398
arg,2006,25.36343
arg,2010,36.8174
arg,2011,27.20829
arg,2012,26.68239
arg,2013,35.50274
arg,2014,31.64684
arg,2016,36.91883
arg,2017,37.33661
arg,2018,36.75523
arg,2019,35.80908
arm,2008,47.96641
arm,2009,49.65948
arm,2010,52.37435
arm,2011,52.26012
arm,2012,55.14452
arm,2013,51.39872
arm,2014,52.16713
arm,2015,51.18824
arm,2016,49.45662
arm,2017,56.99072
arm,2018,54.23652
aze,2015,49.58044
ben,2003,6.61651
bfa,2014,0.9909
bfa,2018,1.07549
bgd,2005,1.33319
bgd,2010,1.11041
bgd,2016,0.61764
bgr,2007,52.8858
bih,2007,41.91881
bih,2015,41.48793
blr,2008,45.64449
blr,2009,46.41644
blr,2010,45.72921
blr,2012,52.94092
blr,2013,48.25479
blr,2014,46.2366
blr,2015,47.97779
blr,2016,53.82876
blr,2017,51.99088
blr,2018,52.59639
blr,2019,48.80305
blz,2009,27.00897
bol,2006,5.40846
bol,2007,4.53101
bol,2008,6.15378
bol,2009,10.13422
bol,2011,8.07024
bol,2012,8.45983
bol,2014,7.41746
bol,2015,5.78866
bol,2016,6.96672
bol,2017,6.7245
bol,2018,6.1157
bol,2019,5.87297
bra,2006,33.32686
bra,2009,32.64509
bra,2011,33.23947
bra,2012,33.95959
bra,2015,35.92024
bra,2016,33.69765
bra,2017,33.6331
bra,2018,34.32284
bra,2019,34.23278
btn,2007,1.39488
btn,2012,0.75751
btn,2017,0.85274
bwa,2015,3.18699
chl,2006,35.65148
chl,2009,45.49059
chl,2011,27.68321
chl,2013,50.42233
chl,2015,47.13015
chl,2017,50.7053
chn,2013,32.91416
civ,2002,20.10797
civ,2008,7.67287
civ,2015,7.23972
cmr,2007,2.10411
cmr,2014,3.44018
cod,2004,0.96426
cod,2012,1.29414
cog,2005,10.25696
col,2010,6.36613
col,2011,4.98909
col,2012,4.39492
col,2014,6.0154
col,2015,7.51997
col,2016,7.77679
col,2017,6.94965
col,2018,7.44407
col,2019,7.26276
com,2004,2.68253
cpv,2007,5.83633
cri,2008,13.04863
cri,2009,20.13834
cri,2010,13.56614
cri,2011,13.62836
cri,2012,14.15666
cri,2014,15.10293
cri,2015,16.51515
cri,2016,17.63049
cri,2017,17.91831
cri,2018,17.94973
cri,2019,19.09618
dji,2012,10.4667
dma,2002,15.03048
dom,2007,4.76463
dom,2008,3.72765
dom,2009,5.66942
dom,2010,4.29158
dom,2011,5.21598
dom,2012,5.8831
dom,2013,7.44389
dom,2014,6.84602
dom,2015,5.66372
dom,2016,8.25735
dom,2017,4.01376
dom,2018,5.29638
dom,2019,4.86835
ecu,2008,5.4434
ecu,2010,7.03316
ecu,2011,5.71472
ecu,2012,7.26856
ecu,2014,7.73253
ecu,2015,8.79048
ecu,2016,8.42885
ecu,2017,9.48955
ecu,2018,10.39697
ecu,2019,10.12867
egy,2008,18.69539
eth,2015,1.79604
eth,2018,1.04935
fji,2008,5.47146
fji,2013,7.0152
fsm,2000,22.65936
gab,2005,13.8227
gha,2005,4.63084
gha,2012,61.68579
gha,2016,46.04636
gin,2012,1.8472
gmb,1998,2.32341
gmb,2010,0.57972
gmb,2015,0.58664
gtm,2006,3.58076
gtm,2011,1.60472
gtm,2014,2.15194
hnd,2008,1.17129
hnd,2009,1.39246
hnd,2010,1.99336
hnd,2011,1.24168
hnd,2013,1.40686
hnd,2015,1.22264
hnd,2016,1.50678
