geo,time,dt_dod_dpng_cd
afg,2015,19000000
afg,2016,15000000
afg,2017,16000000
afg,2018,21543000
afg,2019,21293000
afg,2020,17748000
ago,2009,3158155000
ago,2010,5263592000
ago,2011,8772654000
ago,2012,5782766000
ago,2013,5375902000
ago,2014,4848215000
ago,2015,9337097000
ago,2016,11604367000
ago,2017,12740755000
ago,2018,11501583000
ago,2019,12035553000
ago,2020,10774129000
alb,1998,18000000
alb,1999,16000000
alb,2000,16000000
alb,2001,12000000
alb,2002,12345000
alb,2003,9762000
alb,2004,34019000
alb,2005,440731000
alb,2006,393592000
alb,2007,507859000
alb,2008,661492000
alb,2009,906257000
alb,2010,1353899000
alb,2011,1910112000
alb,2012,2259682000
alb,2013,3208755000
alb,2014,2948521000
alb,2015,2772934000
alb,2016,2721521000
alb,2017,3085498000
alb,2018,2942455000
alb,2019,4059619000
alb,2020,4284005000
arg,1970,3291000000
arg,1971,3410000000
arg,1972,3461000000
arg,1973,3432000000
arg,1974,3460000000
arg,1975,3457000000
arg,1976,3298000000
arg,1977,3267000000
arg,1978,3102000000
arg,1979,5438800000
arg,1980,6593000000
arg,1981,12166000000
arg,1982,11227000000
arg,1983,10393000000
arg,1984,10340000000
arg,1985,4575000000
arg,1986,4341000000
arg,1987,1853000000
arg,1988,1800000000
arg,1989,1800000000
arg,1990,1800000000
arg,1991,1800000000
arg,1992,2244000000
arg,1993,6369425000
arg,1994,13123172000
arg,1995,16066427000
arg,1996,19068321000
arg,1997,23410631000
arg,1998,27865489000
arg,1999,27319463000
arg,2000,25909346000
arg,2001,31628070000
arg,2002,28479000000
arg,2003,28386742000
arg,2004,23810501000
arg,2005,26360824000
arg,2006,26810522000
arg,2007,30028062000
arg,2008,38898788000
arg,2009,35445519000
arg,2010,37934276170
arg,2011,42499350630
arg,2012,40943426000
arg,2013,40536224000
arg,2014,40703142000
arg,2015,42130407000
arg,2016,31303350000
arg,2017,39295205000
arg,2018,43531058000
arg,2019,46463834000
arg,2020,43097375000
arm,2001,360880000
arm,2002,358770000
arm,2003,367650000
arm,2004,381430000
arm,2005,445510000
arm,2006,496140000
arm,2007,998650000
arm,2008,1372510000
arm,2009,1302493000
arm,2010,2215595000
arm,2011,2804624000
arm,2012,2927712000
arm,2013,3495282000
arm,2014,3697562000
arm,2015,3633134000
arm,2016,3784493000
arm,2017,3582608000
arm,2018,3770226000
arm,2019,4262488000
arm,2020,5229110000
aze,1998,72338500
aze,1999,108496805.2
aze,2000,98632996.9
aze,2001,95180400
aze,2002,72487192.7
aze,2003,76412763
aze,2004,230222142
aze,2005,187239624.6
aze,2006,103833597
aze,2007,143007154.5
aze,2008,326849095.2
aze,2009,313823185.2
aze,2010,2158024150.2
aze,2011,2616442359.2
aze,2012,2752361527.8
aze,2013,2142357531.3
aze,2014,1448486084.8
aze,2015,2846856667.7
aze,2016,2363097647
aze,2017,1937439107.3
aze,2018,1471373665
aze,2019,1034859562.2
aze,2020,1138210657.2
bfa,2007,489000
bfa,2008,1075000
bfa,2009,1778000
bfa,2010,2622000
bfa,2011,3636000
bfa,2012,4851000
bfa,2013,6310000
bfa,2014,7701000
bfa,2015,9932000
bfa,2016,7392000
bfa,2017,9611000
bfa,2018,7311000
bfa,2019,5475000
bfa,2020,5271000
bgd,2007,145400000
bgd,2008,421660000
bgd,2009,785160000
bgd,2010,1075960000
bgd,2011,1454000000
bgd,2012,1789150000
bgd,2013,2190812000
bgd,2014,3108674000
bgd,2015,3345972000
bgd,2016,3092904000
bgd,2017,3395368000
bgd,2018,5237788000
bgd,2019,4900650000
bgd,2020,5625101000
bgr,1995,342000000
bgr,1996,413000000
bgr,1997,423781000
bgr,1998,553704000
bgr,1999,690716000
bgr,2000,768624000
bgr,2001,781798000
bgr,2002,1110797000
bgr,2003,1825796000
bgr,2004,3807107000
bgr,2005,7456541000
bgr,2006,13560586000
bgr,2007,23552775000
bgr,2008,28959841000
bgr,2009,31848004000
bgr,2010,29768368000
bgr,2011,29277180000
bgr,2012,30852416000
bgr,2013,32661622000
bgr,2014,29139390000
bgr,2015,21978048000
bgr,2016,19513272000
bgr,2017,18952849000
bgr,2018,18201875000
bgr,2019,18575691000
bgr,2020,18664687000
bih,1999,3014000
bih,2000,662513000
bih,2001,707457000
bih,2002,621642000
bih,2003,1896478000
bih,2004,2434731000
bih,2005,3532447000
bih,2006,4682290000
bih,2007,7180021000
bih,2008,8906832000
bih,2009,8440337000
bih,2010,8638340000
bih,2011,6376561000
bih,2012,6777203000
bih,2013,7121446000
bih,2014,6677915000
bih,2015,5782015000
bih,2016,5817655000
bih,2017,7314177000
bih,2018,7102833000
bih,2019,7598279000
bih,2020,7776594000
blr,2000,98200000
blr,2001,281700000
blr,2002,464600000
blr,2003,520800000
blr,2004,339400000
blr,2005,484679000
blr,2006,783564000
blr,2007,1125134000
blr,2008,1588516000
blr,2009,3311299000
blr,2010,4471220000
