geo,time,se_prm_enrl
abw,1999,9096
abw,2000,9263
abw,2001,9436
abw,2002,9840
abw,2003,9897
abw,2004,10185
abw,2005,10250
abw,2006,10390
abw,2007,10346
abw,2008,10012
abw,2009,9944
abw,2010,9858
abw,2011,9112
abw,2012,8888
abw,2013,9803
abw,2014,9816
afg,1970,540685
afg,1971,572933
afg,1972,597509
afg,1973,624374
afg,1974,654209
afg,1975,692342
afg,1976,729667
afg,1977,764175
afg,1978,810657
afg,1980,959583
afg,1981,1024741
afg,1982,365458
afg,1984,447351
afg,1985,479150
afg,1986,512809
afg,1988,651622
afg,1989,622135
afg,1990,622513
afg,1991,627888
afg,1993,786532
afg,1994,1161444
afg,1995,1312197
afg,1998,1046338
afg,1999,875605
afg,2000,749360
afg,2001,773623
afg,2002,2667629
afg,2003,3781015
afg,2004,4430142
afg,2005,4318819
afg,2006,4669110
afg,2007,4718077
afg,2008,4974836
afg,2009,4945632
afg,2010,5279326
afg,2011,5291624
afg,2012,5767543
afg,2013,5986268
afg,2014,6217756
afg,2015,6199329
afg,2016,6265011
afg,2017,6350404
afg,2018,6544906
afg,2019,6777785
ago,1971,434370
ago,1972,485955
ago,1973,516131
ago,1974,576420
ago,1980,1420839
ago,1981,1300673
ago,1982,1258858
ago,1983,1178430
ago,1984,1065025
ago,1985,870410
ago,1986,974498
ago,1987,1012303
ago,1988,1031314
ago,1989,1067906
ago,1990,1041126
ago,1991,990155
ago,1992,989444
ago,1998,1342116
ago,2007,3558605
ago,2008,3930051
ago,2009,4046266
ago,2010,4273006
ago,2011,5026803
ago,2015,5620915
alb,1976,293723
alb,1978,284644
alb,1979,280593
alb,1980,272277
alb,1981,269016
alb,1982,267850
alb,1983,267200
alb,1984,270990
alb,1985,272935
alb,1986,274660
alb,1987,272585
alb,1988,271728
alb,1989,275426
alb,1990,278446
alb,1991,284616
alb,1992,281770
alb,1993,279500
alb,1994,288092
alb,1995,295137
alb,1996,301051
alb,1997,303632
alb,1998,299164
alb,1999,292070
alb,2000,283249
alb,2001,274233
alb,2002,263603
alb,2003,252829
alb,2004,240487
alb,2005,237975
alb,2006,222402
alb,2007,210125
alb,2008,199454
alb,2009,236102
alb,2010,224781
alb,2011,215660
alb,2012,206617
alb,2013,198897
alb,2014,195720
alb,2015,188371
alb,2016,179564
alb,2017,174836
alb,2018,170861
alb,2019,167104
alb,2020,162170
and,1975,2185
and,1983,3453
and,2002,4108
and,2003,4142
and,2004,4264
and,2005,4085
and,2006,4332
and,2007,4427
and,2008,4492
and,2009,4474
and,2010,4367
and,2011,4263
and,2012,4130
and,2013,4068
and,2014,4065
and,2015,4164
and,2016,4248
and,2017,4263
and,2018,4325
and,2019,4322
and,2020,4246
are,1971,22009
are,1972,26130
are,1973,30495
are,1974,34731
are,1975,40229
are,1976,52207
are,1977,60742
are,1978,67058
are,1979,72627
are,1980,80470
are,1981,88617
are,1982,103937
are,1983,115211
are,1984,126726
are,1985,137700
are,1986,152125
are,1987,165463
are,1988,180270
are,1989,197869
are,1990,215532
are,1991,228980
are,1992,231674
are,1993,238469
are,1994,251182
are,1995,262628
are,1996,260919
are,1997,259509
are,1998,262653
are,1999,270486
are,2000,273144
are,2001,280248
are,2002,285744
are,2003,248370
are,2004,254602
are,2005,262807
are,2006,272331
are,2007,284034
are,2009,304250
are,2010,326588
are,2011,334956
are,2012,364017
are,2013,376649
are,2014,409776
are,2015,460975
are,2016,467723
are,2017,486086
are,2019,553678
are,2020,462333
arg,1970,3385790
arg,1971,3443669
arg,1972,3464437
arg,1973,3485495
arg,1974,3544591
arg,1975,3571180
arg,1976,3600659
arg,1977,3680185
arg,1978,3726748
arg,1979,3819440
arg,1980,3917449
arg,1981,4054374
arg,1982,4197372
arg,1984,4430513
arg,1985,4589291
arg,1986,4778264
arg,1987,4906907
arg,1988,4998963
arg,1990,4965396
arg,1991,5043792
arg,1994,5180713
arg,1996,5250329
arg,1997,5153256
arg,1998,4665761
arg,1999,4823808
arg,2000,4900956
arg,2001,4950674
arg,2002,4986758
arg,2003,4885664
arg,2004,4923075
arg,2005,4872889
arg,2006,4928319
arg,2007,4951505
arg,2008,4975520
arg,2009,4961821
arg,2010,4947105
arg,2011,4911776
arg,2012,4871157
arg,2013,4791544
arg,2014,4780105
arg,2015,4784446
arg,2016,4775782
arg,2017,4753843
arg,2018,4776452
arg,2019,4800419
arm,1991,221874
arm,1992,215226
arm,1993,221154
arm,1994,266076
arm,1995,252302
arm,1996,252458
arm,1997,256624
arm,1998,255976
arm,1999,255943
arm,2000,180306
arm,2001,176302
arm,2002,155423
arm,2003,143822
arm,2004,134664
arm,2005,125149
arm,2006,121502
arm,2007,127546
arm,2008,121841
arm,2009,114528
arm,2010,101819
arm,2011,136716
arm,2012,138470
arm,2013,140638
arm,2014,142517
arm,2015,144549
arm,2016,148481
arm,2017,152134
arm,2018,153415
arm,2019,154409
arm,2020,154905
asm,1971,8100
asm,1972,7113
asm,1973,7081
asm,1974,6904
asm,1975,7013
asm,1976,7022
asm,1977,6778
asm,1978,6307
asm,1982,6744
asm,1983,6845
asm,1984,7227
asm,1985,7650
asm,1986,7704
asm,1987,7812
asm,1988,8042
asm,1989,8308
asm,1990,8574
asm,1991,8200
asm,1992,7884
atg,1971,9668
atg,1972,11852
atg,1974,11216
atg,1975,10939
atg,1976,11340
atg,1977,10912
atg,1978,10159
atg,1979,9557
atg,1984,11394
atg,1992,9298
atg,1995,10727
atg,2000,13025
atg,2007,11569
atg,2008,11562
atg,2009,11276
atg,2010,11254
atg,2011,10855
atg,2012,10453
atg,2014,10172
atg,2015,10077
atg,2017,9946
atg,2018,10123
aus,1971,1685671
aus,1972,1682318
aus,1973,1672939
aus,1974,1596281
aus,1975,1632716
aus,1976,1638955
aus,1977,1671517
aus,1978,1699306
aus,1979,1711232
aus,1980,1718352
aus,1981,1711037
aus,1982,1690779
aus,1983,1650567
aus,1984,1605258
aus,1985,1542101
aus,1986,1520210
aus,1987,1514575
aus,1988,1529781
aus,1989,1555230
aus,1990,1583024
aus,1991,1605720
aus,1992,1623012
aus,1993,1633797
aus,1994,1639577
aus,1995,1833681
aus,1996,1848169
aus,1997,1855789
aus,1998,1869852
aus,1999,1885341
aus,2000,1905951
aus,2001,1914395
aus,2002,1933765
aus,2003,1931817
aus,2004,1934549
aus,2005,1934941
aus,2006,1938861
aus,2007,1973456
aus,2008,1977837
aus,2009,1991715
aus,2010,2015017
aus,2011,2042081
aus,2012,2083119
aus,2013,2127730
aus,2014,2168531
aus,2015,2140571
aus,2016,2179689
aus,2017,2216779
aus,2018,2247875
aus,2019,2263884
aut,1971,531934
aut,1972,534895
aut,1973,528541
aut,1974,520761
aut,1975,513027
aut,1976,501843
aut,1977,492723
aut,1978,466933
aut,1979,445103
aut,1980,420935
aut,1981,400397
aut,1982,384986
aut,1983,367691
aut,1984,354479
aut,1985,342779
aut,1986,343823
aut,1987,343013
aut,1988,350734
aut,1989,360542
aut,1990,367006
aut,1991,370210
aut,1992,378676
