geo,time,se_prm_enrl
aut,1993,382663
aut,1994,381628
aut,1995,381363
aut,1996,382005
aut,1997,381927
aut,1998,385309
aut,1999,388777
aut,2000,392407
aut,2001,392339
aut,2002,386484
aut,2003,379920
aut,2004,372963
aut,2005,362822
aut,2006,355293
aut,2007,347249
aut,2008,337448
aut,2009,331565
aut,2010,328015
aut,2011,326351
aut,2012,326955
aut,2013,327187
aut,2014,327246.84375
aut,2015,327816.84375
aut,2016,329031.5
aut,2017,334933.15625
aut,2018,339021.84375
aut,2019,342064
aze,1981,473298
aze,1986,487748
aze,1989,487053
aze,1990,503598
aze,1991,517889
aze,1992,529264
aze,1993,544073
aze,1994,576197
aze,1995,600315
aze,1996,689756
aze,1997,710389
aze,1998,702068
aze,1999,691259
aze,2000,700136
aze,2001,693760
aze,2002,668902
aze,2003,635652
aze,2004,607007
aze,2005,568097
aze,2006,537653
aze,2007,512317
aze,2008,496697
aze,2009,490242
aze,2010,481551
aze,2011,482773
aze,2012,491479
aze,2013,498237
aze,2014,517708
aze,2015,551118
aze,2016,580980
aze,2017,607391
aze,2018,635153
aze,2019,645392
aze,2020,651258
bdi,1971,181758
bdi,1972,179286
bdi,1973,136972
bdi,1974,126724
bdi,1975,129518
bdi,1976,129597
bdi,1977,131338
bdi,1978,142234
bdi,1979,145782
bdi,1980,159729
bdi,1981,175856
bdi,1982,206408
bdi,1983,258927
bdi,1984,301278
bdi,1985,343027
bdi,1986,385936
bdi,1987,452424
bdi,1988,532935
bdi,1989,568057
bdi,1990,596088
bdi,1991,633203
bdi,1992,631039
bdi,1993,651086
bdi,1995,529634
bdi,1996,426535
bdi,1997,453746
bdi,1998,554981
bdi,1999,670882
bdi,2000,704785
bdi,2001,750699
bdi,2002,817171
bdi,2003,894859
bdi,2004,968488
bdi,2005,1036859
bdi,2006,1324937
bdi,2007,1490844
bdi,2008,1603116
bdi,2009,1739450
bdi,2010,1849861
bdi,2011,1946371
bdi,2012,1980846
bdi,2013,2009800
bdi,2014,2046794
bdi,2015,2072408
bdi,2016,2110429
bdi,2017,2126173
bdi,2018,2170884
bdi,2019,2212532
bdi,2021,2302280
bel,1971,1021511
bel,1972,1014802
bel,1973,955920
bel,1974,968689
bel,1975,955255
bel,1976,941941
bel,1977,923677
bel,1978,902627
bel,1979,878385
bel,1980,861746
bel,1981,842117
bel,1982,821059
bel,1983,780408
bel,1984,758663
bel,1985,739522
bel,1986,730288
bel,1987,727647
bel,1988,728718
bel,1989,727060
bel,1990,722811
bel,1991,719372
bel,1992,711521
bel,1993,739093
bel,1994,736782
bel,1995,738768
bel,1996,742796
bel,1999,762734
bel,2000,773742
bel,2001,771889
bel,2002,767787
bel,2003,761730
bel,2004,747111
bel,2005,738580
bel,2006,732808
bel,2007,732411
bel,2008,733052
bel,2009,731603
bel,2010,731761
bel,2011,736062
bel,2012,744331
bel,2013,764137
bel,2014,773568
bel,2015,782606
bel,2016,797390
bel,2017,814974
bel,2018,821236
bel,2019,823109
ben,1971,155255
ben,1972,173897
ben,1973,197851
ben,1974,203795
ben,1975,244032
ben,1976,259880
ben,1977,279673
ben,1978,293648
ben,1979,338948
ben,1980,357348
ben,1981,379926
ben,1982,404297
ben,1983,428185
ben,1984,429190
ben,1985,444232
ben,1986,444163
ben,1987,462120
ben,1988,470277
ben,1989,482451
ben,1990,418272
ben,1991,490129
ben,1992,534810
ben,1993,599830
ben,1994,624778
ben,1995,677900
ben,1996,722161
ben,1997,784887
ben,1998,843340
ben,1999,872217
ben,2000,932424
ben,2001,1054936
ben,2002,1152798
ben,2003,1233214
ben,2004,1319648
ben,2005,1318140
ben,2006,1356818
ben,2008,1601146
ben,2009,1719390
ben,2010,1787940
ben,2011,1869379
ben,2012,1987182
ben,2013,2064031
ben,2014,2133330
ben,2015,2238185
ben,2016,2267835
ben,2017,2251555
ben,2018,2223966
ben,2019,2180896
ben,2020,2182724
bfa,1971,105351
bfa,1972,112047
bfa,1973,117581
bfa,1974,124966
bfa,1975,133614
bfa,1976,141177
bfa,1977,149270
bfa,1978,159948
bfa,1979,170721
bfa,1980,184829
bfa,1981,201595
bfa,1982,223843
bfa,1983,250628
bfa,1984,276732
bfa,1985,313520
bfa,1986,351807
bfa,1987,390414
bfa,1988,411907
bfa,1989,443328
bfa,1990,472979
bfa,1991,504414
bfa,1992,530013
bfa,1993,562644
bfa,1994,600032
bfa,1995,650195
bfa,1996,700995
bfa,1998,777691
bfa,1999,816393
bfa,2000,852160
bfa,2001,901291
bfa,2002,938238
bfa,2003,1012150
bfa,2004,1139512
bfa,2005,1270837
bfa,2006,1390571
bfa,2007,1561258
bfa,2008,1742439
bfa,2009,1906279
bfa,2010,2047630
bfa,2011,2205295
bfa,2012,2344031
bfa,2013,2466379
bfa,2014,2594024
bfa,2015,2706803
bfa,2016,2873049
bfa,2017,3040802
bfa,2018,3206060
bfa,2019,3233784
bfa,2020,3240347
bgd,1970,5283787
bgd,1971,5040003
bgd,1972,6416954
bgd,1973,7793907
bgd,1974,7747559
bgd,1975,8349834
bgd,1976,8674004
bgd,1977,8227950
bgd,1978,8219313
bgd,1979,8235237
bgd,1980,8240169
bgd,1981,8285807
bgd,1982,8400000
bgd,1983,8808028
bgd,1984,8915442
bgd,1985,8920292
bgd,1986,9115554
bgd,1987,9206710
bgd,1988,11075476
bgd,1989,11285445
bgd,1990,11939949
bgd,2005,16219478
bgd,2006,16396870
bgd,2007,16312907
bgd,2008,16001605
bgd,2009,16539389
bgd,2010,16987106
bgd,2017,17251350
bgd,2018,17338100
bgd,2020,17603840
bgr,1971,542445
bgr,1972,528247
bgr,1973,514002
bgr,1974,501299
bgr,1975,484590
bgr,1976,495645
bgr,1977,507375
bgr,1978,522639
bgr,1979,528362
bgr,1980,521279
bgr,1981,523156
bgr,1982,543644
bgr,1983,556037
bgr,1984,571611
bgr,1985,579356
bgr,1986,567615
bgr,1987,570809
bgr,1988,552520
bgr,1989,529094
bgr,1990,478887
bgr,1991,455888
bgr,1992,439637
bgr,1993,429594
bgr,1994,423818
bgr,1995,425286
bgr,1996,433926
bgr,1997,431790
bgr,1998,425511
bgr,1999,411726
bgr,2000,392876
bgr,2001,374361
bgr,2002,349616
bgr,2003,333016
bgr,2004,314221
bgr,2005,290017
bgr,2006,273045
bgr,2007,267584
bgr,2008,262701
bgr,2009,261007
bgr,2010,260340
bgr,2011,255086
bgr,2012,252372
bgr,2013,253675
bgr,2014,258840
bgr,2015,261793
bgr,2016,261969
bgr,2017,264503
bgr,2018,262735
bgr,2019,256857
bhr,1971,38711
bhr,1972,39609
bhr,1973,40530
bhr,1974,41631
bhr,1975,43965
bhr,1976,44857
bhr,1977,45694
bhr,1978,46326
bhr,1979,47825
bhr,1980,48672
bhr,1981,48451
bhr,1982,49298
bhr,1983,50217
bhr,1984,53575
bhr,1985,55496
bhr,1986,57330
bhr,1987,58488
bhr,1988,60605
bhr,1989,63179
bhr,1990,64000
bhr,1991,66597
bhr,1992,66694
bhr,1993,68898
bhr,1994,70513
bhr,1995,72329
bhr,1996,72526
bhr,1997,72876
bhr,1998,74058
bhr,1999,76302
bhr,2000,77720
bhr,2001,79407
bhr,2002,81057
bhr,2003,81887
bhr,2004,82708
bhr,2005,83299
bhr,2006,89721
bhr,2011,93038
bhr,2012,95524
bhr,2013,99702
bhr,2014,103806
bhr,2015,108154
bhr,2016,112179
bhr,2017,113470
bhr,2018,113878
bhr,2019,115819
bhs,1971,32142
bhs,1972,32174
bhs,1973,30998
bhs,1974,31441
bhs,1975,31727
bhs,1976,31707
bhs,1977,31928
bhs,1978,32315
bhs,1979,32123
bhs,1980,31842
bhs,1981,32854
bhs,1982,32687
bhs,1983,32664
bhs,1984,30570
bhs,1985,32914
bhs,1986,32848
bhs,1990,32899
bhs,1991,32873
bhs,1992,33374
bhs,1993,33917
bhs,1994,33343
bhs,1995,33175
bhs,1996,34378
bhs,1997,33512
bhs,1998,33999
bhs,1999,33780
bhs,2002,34153
bhs,2004,36070
bhs,2005,37050
bhs,2006,35921
bhs,2007,37122
bhs,2008,36833
bhs,2009,34865
bhs,2010,33977
bhs,2011,36347
bhs,2012,34283
bhs,2013,31520
bhs,2014,31705
bhs,2015,32719
bhs,2016,30655
bhs,2018,29504
bih,2007,198800
bih,2008,181917
bih,2009,173647
bih,2010,175271
bih,2011,170842
bih,2012,166620
bih,2013,162528
bih,2014,161023
bih,2015,162629
bih,2016,161560
bih,2017,161483
bih,2018,159380
bih,2019,157304
bih,2020,152333
blr,1971,946400
blr,1972,912300
blr,1973,876500
blr,1974,836623
blr,1975,801428
blr,1976,768582
blr,1977,741733
blr,1978,727422
blr,1979,721800
blr,1980,733100
blr,1981,747700
blr,1982,762800
blr,1983,772300
blr,1984,780800
blr,1985,787300
blr,1986,794300
blr,1987,837300
blr,1988,846400
blr,1989,852300
blr,1990,868000
blr,1991,614800
blr,1992,620100
blr,1993,635100
blr,1994,634600
blr,1995,636300
blr,1996,632100
blr,1997,625000
blr,1998,614700
blr,1999,632083
blr,2000,599732
blr,2001,560931
blr,2002,511863
blr,2003,437005
blr,2004,403841
blr,2005,379577
blr,2006,367736
blr,2007,361493
blr,2008,362304
blr,2009,362110
blr,2010,357796
blr,2011,353801
blr,2012,351780
blr,2013,355634
blr,2014,368783
blr,2015,387051
blr,2016,410487
blr,2017,423001
blr,2018,427752
blz,1971,25102
blz,1972,25166
blz,1973,25575
blz,1974,25901
blz,1976,25924
blz,1977,26534
blz,1978,27024
blz,1980,28041
blz,1981,27932
blz,1982,28546
blz,1983,29120
blz,1984,30652
blz,1985,30994
blz,1986,31418
blz,1987,32550
blz,1988,33370
blz,1989,34155
blz,1990,35754
blz,1991,37377
blz,1992,38084
blz,1993,39220
blz,1994,40584
blz,1995,41423
blz,1996,42787
blz,1997,42863
blz,1999,44180
blz,2000,44788
blz,2001,45246
blz,2002,44430
blz,2003,47187
blz,2004,48996
blz,2005,50247
blz,2006,51497
blz,2007,51898
blz,2008,51994
blz,2009,52629
blz,2010,52650
blz,2011,52361
blz,2012,53605
blz,2013,52573
blz,2014,51978
blz,2015,52072
blz,2016,52333
blz,2017,51512
blz,2018,50764
blz,2019,50388
blz,2020,49449
bmu,1971,7986
bmu,1972,7750
bmu,1973,7398
bmu,1974,7185
bmu,1975,6919
bmu,1976,6808
bmu,1977,6614
bmu,1978,6466
bmu,1979,5961
bmu,1980,5986
bmu,1981,5934
bmu,1982,5881
bmu,1983,5750
bmu,1984,5530
bmu,1985,5398
bmu,1995,5962
bmu,1997,5883
bmu,2001,4959
bmu,2002,4910
bmu,2003,4879
bmu,2004,4810
bmu,2005,4760
bmu,2006,4678
bmu,2010,4473
bmu,2011,4347
bmu,2012,4216
bmu,2013,4122
bmu,2014,4100
bmu,2015,4147
bol,1970,609174
bol,1971,620865
bol,1972,646341
bol,1973,679557
bol,1974,710943
bol,1975,760956
bol,1976,795508
bol,1977,790081
bol,1978,816377
bol,1979,847777
bol,1980,856933
bol,1981,889615
bol,1983,950896
bol,1984,1023633
bol,1986,1043770
bol,1987,1129846
bol,1989,1057479
bol,1990,1097661
bol,1991,1133818
bol,1992,1156679
bol,1993,1189774
bol,1994,1236316
bol,1995,1287601
bol,1996,1326463
bol,1997,1365325
bol,1998,1400205
bol,1999,1444879
bol,2000,1461816
bol,2001,1469558
bol,2002,1497204
bol,2003,1494321
bol,2004,1504493
bol,2005,1512676
bol,2006,1508194
bol,2007,1512002
bol,2008,1508389
bol,2009,1469495
bol,2010,1444023
bol,2011,1400598
bol,2012,1373868
bol,2013,1360090
bol,2014,1345789
bol,2015,1345182
bol,2016,1354038
bol,2017,1368580
bol,2018,1379099
bol,2019,1386544
bra,1970,12812029
bra,1971,13623388
bra,1972,13676582
bra,1973,13995216
bra,1974,14009392
bra,1975,13924849
bra,1976,13524834
bra,1977,14163728
bra,1978,14814043
bra,1979,15719836
bra,1980,16089731
bra,1981,15984805
bra,1982,16694572
bra,1983,16378400
bra,1984,17488900
bra,1985,17331576
bra,1987,17568716
bra,1988,18822708
bra,1989,18409050
bra,1990,20312240
bra,1991,19002864
bra,1992,19231504
bra,1993,19410184
bra,1994,19930484
bra,1997,20568128
bra,1999,20939076
bra,2000,20211506
bra,2001,19727684
bra,2002,19380388
bra,2003,18919122
bra,2004,18979208
bra,2005,18661104
bra,2007,17996084
bra,2008,17812436
bra,2009,17451886
bra,2010,16893490
bra,2011,16486880
bra,2012,16134889
bra,2013,16760693
bra,2014,16630217
bra,2015,16299166
bra,2016,16118565
bra,2017,16106812
bra,2018,15951913
bra,2019,15690307
brb,1971,39006
brb,1972,37486
brb,1973,36712
brb,1974,34120
brb,1975,34138
brb,1976,32884
brb,1977,33989
brb,1978,34324
brb,1979,34536
brb,1980,31299
brb,1981,31147
brb,1982,30728
brb,1983,30337
brb,1984,30907
brb,1985,30161
brb,1989,29584
brb,1990,28516
brb,1992,26662
brb,1999,24792
brb,2000,24475
brb,2001,24225
brb,2002,23394
brb,2003,23074
brb,2004,22327
brb,2005,22249
brb,2006,22461
brb,2007,22584
brb,2008,22849
brb,2009,22727
brb,2010,22659
brb,2011,22509
brb,2014,21171
brb,2015,20909
brb,2016,20731
brb,2017,20384
brb,2018,20218
brb,2019,19895
brb,2020,19242
brn,1970,27941
brn,1971,29692
brn,1972,30652
brn,1973,30772
brn,1974,30747
brn,1975,30109
brn,1976,30824
brn,1977,32188
brn,1978,33053
brn,1979,29934
brn,1980,30513
brn,1981,31677
brn,1982,31682
brn,1983,32771
brn,1984,34373
brn,1985,34815
brn,1986,36983
brn,1987,36861
brn,1988,38146
brn,1989,39862
brn,1991,38933
brn,1992,39782
brn,1993,41134
brn,1994,42270
brn,1995,42672
brn,1996,43291
brn,1997,43540
brn,1998,45369
brn,1999,45827
brn,2000,45428
brn,2001,44487
brn,2002,44882
brn,2003,46242
brn,2004,46382
brn,2005,46012
brn,2006,46086
brn,2007,45972
brn,2008,45125
brn,2009,44681
brn,2010,44215
brn,2011,43767
brn,2012,42753
brn,2013,42090
brn,2014,41078
brn,2015,40397
brn,2016,40471
brn,2017,39610
brn,2018,39472
brn,2019,39236
brn,2020,39649
btn,1970,9039
btn,1971,9324
btn,1972,10361
btn,1974,12810
btn,1976,16671
btn,1977,18821
btn,1978,19595
btn,1979,22648
btn,1980,29899
btn,1981,34481
btn,1982,37404
btn,1983,41372
btn,1984,44275
btn,1985,45395
btn,1986,49485
btn,1987,51948
btn,1988,55340
btn,1991,52017
btn,1992,51411
btn,1993,56773
btn,1994,60089
btn,1995,64915
btn,1996,69968
btn,1997,74666
btn,1998,78007
btn,1999,81156
btn,2000,85092
btn,2001,88204
btn,2002,90944
btn,2003,93974
btn,2004,97323
btn,2005,99458
btn,2006,102225
btn,2007,104467
btn,2008,106100
btn,2009,108842
btn,2010,110369
btn,2011,111183
btn,2012,110575
btn,2013,104323
btn,2014,101667
btn,2015,99291
btn,2016,96654
btn,2017,94184
btn,2018,91768
btn,2020,94165
bwa,1970,83002
bwa,1971,78442
bwa,1972,81662
bwa,1973,95511
bwa,1974,103711
bwa,1975,116293
bwa,1976,125588
bwa,1977,137290
bwa,1978,145459
bwa,1979,156664
bwa,1980,171914
bwa,1981,178107
bwa,1982,187065
bwa,1983,198328
bwa,1984,209772
bwa,1985,223608
bwa,1986,235941
bwa,1987,248823
bwa,1988,261352
bwa,1989,275437
bwa,1990,283516
bwa,1991,298812
bwa,1992,301482
bwa,1993,305479
bwa,1994,310128
bwa,1995,313693
bwa,1996,318629
bwa,1997,322268
bwa,1998,321271
bwa,1999,322475
bwa,2000,324283
bwa,2001,329451
bwa,2002,330835
bwa,2003,330376
bwa,2004,328692
bwa,2005,329191
bwa,2006,330417
bwa,2007,327617
bwa,2008,327233
bwa,2009,330775
bwa,2012,335830
bwa,2013,340065
bwa,2014,340700
bwa,2015,344618
caf,1971,176300
caf,1972,177776
caf,1973,193866
caf,1974,200445
caf,1975,215887
caf,1976,221432
caf,1977,234482
caf,1978,238605
caf,1979,240720
caf,1980,243419
caf,1981,246174
caf,1982,259525
caf,1983,271117
caf,1984,291444
caf,1985,308022
caf,1986,309656
caf,1987,274179
caf,1988,286422
caf,1989,297457
caf,1990,323661
caf,1991,308409
caf,1992,277961
caf,2001,458585
caf,2002,410562
caf,2003,414537
caf,2004,363158
caf,2005,412381
caf,2006,418825
caf,2007,494985
caf,2008,584078
caf,2009,608075
caf,2010,636871
caf,2011,648370
caf,2012,662317
caf,2016,813767
can,1971,2846220
can,1972,2786106
can,1973,2695021
can,1974,2597576
can,1975,2534137
can,1976,2440016
can,1977,2361318
can,1978,2295925
can,1979,2239354
can,1980,2205865
can,1981,2184919
can,1982,2296996
can,1983,2271784
can,1984,2251535
can,1985,2244170
can,1986,2254887
can,1987,2269639
can,1988,2290535
can,1989,2319300
can,1990,2345000
can,1991,2375704
can,1992,2394115
can,1993,2399224
can,1994,2400819
can,1995,2413126
can,1996,2448144
can,1998,2403709
can,1999,2428620
can,2000,2456434
can,2004,2389188
can,2005,2320738
can,2006,2305211
can,2007,2260819
can,2008,2200335
can,2009,2193237
can,2010,2168022
can,2011,2153778
can,2012,2182843
can,2013,2206136
can,2014,2249164
can,2015,2303964
can,2016,2318914
can,2017,2364626
can,2018,2407006
can,2019,2407739
che,1973,557856
che,1974,561773
che,1975,561645
che,1976,556885
che,1977,503153
che,1978,502337
che,1979,485902
che,1980,468531
che,1981,450942
che,1982,434288
che,1983,415478
che,1984,398931
che,1985,385474
che,1986,376512
che,1987,373245
che,1988,375302
che,1989,383042
che,1990,394061
che,1991,404154
che,1992,414129
che,1993,443512
che,1994,447240
che,1995,461805
che,1996,477643
che,1998,522741
che,1999,529610
che,2000,538372
che,2001,537744
che,2002,536423
che,2003,535577
che,2004,532092
che,2005,524222
che,2006,517056
che,2007,510804
che,2008,505382
che,2009,499435
che,2010,492508
che,2011,487436
che,2012,483466
che,2013,483707
che,2014,483900
che,2015,490469
che,2016,498338
che,2017,507686
che,2018,514664
che,2019,521087
chl,1970,1752005
chl,1971,1876954
chl,1972,1907160
chl,1973,1931356
chl,1974,1937002
chl,1975,1899501
chl,1976,1845796
chl,1977,1825758
chl,1978,1810257
chl,1979,1804834
chl,1980,1754075
chl,1981,1714614
chl,1982,1676005
chl,1983,1647081
chl,1984,1593266
chl,1985,1596471
chl,1986,1574899
chl,1988,1543596
chl,1989,1564047
chl,1990,1593486
chl,1991,1609140
chl,1992,1583503
chl,1993,1608204
chl,1996,1687386
chl,1997,1753867
chl,1998,1777257
chl,1999,1804612
chl,2000,1798515
chl,2002,1753952
chl,2003,1713538
chl,2004,1755997
chl,2005,1720951
chl,2006,1694765
chl,2007,1679017
chl,2008,1656810
chl,2009,1611682
chl,2010,1546543
chl,2011,1520405
chl,2012,1503898
chl,2013,1472348
chl,2014,1469099
chl,2015,1477538
chl,2016,1493732
chl,2017,1514761
chl,2018,1540085
chl,2019,1552914
chn,1970,100668000
chn,1971,105280000
chn,1972,112112000
chn,1973,125492000
chn,1974,135704000
chn,1975,144814000
chn,1976,150940992
chn,1977,150055008
chn,1978,146176000
chn,1979,146240000
chn,1980,146629408
chn,1981,146270000
chn,1982,143328000
chn,1983,139720400
chn,1984,135780400
chn,1985,135571200
chn,1986,133701800
chn,1987,131825000
chn,1988,128358496
chn,1989,125357800
chn,1990,123731000
chn,1991,122413800
chn,1992,121641504
chn,1993,122012800
chn,1994,124212400
chn,1995,128226232
chn,1996,131951480
chn,1997,136150048
chn,1998,139953696
chn,2001,130132544
chn,2006,108925224
chn,2007,107394752
chn,2008,105950504
chn,2009,103617064
chn,2010,101018624
chn,2011,99707840
chn,2012,99540480
chn,2013,98870816
chn,2014,95107120
chn,2015,95958040
chn,2016,98189336
chn,2017,100321024
chn,2018,101872976
chn,2019,104325248
chn,2020,106250528
civ,1970,464817
civ,1971,502865
civ,1972,527615
civ,1973,566689
civ,1974,606263
civ,1975,641369
civ,1976,672707
civ,1977,735511
civ,1978,810244
civ,1979,888728
civ,1980,954190
civ,1981,1024585
civ,1982,1085124
civ,1983,1134915
civ,1984,1159824
civ,1985,1179456
civ,1986,1214511
civ,1987,1251531
civ,1988,1306695
civ,1989,1364263
civ,1990,1405187
civ,1991,1414865
civ,1992,1447785
civ,1993,1463963
civ,1994,1553540
civ,1995,1609929
civ,1996,1662265
civ,1997,1735814
civ,1998,1807503
civ,1999,1910820
civ,2000,1943101
civ,2001,2046861
civ,2002,2116223
civ,2003,2046165
civ,2006,2111975
civ,2007,2179801
civ,2008,2356240
civ,2009,2383359
civ,2011,2757613
civ,2012,2920791
civ,2013,3021417
civ,2014,3176874
civ,2015,3370558
civ,2016,3617219
civ,2017,3772136
civ,2018,3900222
civ,2019,4003884
civ,2020,4101430
cmr,1971,923234
