geo,time,si_spr_pc40_zg
alb,2017,8.81
are,2018,7.08
arg,2020,-5.66
arm,2018,1.26
aus,2010,4.3
aut,2019,1.1
bel,2019,2.15
ben,2015,-5.19
bfa,2014,5.84
bgd,2016,1.35
bgr,2019,8.95
blr,2019,1.11
bol,2020,2.25
bra,2019,-1.4
btn,2017,1.63
bwa,2015,0.42
can,2017,1.43
che,2018,-0.34
chl,2020,1.92
chn,2019,7.2
civ,2015,0.74
cmr,2014,1.41
cod,2012,9.78
cog,2011,3.35
col,2020,-5.98
cri,2020,-3.18
cyp,2019,5.17
cze,2019,4.4
deu,2018,1.72
dnk,2019,1.66
dom,2016,5.19
ecu,2020,-3.49
egy,2017,-2.5
esp,2019,4.03
est,2019,8.03
eth,2015,0.92
fin,2019,1.13
fji,2013,1.18
fra,2018,0.97
gbr,2017,1.19
geo,2020,-0.58
gha,2016,-0.2
gin,2012,8.13
gmb,2015,4.42
grc,2019,5.08
hnd,2019,1
hrv,2019,8.08
hun,2019,6.75
idn,2019,4.61
ind,2011,3.2
irl,2018,6.76
irn,2019,-2.49
irq,2012,0.46
isl,2017,5.65
isr,2018,3.69
ita,2018,1.02
jor,2010,4.56
kaz,2018,-0.3
kgz,2020,0.76
kor,2016,2.52
kos,2017,2.36
lao,2018,1.91
lka,2016,3.65
ltu,2019,9.89
lux,2019,-0.68
lva,2019,7.19
mda,2019,1.71
mdg,2012,-3.46
mex,2020,0.7
mkd,2018,7.03
mli,2009,2.49
mlt,2019,2.93
mmr,2017,9.46
mne,2018,3.43
mng,2018,-3.7
moz,2014,1.52
mrt,2014,3.35
mus,2017,2.71
mwi,2019,-2.96
mys,2015,7.01
nam,2015,5.73
ner,2014,-0.06
nic,2014,5.64
nld,2019,2.57
nor,2019,-0.24
npl,2010,8.28
pak,2018,1.34
pan,2019,4.97
per,2020,-3.74
phl,2018,6.07
pol,2018,6.87
prt,2019,5.94
pry,2020,0.56
pse,2016,-0.89
rou,2019,14.74
rus,2020,0.65
rwa,2016,0.32
sen,2011,-0.28
sle,2018,2.67
slv,2019,5.54
srb,2017,3.89
svk,2019,4.47
svn,2019,3.51
swe,2019,1.07
swz,2016,4.67
syc,2018,3.55
tgo,2015,2.55
tha,2019,0.66
tjk,2015,1.32
ton,2015,1.03
tun,2015,5.36
tur,2019,0.85
tza,2018,-0.15
uga,2019,0.05
ukr,2020,4.13
ury,2019,0.33
usa,2019,4.1
vnm,2018,5.75
zaf,2014,-1.34
zmb,2015,-0.59
zwe,2017,-3.75
