geo,time,se_ter_enrr_fe
abw,1999,30.09259
abw,2000,35.65574
abw,2001,34.86563
abw,2002,31.94952
abw,2003,31.39241
abw,2004,31.28049
abw,2005,37.29265
abw,2006,36.58749
abw,2007,39.05361
abw,2008,40.73262
abw,2009,41.73998
abw,2010,43.9354
abw,2011,46.84075
abw,2012,45.58515
abw,2013,22.5724
abw,2014,23.03694
abw,2015,21.37302
abw,2016,20.69792
afg,1970,0.2215
afg,1972,0.2534
afg,1973,0.34059
afg,1974,0.28284
afg,1975,0.31176
afg,1976,0.35448
afg,1977,0.58387
afg,1978,0.68363
afg,1979,0.60231
afg,1986,0.62182
afg,1990,1.40606
afg,2003,0.51657
afg,2004,0.51396
afg,2009,1.41213
afg,2011,1.82724
afg,2014,3.48702
afg,2018,4.90508
afg,2020,5.8231
ago,1990,0.18085
ago,1998,0.44855
ago,1999,0.38598
ago,2002,0.5643
ago,2011,3.32261
ago,2013,7.84724
ago,2015,7.40054
ago,2016,8.45325
alb,1971,9.29681
alb,1972,9.8928
alb,1978,5.25985
alb,1981,5.23815
alb,1983,5.75918
alb,1984,6.20274
alb,1985,6.44489
alb,1986,6.69404
alb,1987,7.11302
alb,1988,7.82566
alb,1989,8.40132
alb,1990,8.79674
alb,1991,9.30116
alb,1992,9.74888
alb,1993,11.30345
alb,1994,11.17999
alb,1995,10.55495
alb,1996,11.58536
alb,1997,14.15526
alb,1998,15.15706
alb,1999,17.38697
alb,2000,18.26957
alb,2001,19.04766
alb,2002,19.78476
alb,2003,20.32879
alb,2004,24.1045
alb,2005,27.35053
alb,2006,30.42745
alb,2007,35.46488
alb,2008,36.48628
alb,2009,38.66989
alb,2010,51.57109
alb,2011,58.23014
alb,2012,69.71962
alb,2013,76.31651
alb,2014,78.31959
alb,2015,73.53012
alb,2016,70.07677
alb,2017,69.81036
alb,2018,67.57861
alb,2019,73.34053
alb,2020,71.36869
are,2020,66.34543
arg,1970,11.42923
arg,1971,13.87463
arg,1972,15.2736
arg,1973,17.92035
arg,1974,20.59128
arg,1975,25.62282
arg,1976,25.75785
arg,1977,22.83757
arg,1978,21.24899
arg,1979,21.90796
arg,1980,21.77483
arg,1981,24.47717
arg,1982,25.18951
arg,1983,26.54506
arg,1984,30.38547
arg,1985,37.08418
arg,1986,39.42933
arg,1987,41.52198
arg,1999,60.06247
arg,2000,65.00862
arg,2001,69.8558
arg,2002,74.50172
arg,2003,77.94868
arg,2004,76.45075
arg,2005,75.46853
arg,2006,80.48403
arg,2007,79.81721
arg,2008,81.85146
arg,2009,84.18764
arg,2010,87.82828
arg,2011,92.92044
arg,2012,94.67601
arg,2013,96.55508
arg,2014,100.30122
arg,2015,104.51591
arg,2016,109.16721
arg,2017,112.79844
arg,2018,114.64645
arg,2019,120.28404
arm,2000,39.26693
arm,2001,37.97737
arm,2002,41.08533
arm,2003,41.79188
arm,2004,44.16987
arm,2005,45.95116
arm,2006,49.05389
arm,2007,51.87726
arm,2008,54.46075
arm,2009,56.61935
arm,2010,58.03413
arm,2011,57.7082
arm,2012,49.85343
arm,2013,48.49313
arm,2014,50.08286
arm,2015,50.51742
arm,2016,57.11542
arm,2017,58.67676
arm,2018,62.64839
arm,2019,59.44847
arm,2020,60.71513
asm,1971,0
asm,1989,21.66963
atg,2009,20.71307
atg,2010,24.15147
atg,2011,20.26235
atg,2012,34.28886
aus,1970,10.53778
aus,1971,11.86939
aus,1972,13.15151
aus,1973,14.51799
aus,1974,17.17842
aus,1975,19.17365
aus,1976,20.76944
aus,1977,21.29973
aus,1978,22.10744
aus,1979,22.74506
aus,1980,23.18691
aus,1981,23.50573
aus,1982,23.80385
aus,1983,24.81769
aus,1984,25.6097
aus,1985,27.10422
aus,1986,29.30487
aus,1987,30.28843
aus,1988,32.74366
aus,1989,34.60802
aus,1990,37.93641
aus,1991,41.56737
aus,1992,43.17706
aus,1993,65.18891
aus,1994,67.32853
aus,1995,72.27257
aus,1996,77.95775
aus,1997,83.65679
aus,2015,140.95175
aus,2016,143.02353
aus,2017,133.33777
aus,2018,124.43976
aus,2019,133.84747
aut,1971,7.28524
aut,1972,8.85458
aut,1973,10.4092
aut,1974,11.32079
aut,1975,12.37778
aut,1976,14.2072
aut,1977,15.08203
aut,1978,15.95716
aut,1979,16.88872
aut,1980,18.01374
aut,1981,19.07206
aut,1982,19.57999
aut,1983,20.50273
aut,1984,21.55706
aut,1985,23.3034
aut,1986,24.68513
aut,1987,25.75888
aut,1988,27.39215
aut,1989,28.49334
aut,1990,30.45701
aut,1991,32.28714
aut,1992,35.3367
aut,1993,37.64519
aut,1994,40.39919
aut,1995,43.63571
aut,1996,46.64661
aut,1997,49.11815
aut,1998,52.47079
aut,2013,86.94741
aut,2014,86.27942
aut,2015,88.00541
aut,2016,90.82589
aut,2017,92.4615
aut,2018,94.63156
aut,2019,95.31774
aze,1981,20.65334
aze,1986,22.4855
aze,1991,19.68337
aze,1992,19.66094
aze,1993,18.27538
aze,1994,16.92038
aze,1995,17.16923
aze,1996,17.59162
aze,1997,17.14862
aze,2006,20.24594
aze,2007,19.5503
aze,2008,18.87043
aze,2009,18.93108
aze,2010,19.15638
aze,2011,19.80818
aze,2012,20.92553
aze,2013,22.62382
aze,2014,24.75323
aze,2015,27.48078
aze,2016,28.13302
aze,2017,29.03385
aze,2018,29.69345
aze,2019,34.01358
aze,2020,38.48449
bdi,1971,0.01863
bdi,1972,0.02427
bdi,1973,0.0345
bdi,1974,0.08833
bdi,1975,0.05346
bdi,1976,0.06432
bdi,1979,0.14785
bdi,1980,0.17531
bdi,1981,0.22272
bdi,1982,0.24175
bdi,1984,0.29983
bdi,1985,0.30178
bdi,1986,0.30543
bdi,1987,0.3303
bdi,1988,0.36041
bdi,1989,0.38509
bdi,1990,0.40621
bdi,1991,0.40988
bdi,1992,0.43974
bdi,1993,0.4955
bdi,1998,0.53847
bdi,1999,0.60678
bdi,2000,0.64644
bdi,2001,0.64502
bdi,2002,1.13658
bdi,2004,1.34849
bdi,2005,1.35734
bdi,2006,1.4933
bdi,2010,2.29263
bdi,2012,1.94214
bdi,2013,2.47249
bdi,2014,2.80636
bdi,2015,2.54646
bdi,2016,2.42445
bdi,2017,2.70674
bdi,2018,3.07171
bdi,2019,3.04465
bdi,2020,4.10689
bel,1971,12.6223
bel,1972,13.14715
bel,1973,15.43834
bel,1974,16.70133
bel,1975,17.37127
bel,1978,21.02171
bel,1979,21.88101
bel,1980,21.91261
bel,1981,22.17408
bel,1982,23.96625
bel,1983,25.14495
bel,1984,26.42342
bel,1985,28.63893
bel,1986,29.63289
bel,1987,31.71804
bel,1988,32.93776
bel,1989,33.86312
bel,1990,37.02041
bel,1991,38.61205
bel,1993,44.83135
bel,1994,48.30473
bel,1995,53.93652
bel,1996,56.53869
bel,1999,61.64086
bel,2000,62.2943
bel,2001,63.73563
bel,2002,64.58684
bel,2003,65.33017
bel,2004,67.14369
bel,2005,67.916
bel,2006,68.875
bel,2007,68.51352
bel,2008,69.47411
bel,2009,72.61032
bel,2010,75.92278
bel,2011,78.31387
bel,2012,80.1438
bel,2013,81.53801
bel,2014,82.77246
bel,2015,84.66545
bel,2016,86.02862
bel,2017,90.46261
bel,2018,89.737
bel,2019,92.23224
ben,1971,0.01801
ben,1972,0.06535
ben,1973,0.12327
ben,1974,0.24413
ben,1975,0.20733
ben,1976,0.22106
ben,1978,0.38698
ben,1979,0.34209
ben,1982,0.64053
ben,1983,0.61966
ben,1984,0.704
ben,1985,0.70845
ben,1986,0.75186
ben,1987,0.71402
ben,1988,0.61357
ben,1991,0.636
ben,1992,0.71743
ben,1993,0.68218
ben,1994,0.73802
ben,1995,0.73807
ben,1996,0.7672
ben,1997,0.96345
ben,1999,1.29026
ben,2000,1.4676
ben,2001,1.78047
ben,2006,3.32336
ben,2007,4.13256
ben,2008,4.35691
ben,2009,5.73935
ben,2010,7.18678
ben,2011,5.4883
ben,2012,7.14151
ben,2013,8.76919
ben,2014,8.50553
ben,2015,7.74509
ben,2016,7.64171
ben,2017,7.46639
ben,2018,7.94633
bfa,1971,0.0112
bfa,1972,0.00983
bfa,1973,0.0149
bfa,1974,0.02959
bfa,1975,0.04128
bfa,1976,0.07982
bfa,1977,0.07721
bfa,1978,0.0948
bfa,1979,0.09163
bfa,1980,0.09463
bfa,1981,0.11912
bfa,1982,0.18134
bfa,1983,0.22185
bfa,1984,0.2383
bfa,1985,0.27049
bfa,1986,0.28199
bfa,1987,0.30522
bfa,1988,0.32601
bfa,1989,0.36221
bfa,1990,0.3468
bfa,1991,0.32388
bfa,1992,0.41954
bfa,1993,0.49462
bfa,1994,0.51048
bfa,1995,0.48592
bfa,1996,0.51024
bfa,1997,0.44154
bfa,1999,0.45751
bfa,2002,0.72199
bfa,2003,0.72272
bfa,2005,1.43041
bfa,2006,1.52815
bfa,2007,1.6304
bfa,2008,2.09857
bfa,2009,2.29505
bfa,2010,2.30869
bfa,2011,2.73884
bfa,2012,3.00833
bfa,2013,3.13864
bfa,2014,3.30469
bfa,2015,3.46127
bfa,2016,3.75034
bfa,2017,4.09469
bfa,2018,4.76497
bfa,2019,5.08252
bfa,2020,5.56166
bgd,1970,0.42594
bgd,1972,0.54027
bgd,1974,0.69742
bgd,1976,0.70802
bgd,1977,0.83375
bgd,1978,0.67366
bgd,1979,0.9531
bgd,1980,0.92303
bgd,1981,0.88194
bgd,1982,1.66224
bgd,1983,1.7681
bgd,1984,1.86377
bgd,1985,2.00541
bgd,1986,1.9593
bgd,1987,1.60818
bgd,1988,1.19932
bgd,1989,1.19554
bgd,1990,1.36847
bgd,1999,3.70027
bgd,2000,3.70686
bgd,2001,4.59011
bgd,2002,4.14112
bgd,2003,4.17331
bgd,2004,3.78948
bgd,2005,4.39797
bgd,2006,5.22811
bgd,2007,5.62739
bgd,2008,6.31145
bgd,2009,8.11878
bgd,2011,11.19707
bgd,2012,11.55667
bgd,2013,10.96611
bgd,2014,11.74298
bgd,2015,11.07527
bgd,2016,14.68115
bgd,2017,14.91033
bgd,2018,16.98329
bgd,2019,20.01847
bgd,2020,19.84238
bgr,1971,14.69813
bgr,1972,16.78125
bgr,1973,18.82087
bgr,1974,20.26745
bgr,1975,22.02164
bgr,1976,22.67814
bgr,1977,23.40669
bgr,1978,28.12192
bgr,1979,21.6527
bgr,1980,20.04892
bgr,1981,18.57945
bgr,1982,17.27687
bgr,1983,16.74494
bgr,1984,17.50553
bgr,1985,18.71619
bgr,1986,20.83977
bgr,1987,23.48112
bgr,1988,25.64107
bgr,1989,27.63261
bgr,1990,28.06542
bgr,1991,32.51984
bgr,1992,33.0955
bgr,1993,37.17728
bgr,1994,40.33023
bgr,1995,44.98945
bgr,1996,51.90585
bgr,1997,53.90978
bgr,1998,53.42636
bgr,1999,54.71007
bgr,2000,51.92294
bgr,2001,49.54827
bgr,2002,45.45693
bgr,2003,45.30781
bgr,2004,46.11544
bgr,2005,48.86338
bgr,2006,52.13998
bgr,2007,56.17958
bgr,2008,59.30892
bgr,2009,62.18039
bgr,2010,66.09698
bgr,2011,66.97068
bgr,2012,69.00306
bgr,2013,72.1017
bgr,2014,75.57675
bgr,2015,79.11971
bgr,2016,79.28095
bgr,2017,78.82418
bgr,2018,79.33702
bgr,2019,81.9642
bhr,1971,1.83654
bhr,1972,1.78822
bhr,1973,1.96059
bhr,1974,2.7299
bhr,1975,2.6765
bhr,1976,2.76556
bhr,1977,4.44736
bhr,1978,3.32903
bhr,1979,2.49649
bhr,1980,3.23173
bhr,1981,4.45553
bhr,1982,6.07492
bhr,1985,14.23268
bhr,1986,15.79649
bhr,1987,10.95316
bhr,1988,16.60669
bhr,1991,20.14646
bhr,1992,21.12297
bhr,1993,21.55945
bhr,1994,20.85112
bhr,1995,20.7599
bhr,1996,22.34491
bhr,1999,28.35757
bhr,2003,40.59675
bhr,2005,39.86463
bhr,2006,38.32186
bhr,2011,57.5012
bhr,2012,60.93734
bhr,2013,57.90605
bhr,2014,57.54474
bhr,2015,59.30616
bhr,2016,62.99215
bhr,2017,64.26851
bhr,2018,67.84063
bhr,2019,73.9172
bhr,2020,78.51047
bhs,1988,29.13519
bhs,1995,22.13735
bih,2011,48.27927
bih,2012,50.97714
bih,2013,52.58109
bih,2014,56.27998
bih,2015,57.6792
bih,2016,58.63585
bih,2017,55.77616
bih,2018,51.13705
bih,2019,48.49008
bih,2020,46.17034
blr,1991,53.0332
blr,1996,48.7342
blr,1997,50.95292
blr,1998,55.51275
blr,1999,59.62613
blr,2000,62.88157
blr,2001,65.84157
blr,2002,69.53142
blr,2003,73.11997
blr,2004,75.68182
blr,2005,78.37187
blr,2006,81.10433
blr,2007,84.4546
blr,2008,85.24425
