global,time,nv_agr_empl_kd
world,1991,1441.82964
world,1992,1469.89288
world,1993,1487.89915
world,1994,1576.36336
world,1995,1666.48976
world,1996,1753.19933
world,1997,1910.48584
world,1998,1926.9682
world,1999,1969.08156
world,2000,1976.96008
world,2001,2008.93529
world,2002,2025.37073
world,2003,2076.08375
world,2004,2190.35747
world,2005,2292.23833
world,2006,2387.19249
world,2007,2449.64165
world,2008,2540.0916
world,2009,2633.99852
world,2010,2739.76608
world,2011,2898.96069
world,2012,3000.85398
world,2013,3193.99332
world,2014,3352.91496
world,2015,3479.15056
world,2016,3591.46689
world,2017,3743.44678
world,2018,3868.95961
world,2019,4035.29263
