global,time,sh_mlr_incd_p3
world,2000,81.59621
world,2001,82.01686
world,2002,78.93389
world,2003,78.55565
world,2004,78.04392
world,2005,76.43416
world,2006,73.703
world,2007,71.72126
world,2008,70.37715
world,2009,70.56515
world,2010,69.48535
world,2011,66.50794
world,2012,64.2741
world,2013,61.7614
world,2014,59.83102
world,2015,58.87312
world,2016,58.70454
world,2017,59.1517
world,2018,57.22913
world,2019,56.27382
world,2020,59.52337
