global,time,sh_xpd_pvtd_pc_cd
world,2000,203.29125
world,2001,209.13139
world,2002,222.33631
world,2003,246.20931
world,2004,267.46097
world,2005,284.08533
world,2006,300.90749
world,2007,327.22658
world,2008,346.36547
world,2009,345.36669
world,2010,360.69904
world,2011,383.64394
world,2012,391.12453
world,2013,398.92058
world,2014,404.22001
world,2015,392.69828
world,2016,404.11119
world,2017,422.36937
world,2018,439.97281
world,2019,448.38553
