geo,time,se_enr_seco_fm_zs
abw,1999,1.05888
abw,2000,1.03343
abw,2001,1.04673
abw,2002,1.05377
abw,2003,1.04817
abw,2004,0.99977
abw,2005,1.00364
abw,2006,0.98843
abw,2007,1.02983
abw,2008,1.0712
abw,2009,1.04987
abw,2010,1.05181
abw,2011,1.05607
abw,2012,1.0176
afg,1970,0.15676
afg,1971,0.14614
afg,1972,0.13231
afg,1973,0.14218
afg,1974,0.13871
afg,1975,0.14104
afg,1976,0.15166
afg,1977,0.17228
afg,1978,0.17937
afg,1981,0.25864
afg,1982,0.44568
afg,1984,0.45939
afg,1985,0.45434
afg,1986,0.49751
afg,1988,0.49067
afg,1991,0.51169
afg,1993,0.38118
afg,1994,0.28143
afg,1995,0.37529
afg,2001,0
afg,2003,0.35076
afg,2004,0.20961
afg,2005,0.32642
afg,2006,0.36354
afg,2007,0.37504
afg,2008,0.4255
afg,2009,0.48135
afg,2010,0.49785
afg,2011,0.55426
afg,2012,0.55749
afg,2013,0.55226
afg,2014,0.5564
afg,2015,0.5579
afg,2016,0.57128
afg,2017,0.56842
afg,2018,0.57098
ago,1971,0.80226
ago,1972,0.82516
ago,1982,0.48471
ago,1983,0.49412
ago,1998,0.78159
ago,1999,0.75696
ago,2000,0.81924
ago,2001,0.78136
ago,2002,0.83035
ago,2008,0.76563
ago,2009,0.75933
ago,2010,0.67871
ago,2011,0.64081
ago,2016,0.64334
alb,1976,0.90771
alb,1978,0.90485
alb,1979,0.91311
alb,1980,0.89152
alb,1981,0.88834
alb,1982,0.90107
alb,1983,0.93212
alb,1984,0.92915
alb,1985,0.90721
alb,1986,0.90496
alb,1987,0.91934
alb,1988,0.9244
alb,1989,0.9255
alb,1990,0.91452
alb,1991,0.91924
alb,1992,1.01195
alb,1993,1.05314
alb,1994,1.02204
alb,1995,0.99398
alb,1996,0.99772
alb,1997,0.9747
alb,1999,0.96264
alb,2000,0.96644
alb,2001,0.97363
alb,2004,0.96412
alb,2005,0.96543
alb,2006,0.97463
alb,2007,0.99227
alb,2008,0.9989
alb,2009,1.03197
alb,2010,1.00547
alb,2011,0.99156
alb,2012,0.97586
alb,2013,0.95973
alb,2014,0.94445
alb,2015,0.95622
alb,2016,0.97086
alb,2017,0.98903
alb,2018,1.00539
alb,2019,1.01136
alb,2020,1.02104
and,1971,1.01363
and,1972,1.22163
and,1973,0.96756
and,1974,1.5208
and,1975,1.13931
and,1976,2.02992
and,1983,1.10833
are,1973,0.59666
are,1974,0.9015
are,1975,0.91949
are,1976,0.82691
are,1977,0.9313
are,1978,1.04135
are,1979,0.99079
are,1980,0.95996
are,1981,0.90224
are,1982,0.96151
are,1983,0.94611
are,1984,0.92444
are,1985,0.93425
are,1986,0.95385
are,1987,1.08069
are,1988,1.15348
are,1989,1.18864
are,1990,1.19291
are,1991,1.1697
are,1992,1.15743
are,1993,1.12716
are,1994,1.08769
are,1995,1.05437
are,1997,1.10571
are,1998,1.12579
are,2016,0.95884
are,2017,0.9187
are,2019,0.98691
are,2020,1.01219
arg,1970,1.13759
arg,1971,1.11678
arg,1972,1.08759
arg,1973,1.09126
arg,1974,1.0876
arg,1975,1.0975
arg,1976,1.1034
arg,1977,1.12103
arg,1978,1.13223
arg,1979,1.12778
arg,1980,1.1377
arg,1981,1.14402
arg,1982,1.09957
arg,1983,1.06025
arg,1984,1.08708
arg,1985,1.09945
arg,1986,1.08158
arg,1987,1.05906
arg,1988,1.06442
arg,1996,1.09694
arg,1997,1.08231
arg,1998,1.04659
arg,1999,1.0605
arg,2000,1.04985
arg,2001,1.05215
arg,2002,1.05214
arg,2003,1.06097
arg,2004,1.0769
arg,2005,1.08985
arg,2006,1.1033
arg,2007,1.11386
arg,2008,1.12305
arg,2009,1.11477
arg,2010,1.09642
arg,2011,1.10348
arg,2012,1.08933
arg,2013,1.07653
arg,2014,1.06828
arg,2015,1.06081
arg,2016,1.04554
arg,2017,1.04245
arg,2018,1.04293
arg,2019,1.0403
arm,2000,1.09857
arm,2007,1.00453
arm,2008,0.99186
arm,2009,0.97758
arm,2010,0.98223
arm,2011,1.00332
arm,2013,1.03976
arm,2014,1.05686
arm,2015,1.0516
arm,2018,1.03762
arm,2019,1.05336
arm,2020,1.04445
asm,1989,0.90654
asm,1990,0.94854
asm,1991,0.99021
asm,1992,0.94594
atg,1972,0.8144
atg,1974,1.05546
atg,1975,1.1782
atg,1977,1.07884
atg,1978,0.72824
atg,1992,1.02424
atg,2000,0.92378
atg,2007,1.01376
atg,2008,0.9894
atg,2009,1.0448
atg,2010,1.05222
atg,2011,1.01309
atg,2012,1.15873
atg,2014,1.00593
atg,2015,1.02065
atg,2017,0.9734
atg,2018,0.96286
aus,1993,1.00467
aus,1994,0.99707
aus,1995,0.99617
aus,1996,0.99589
aus,1997,1.0318
aus,2015,0.86901
aus,2016,0.86744
aus,2017,0.88778
aus,2018,0.94095
aus,2019,0.93378
aut,1971,0.90114
aut,1976,0.88981
aut,1981,0.89766
aut,1982,0.91185
aut,1983,0.90513
aut,1984,0.90554
aut,1985,0.92766
aut,1986,0.9122
aut,1987,0.90257
aut,1988,0.90912
aut,1989,0.92326
aut,1990,0.91464
aut,1991,0.9227
aut,1992,0.9235
aut,1993,0.9304
aut,1994,0.93683
aut,1995,0.93914
aut,1996,0.94523
aut,1997,0.9534
aut,1998,0.94599
aut,1999,0.95474
aut,2000,0.95937
aut,2001,0.95919
aut,2002,0.95146
aut,2003,0.94848
aut,2004,0.94493
aut,2005,0.95163
aut,2006,0.96009
aut,2007,0.96052
aut,2008,0.95789
aut,2009,0.95513
aut,2010,0.96073
aut,2011,0.961
aut,2012,0.96243
aut,2013,0.96559
aut,2014,0.96248
aut,2015,0.96434
aut,2016,0.96121
aut,2017,0.95955
aut,2018,0.96404
aut,2019,0.97491
aze,1981,0.97647
aze,1986,0.9723
aze,1991,1.00071
aze,1992,0.97722
aze,1993,0.95146
aze,1994,0.93025
aze,1995,1.02051
aze,1996,1.04154
aze,1997,1.07889
aze,2018,1.00118
aze,2019,0.99776
aze,2020,0.98011
bdi,1971,0.24422
bdi,1972,0.26133
bdi,1973,0.33307
bdi,1974,0.39045
bdi,1975,0.42005
bdi,1976,0.43031
bdi,1977,0.4763
bdi,1978,0.45892
bdi,1979,0.46361
bdi,1980,0.4707
bdi,1981,0.4607
bdi,1982,0.56336
bdi,1983,0.47258
bdi,1984,0.47689
bdi,1985,0.50556
bdi,1986,0.49283
bdi,1987,0.53713
bdi,1988,0.55427
bdi,1989,0.58021
bdi,1990,0.60664
bdi,1991,0.57146
bdi,1992,0.59759
bdi,1993,0.623
bdi,2003,0.76797
bdi,2004,0.75223
bdi,2005,0.73721
bdi,2006,0.7376
bdi,2007,0.71789
bdi,2009,0.72042
bdi,2010,0.71663
bdi,2011,0.73539
bdi,2012,0.76263
bdi,2013,0.81145
