geo,time,ny_adj_dfor_gn_zs
abw,1986,0.00024
abw,1987,0.00021
abw,1988,0.00014
abw,1989,0.00012
abw,1990,0.00036
abw,1991,0.00038
abw,1992,0.0003
abw,1993,0.00018
abw,1994,0.00015
abw,1995,0.0002
abw,1996,0.00014
abw,1997,0.00016
abw,1998,0.00017
abw,1999,0.00016
abw,2000,0.00019
abw,2001,0.00021
abw,2002,0.00022
abw,2003,0.00024
abw,2004,0.00026
abw,2005,0.00031
abw,2006,0.00039
abw,2007,0.00044
abw,2008,0.00042
abw,2009,0.00044
abw,2010,0.00114
abw,2011,0.00102
abw,2012,0.00101
abw,2013,0.00116
abw,2014,0.00175
abw,2015,0.00134
abw,2016,0.00192
abw,2017,0.00169
afg,1970,0.08087
afg,1971,0.10547
afg,1972,0.13215
afg,1973,0.25939
afg,1974,0.28229
afg,1975,0.28065
afg,1976,0.27549
afg,1977,0.21742
afg,1978,0.27256
afg,1979,0.20917
afg,1980,0.21698
afg,1981,0.15958
afg,2009,0.15693
afg,2010,0.20671
afg,2011,0.17895
afg,2012,0.15355
afg,2013,0.15187
afg,2014,0.15827
afg,2015,0.17111
afg,2016,0.23559
afg,2017,0.15917
afg,2018,0.20168
afg,2019,0.22096
ago,1985,0
ago,1986,0
ago,1987,0
ago,1988,0
ago,1989,0
ago,1990,0
ago,1991,0
ago,1992,0
ago,1993,0
ago,1994,0
ago,1995,0
ago,1996,0
ago,1997,0
ago,1998,0
ago,1999,0
ago,2000,0
ago,2001,0
ago,2002,0
ago,2003,0
ago,2004,0
ago,2005,0
ago,2006,0
ago,2007,0
ago,2008,0
ago,2009,0
ago,2010,0
ago,2011,0
ago,2012,0
ago,2013,0
ago,2014,0
ago,2015,0
ago,2016,0
ago,2017,0
ago,2018,0
ago,2019,0
alb,1984,1.05795
alb,1985,1.10825
alb,1986,1.16997
alb,1987,1.09836
alb,1988,1.26794
alb,1989,1.07025
alb,1990,0.93424
alb,1991,2.59242
alb,1992,4.84702
alb,1993,0
alb,1994,0
alb,1995,0
alb,1996,0
alb,1997,0
alb,1998,0
alb,1999,0
alb,2000,0
alb,2001,0
alb,2002,0
alb,2003,0
alb,2004,0
alb,2005,0
alb,2006,0
alb,2007,0
alb,2008,0
alb,2009,0
alb,2010,0
alb,2011,0.08367
alb,2012,0.06781
alb,2013,0.05511
alb,2014,0.05201
alb,2015,0.05311
alb,2016,0.03895
alb,2017,0.03909
alb,2018,0.03282
alb,2019,0.02759
