geo,time,ne_con_prvt_kd
abw,2015,1639471893.43134
ago,2002,24383982290.3637
ago,2003,26388345634.6316
ago,2004,27433324119.3404
ago,2005,28813220322.5856
ago,2006,30660147749.3599
ago,2007,32493624587.3796
ago,2008,35148353714.0929
ago,2009,38774944490.7591
ago,2010,40292764605.1438
ago,2011,44422138190.1009
ago,2012,48794917389.026
ago,2013,52828618026.3779
ago,2014,59523988299.9262
ago,2015,61285178783.7319
ago,2016,64897324761.1102
ago,2017,66779347184.0382
ago,2018,64500161172.94869
ago,2019,63468525212.5514
ago,2020,60955144032.9808
alb,1996,5437410200.39624
alb,1997,4460285597.00147
alb,1998,4220262491.77541
alb,1999,4344088782.06699
alb,2000,4613345051.0686
alb,2001,4797468920.31246
alb,2002,5141570097.0133
alb,2003,5675932537.77092
alb,2004,5885205845.73823
alb,2005,6261492593.9474
alb,2006,6695054883.09322
alb,2007,7547769034.04502
alb,2008,8312247115.64932
alb,2009,8371575596.98372
alb,2010,8511415752.51485
alb,2011,8662174267.72436
alb,2012,8673347011.23211
alb,2013,8832640198.3506
alb,2014,9081185687.66913
alb,2015,9188591294.02033
alb,2016,9384016093.78089
alb,2017,9613309493.61399
alb,2018,9922429082.99493
alb,2019,10235477514.821
alb,2020,9989867623.04129
are,2001,142646055174.034
are,2002,151496467668.785
are,2003,154519753495.22
are,2004,172168826381.642
are,2005,176762728462.26599
are,2006,203711133300.51096
are,2007,228769984500.95901
are,2008,256020477222.36096
are,2009,184302889970.871
are,2010,133958094809.741
are,2011,148701424404.41199
are,2012,132625441418.744
are,2013,139533622985.07901
are,2014,156724432139.58401
are,2015,126824783989.108
are,2016,128895821462.065
are,2017,140983537837.052
are,2018,149581792093.30301
are,2019,164474108775.06601
are,2020,143945057396.336
arg,1993,208908033542.25101
arg,1994,221585436908.12897
arg,1995,211885134302.686
arg,1996,223612048282.45401
arg,1997,243684728322.642
arg,1998,252152962135.51901
arg,1999,247114522699.30896
arg,2000,245484425136.87701
arg,2001,231390305384.77701
arg,2002,198176091791.14999
arg,2003,214365036190.59601
arg,2004,234728895485.616
arg,2005,252081413051.70001
arg,2006,279700043626.27002
arg,2007,305820793237.93597
arg,2008,327976436094.86298
arg,2009,310273409512.30701
arg,2010,344987389605.59802
arg,2011,377308288621.87506
arg,2012,381497473846.92603
arg,2013,395380212585.52893
arg,2014,378148640518.18097
arg,2015,391974496653.948
arg,2016,388916035760.74298
arg,2017,405088889730.02698
arg,2018,395991702935.24402
arg,2019,367114405307.60999
arg,2020,316571307101.17297
arm,1994,2887589178.05713
arm,1995,3166294902.96742
arm,1996,3295848669.03236
arm,1997,3559885109.71995
arm,1998,3730695793.49732
arm,1999,3758543233.72239
arm,2000,4067000345.46269
arm,2001,4359734774.49759
arm,2002,4720708778.02042
arm,2003,5063468954.14248
arm,2004,5514138406.48986
arm,2005,6015338952.76206
arm,2006,6514126646.99475
arm,2007,7375514706.70086
arm,2008,7771037330.24315
arm,2009,7423935444.5935
arm,2010,7706046920.3547
arm,2011,7890989512.73537
arm,2012,8607606469.80404
arm,2013,8754324482.73774
arm,2014,8893551743.87827
arm,2015,8222722419.29217
arm,2016,8056104337.34737
arm,2017,9181566492.00394
arm,2018,9622769429.07148
arm,2019,10730437552.7256
arm,2020,9240495411.84489
asm,2002,496157205.24018
asm,2003,508209606.9869
asm,2004,530305676.85589
asm,2005,523275109.17031
asm,2006,514235807.86026
asm,2007,505196506.55022
asm,2008,491135371.17904
asm,2009,476069868.99563
asm,2010,455982532.75109
asm,2011,432882096.06987
asm,2012,421834061.13537
asm,2013,441921397.37991
asm,2014,452969432.31441
asm,2015,460000000
asm,2016,465021834.06113
asm,2017,462008733.62445
asm,2018,467030567.68559
asm,2019,483100436.68122
asm,2020,487117903.93013
atg,2015,890207000
aus,1960,111056248715.498
aus,1961,113515001335.642
aus,1962,116362059802.30299
aus,1963,122706200722.69501
aus,1964,131350665477.85201
aus,1965,137917693954.14401
aus,1966,141962287651.46301
aus,1967,149224383593.01999
aus,1968,156634035756.254
aus,1969,164966302610.811
aus,1970,175066137678.71301
aus,1971,181867702886.30096
aus,1972,188416869293.65399
aus,1973,197266359535.772
aus,1974,209672731331.983
aus,1975,219824599383.319
aus,1976,221514506427.35999
aus,1977,233269301013.116
aus,1978,237841214050.005
aus,1979,241408968167.80096
aus,1980,245731588851.22601
aus,1981,253730689289.47296
aus,1982,267860362432.526
aus,1983,274302356426.23999
aus,1984,277295417891.19098
aus,1985,279826395398.78699
aus,1986,294193711719.90894
aus,1987,300082758188.18298
aus,1988,309573729688.74597
aus,1989,323847075995.01099
aus,1990,337800458283.74597
aus,1991,341110377319.45502
aus,1992,349071423784.742
aus,1993,355614377298.54999
aus,1994,363244587182.60498
aus,1995,379321225840.09399
aus,1996,392053774547.38
aus,1997,403251738549.23102
aus,1998,423537612582.96198
aus,1999,446923720495.28302
aus,2000,465888578039.16302
aus,2001,481541186712.25507
aus,2002,496214488040.43201
aus,2003,517338326090.94598
aus,2004,544783783322.75403
aus,2005,569198901728.34399
aus,2006,587773900202.32092
aus,2007,618689258478.60303
aus,2008,648276610759.797
aus,2009,649966517803.83801
aus,2010,672015300380.755
aus,2011,699299222380.41101
aus,2012,719282217853.85901
aus,2013,732802250817.88098
aus,2014,748853261289.5
aus,2015,767848406689.40784
aus,2016,787468724502.20898
aus,2017,806476295689.20703
aus,2018,828213656977.21692
aus,2019,840731084245.53186
aus,2020,814424916367.40491
aut,1970,73822875887.41478
aut,1971,78782428465.3566
aut,1972,83572526249.02609
aut,1973,88061900549.30782
aut,1974,90696812813.94099
aut,1975,93641994810.87299
aut,1976,97897472698.68201
aut,1977,104192163161.12199
aut,1978,102415132920.597
aut,1979,107276506921.873
aut,1980,109979782932.77499
aut,1981,111382459085.952
aut,1982,113524451387.205
aut,1983,119693654832.203
aut,1984,117147049808.047
aut,1985,119268441783.461
aut,1986,121883955324.714
aut,1987,124830877037.85899
aut,1988,127836661738.39
aut,1989,132423646544.737
aut,1990,138031570718.138
aut,1991,142165599105.91299
aut,1992,147111958466.073
aut,1993,147267784003.996
aut,1994,150276491161.48099
aut,1995,151557485926.42999
aut,1996,156011669806.35901
aut,1997,156667047975.72299
aut,1998,161218658182.578
aut,1999,165116177255.02301
aut,2000,170261909424.55099
aut,2001,172442845628.26599
aut,2002,173618862721.55499
aut,2003,176644781752.51199
aut,2004,180744509549.27301
aut,2005,184808411174.79697
aut,2006,188675329881.71896
aut,2007,190757785721.26199
aut,2008,192562963194.30896
aut,2009,194201003645.51199
aut,2010,196132121926.77301
aut,2011,198770255107.328
aut,2012,199807682945.44901
aut,2013,199649799261.11301
aut,2014,200256092580.19501
aut,2015,201233218392.71097
aut,2016,204342983312.81201
aut,2017,208341068633.664
aut,2018,210587399527.15201
aut,2019,211988092980.79297
aut,2020,194034865185.26999
aze,2015,30087936755.80709
bdi,1997,1274804490.77923
bdi,1998,1384989843.94987
bdi,1999,1350046406.20742
bdi,2000,1334355521.10468
bdi,2001,1344709810.52435
bdi,2002,1455380738.88581
bdi,2003,1407968479.13666
bdi,2004,1464287218.30213
bdi,2005,1649874348.88793
bdi,2006,1821922577.3936
bdi,2007,1795250907.21829
