global,time,se_sec_cmpt_lo_fe_zs
world,1987,48.96885
world,1988,49.44944
world,1989,49.65941
world,1990,49.83955
world,1991,50.4628
world,1992,51.47666
world,1993,52.58951
world,1994,53.15697
world,1995,54.02694
world,1996,55.16152
world,1997,57.21202
world,1998,58.33631
world,1999,59.56012
world,2000,60.98985
world,2001,62.56645
world,2002,64.59847
world,2003,66.80819
world,2004,67.74305
world,2005,68.35619
world,2006,69.02283
world,2007,70.01943
world,2008,71.24653
world,2009,72.18125
world,2010,73.10128
world,2011,74.12912
world,2012,74.67491
world,2013,74.91572
world,2014,75.37693
world,2015,76.29482
world,2016,76.62905
world,2017,76.13368
world,2018,76.20523
world,2019,76.61402
world,2020,77.25937
