geo,time,ag_lnd_arbl_ha_pc
abw,1961,0.03608
abw,1962,0.03557
abw,1963,0.03527
abw,1964,0.03507
abw,1965,0.03487
abw,1966,0.03466
abw,1967,0.03446
abw,1968,0.03426
abw,1969,0.03405
abw,1970,0.03386
abw,1971,0.03365
abw,1972,0.03342
abw,1973,0.0332
abw,1974,0.03304
abw,1975,0.03297
abw,1976,0.03301
abw,1977,0.03313
abw,1978,0.03328
abw,1979,0.03335
abw,1980,0.03328
abw,1981,0.03302
abw,1982,0.0326
abw,1983,0.03215
abw,1984,0.03183
abw,1985,0.03173
abw,1986,0.03193
abw,1987,0.03234
abw,1988,0.03275
abw,1989,0.03277
abw,1990,0.03218
abw,1991,0.03095
abw,1992,0.02931
abw,1993,0.02759
abw,1994,0.02607
abw,1995,0.0249
abw,1996,0.02404
abw,1997,0.02341
abw,1998,0.02291
abw,1999,0.02247
abw,2000,0.02201
abw,2001,0.02153
abw,2002,0.02105
abw,2003,0.02062
abw,2004,0.02025
abw,2005,0.01999
abw,2006,0.01984
abw,2007,0.01976
abw,2008,0.01973
abw,2009,0.01971
abw,2010,0.01967
abw,2011,0.0196
abw,2012,0.0195
abw,2013,0.01939
abw,2014,0.01927
abw,2015,0.01917
abw,2016,0.01907
abw,2017,0.01898
abw,2018,0.0189
afg,1961,0.8343
afg,1962,0.8234
afg,1963,0.8121
afg,1964,0.80043
afg,1965,0.78342
afg,1966,0.77004
afg,1967,0.75424
afg,1968,0.73742
afg,1969,0.72151
afg,1970,0.70434
afg,1971,0.68843
afg,1972,0.67084
afg,1973,0.65324
afg,1974,0.63724
afg,1975,0.62337
afg,1976,0.61114
afg,1977,0.60055
afg,1978,0.5929
afg,1979,0.58981
afg,1980,0.59222
afg,1981,0.60053
afg,1982,0.61401
afg,1983,0.6309
afg,1984,0.64813
afg,1985,0.66258
afg,1986,0.67398
afg,1987,0.68163
afg,1988,0.68084
afg,1989,0.66645
afg,1990,0.63727
afg,1991,0.59478
afg,1992,0.54606
afg,1993,0.49467
afg,1994,0.45111
afg,1995,0.42257
afg,1996,0.4056
afg,1997,0.39701
afg,1998,0.393
afg,1999,0.37941
afg,2000,0.36973
afg,2001,0.35558
afg,2002,0.33972
afg,2003,0.3282
afg,2004,0.3161
afg,2005,0.30424
afg,2006,0.29486
afg,2007,0.2876
afg,2008,0.28115
afg,2009,0.27445
afg,2010,0.26702
afg,2011,0.25869
afg,2012,0.24999
afg,2013,0.24125
afg,2014,0.23287
afg,2015,0.22564
afg,2016,0.21844
afg,2017,0.21212
afg,2018,0.20723
ago,1961,0.48269
ago,1962,0.48141
ago,1963,0.47892
ago,1964,0.47951
ago,1965,0.48002
ago,1966,0.48432
ago,1967,0.49009
ago,1968,0.4955
ago,1969,0.49968
ago,1970,0.49233
ago,1971,0.48003
ago,1972,0.46408
ago,1973,0.44634
ago,1974,0.42889
ago,1975,0.41287
ago,1976,0.39837
ago,1977,0.38493
ago,1978,0.37224
ago,1979,0.35989
ago,1980,0.34767
ago,1981,0.33563
ago,1982,0.32391
ago,1983,0.31256
ago,1984,0.30162
ago,1985,0.29111
ago,1986,0.281
ago,1987,0.2713
ago,1988,0.26202
ago,1989,0.25317
ago,1990,0.24476
ago,1991,0.24084
ago,1992,0.23702
ago,1993,0.22944
ago,1994,0.22216
ago,1995,0.21513
ago,1996,0.20832
ago,1997,0.20173
ago,1998,0.19532
ago,1999,0.18907
ago,2000,0.18298
ago,2001,0.17704
ago,2002,0.17695
ago,2003,0.1821
ago,2004,0.17592
ago,2005,0.16981
ago,2006,0.16377
ago,2007,0.16264
ago,2008,0.15671
ago,2009,0.17767
ago,2010,0.17554
ago,2011,0.19405
ago,2012,0.18719
ago,2013,0.18835
ago,2014,0.18187
ago,2015,0.17573
ago,2016,0.16989
ago,2017,0.16434
ago,2018,0.15904
alb,1961,0.26027
alb,1962,0.25477
alb,1963,0.24963
alb,1964,0.24419
alb,1965,0.24668
alb,1966,0.2481
alb,1967,0.24827
alb,1968,0.24725
alb,1969,0.24499
alb,1970,0.24397
alb,1971,0.24225
alb,1972,0.24074
alb,1973,0.2386
alb,1974,0.23701
alb,1975,0.23411
alb,1976,0.23388
