geo,time,tm_tax_tcom_br_zs
afg,2018,21.28
ago,2002,56.2
ago,2004,56.2
ago,2005,56.27
ago,2006,56.27
ago,2008,56.29
ago,2009,56.29
ago,2010,56.27
ago,2011,56.27
ago,2012,56.27
ago,2013,56.27
ago,2014,56.31
ago,2015,56.31
ago,2016,56.31
ago,2018,56.26
ago,2019,56.26
ago,2020,56.26
alb,2000,6.6
alb,2001,6.6
alb,2002,6.6
alb,2003,6.56
alb,2004,6.56
alb,2005,6.56
alb,2006,6.56
alb,2007,6.56
alb,2008,6.56
alb,2009,6.54
alb,2010,6.54
alb,2011,6.54
alb,2012,6.23
alb,2013,6.23
alb,2014,6.23
alb,2015,6.23
alb,2016,6.23
alb,2017,6.32
alb,2018,6.32
alb,2019,6.32
alb,2020,6.32
are,2003,20.52
are,2005,20.52
are,2006,20.52
are,2007,20.62
are,2008,20.62
are,2009,20.62
are,2011,20.62
are,2012,20.45
are,2013,20.45
are,2014,20.45
are,2015,20.45
are,2016,20.45
are,2017,20.53
are,2018,20.53
are,2019,20.53
are,2020,20.53
arg,1995,32.93
arg,1996,32.96
arg,1997,32.96
arg,1998,32.96
arg,1999,32.96
arg,2000,32.96
arg,2001,32.96
arg,2002,33.09
arg,2003,33.09
arg,2004,33.09
arg,2005,33.09
arg,2006,33.09
arg,2007,33.09
arg,2008,32.97
arg,2009,32.97
arg,2010,32.97
arg,2011,32.97
arg,2012,32.97
arg,2013,32.96
arg,2014,32.96
arg,2015,32.96
arg,2016,32.96
arg,2017,32.96
arg,2018,33.04
arg,2019,33.04
arg,2020,33.04
arm,2003,11.41
arm,2004,11.41
arm,2005,11.41
arm,2006,11.46
arm,2007,11.46
arm,2008,11.46
arm,2009,11.47
arm,2010,11.47
arm,2011,11.47
arm,2012,11.47
arm,2013,11.47
arm,2014,11.89
arm,2015,11.89
arm,2016,11.89
arm,2017,11.93
arm,2018,11.93
arm,2019,11.93
arm,2020,11.93
atg,1996,83.08
atg,1999,83.67
atg,2000,83.67
atg,2001,83.67
atg,2002,83.67
atg,2003,83.67
atg,2004,83.67
atg,2005,83.67
atg,2006,83.67
atg,2007,83.67
atg,2008,83.67
atg,2009,83.67
atg,2010,83.49
atg,2011,83.49
atg,2012,83.5
atg,2013,83.67
atg,2014,83.5
atg,2015,83.5
atg,2016,83.5
atg,2017,83.5
atg,2018,83.5
atg,2019,83.5
atg,2020,83.5
aus,1996,2.49
aus,1997,2.49
aus,1998,2.49
aus,1999,2.49
aus,2000,2.49
aus,2001,2.49
aus,2002,2.65
aus,2003,2.64
aus,2004,2.65
aus,2005,2.66
aus,2006,2.66
aus,2007,2.67
aus,2008,2.66
aus,2009,2.66
aus,2010,2.66
aus,2011,2.67
aus,2012,2.41
aus,2013,2.4
aus,2014,2.4
aus,2015,2.35
aus,2016,2.35
aus,2017,2.37
aus,2018,2.37
aus,2019,2.37
aus,2020,2.37
aut,1995,4.57
aut,1996,13.02
aut,1997,12.72
aut,1998,12.64
aut,1999,12.66
aut,2000,12.7
aut,2001,13.72
aut,2002,13.24
aut,2003,13.24
aut,2004,12.52
aut,2005,13.31
aut,2006,13.16
aut,2007,12.86
aut,2008,11.88
aut,2009,11.71
aut,2010,11.66
aut,2011,11.45
aut,2012,11.48
aut,2013,11.14
aut,2014,11.06
aut,2015,5.76
aut,2016,5.76
aut,2017,5.75
aut,2018,5.75
aut,2019,5.75
aut,2020,5.75
bdi,2002,93.09
bdi,2003,93.09
bdi,2005,92.68
bdi,2006,92.68
bdi,2007,92.68
bdi,2008,92.68
bdi,2009,92.42
bdi,2010,92.42
bdi,2011,92.42
bdi,2012,93.19
bdi,2013,93.19
bdi,2014,93.19
bdi,2015,93.19
bdi,2016,93.19
bdi,2018,93.18
bdi,2019,93.18
bdi,2020,93.18
bel,1995,4.57
bel,1996,13.02
bel,1997,12.72
bel,1998,12.64
bel,1999,12.66
bel,2000,12.7
bel,2001,13.72
bel,2002,13.24
bel,2003,13.24
bel,2004,12.52
bel,2005,13.31
bel,2006,13.16
bel,2007,12.86
bel,2008,11.88
bel,2009,11.71
bel,2010,11.66
bel,2011,11.45
bel,2012,11.48
bel,2013,11.14
bel,2014,11.06
bel,2015,5.76
bel,2016,5.76
bel,2017,5.75
bel,2018,5.75
bel,2019,5.75
bel,2020,5.75
ben,2001,58.99
ben,2002,58.99
ben,2003,58.87
ben,2004,58.87
ben,2005,58.87
ben,2006,58.87
ben,2007,58.81
ben,2008,58.81
ben,2009,58.81
ben,2010,58.81
ben,2011,58.81
ben,2012,58.81
ben,2013,58.81
ben,2014,58.81
ben,2015,58.25
ben,2016,58.25
ben,2017,58.25
ben,2018,58.25
ben,2019,58.25
ben,2020,58.25
bfa,2001,95.24
bfa,2002,95.24
bfa,2003,94.91
bfa,2004,94.91
bfa,2005,94.91
bfa,2006,94.91
bfa,2007,94.75
bfa,2008,94.75
bfa,2009,94.75
bfa,2010,94.75
bfa,2011,94.75
bfa,2012,94.75
bfa,2013,94.75
bfa,2014,94.75
bfa,2015,94
