geo,time,ag_lnd_el5m_ru_k2
abw,1990,4.2781
abw,2000,4.2781
abw,2010,4.2781
ago,1990,1516.94446
ago,2000,1516.94446
ago,2010,1516.94446
alb,1990,1294.59546
alb,2000,1294.59546
alb,2010,1294.59546
are,1990,2611.43945
are,2000,2611.43945
are,2010,2611.43945
arg,1990,22906.61719
arg,2000,22906.61719
arg,2010,22906.61719
asm,1990,4.42973
asm,2000,4.42973
asm,2010,4.42973
atg,1990,32.37356
atg,2000,32.37356
atg,2010,32.37356
aus,1990,44375.9375
aus,2000,44375.9375
aus,2010,44375.9375
bel,1990,843.85645
bel,2000,843.85645
bel,2010,843.85645
ben,1990,1041.68579
ben,2000,1041.68579
ben,2010,1041.68579
bgd,1990,12137.62109
bgd,2000,12137.62109
bgd,2010,12137.62109
bgr,1990,143.30302
bgr,2000,143.30302
bgr,2010,143.30302
bhr,1990,84.2103
bhr,2000,84.2103
bhr,2010,84.2103
bhs,1990,6581.64844
bhs,2000,6581.64844
bhs,2010,6581.64844
bih,1990,36.42741
bih,2000,36.42741
bih,2010,36.42741
blr,1990,0
blr,2000,0
blr,2010,0
blz,1990,1233.32129
blz,2000,1233.32129
blz,2010,1233.32129
bmu,1990,4.52144
bmu,2000,4.52144
bmu,2010,4.52144
bra,1990,47495.16797
bra,2000,47495.16797
bra,2010,47495.16797
brb,1990,1.07696
brb,2000,1.07696
brb,2010,1.07696
brn,1990,6.88598
brn,2000,6.88598
brn,2010,6.88598
can,1990,158138.75
can,2000,158138.75
can,2010,158138.75
che,1990,0
che,2000,0
che,2010,0
chl,1990,3597.68872
chl,2000,3597.68872
chl,2010,3597.68872
chn,1990,83906.6875
chn,2000,83906.6875
chn,2010,83906.6875
civ,1990,381.17529
civ,2000,381.17529
civ,2010,381.17529
cmr,1990,153.38666
cmr,2000,153.38666
cmr,2010,153.38666
cod,1990,471.29581
cod,2000,471.29581
cod,2010,471.29581
cog,1990,36.83404
cog,2000,36.83404
cog,2010,36.83404
col,1990,5934.86816
col,2000,5934.86816
col,2010,5934.86816
com,1990,12.89497
com,2000,12.89497
com,2010,12.89497
cpv,1990,133.90387
cpv,2000,133.90387
cpv,2010,133.90387
cri,1990,283.81018
cri,2000,283.81018
cri,2010,283.81018
cub,1990,9163.39062
cub,2000,9163.39062
cub,2010,9163.39062
cym,1990,7.19939
cym,2000,7.19939
cym,2010,7.19939
cyp,1990,72.85275
cyp,2000,72.85275
cyp,2010,72.85275
deu,1990,12582.6123
deu,2000,12582.6123
deu,2010,12582.6123
dji,1990,138.95279
dji,2000,138.95279
dji,2010,138.95279
dma,1990,3.88517
dma,2000,3.88517
dma,2010,3.88517
dnk,1990,4907.31689
dnk,2000,4907.31689
dnk,2010,4907.31689
dom,1990,780.1712
dom,2000,780.1712
dom,2010,780.1712
dza,1990,378.75919
dza,2000,378.75919
dza,2010,378.75919
ecu,1990,3262.4978
ecu,2000,3262.4978
ecu,2010,3262.4978
egy,1990,13035.72363
egy,2000,13035.72363
egy,2010,13035.72363
eri,1990,1465.24402
eri,2000,1465.24402
eri,2010,1465.24402
esp,1990,2142.00952
esp,2000,2142.00952
esp,2010,2142.00952
est,1990,734.93182
est,2000,734.93182
est,2010,734.93182
eth,1990,0
eth,2000,0
eth,2010,0
fin,1990,1259.90027
fin,2000,1259.90027
fin,2010,1259.90027
fji,1990,467.23831
fji,2000,467.23831
fji,2010,467.23831
fra,1990,5705.21045
fra,2000,5705.21045
fra,2010,5705.21045
fro,1990,114.87003
fro,2000,114.87003
fro,2010,114.87003
fsm,1990,47.98857
fsm,2000,47.98857
fsm,2010,47.98857
gab,1990,804.0058
gab,2000,804.0058
gab,2010,804.0058
gbm,1990,9.14789
gbm,2000,9.14789
gbm,2010,9.14789
gbr,1990,7375
gbr,2000,7375
gbr,2010,7375
geo,1990,772.99841
geo,2000,772.99841
geo,2010,772.99841
gha,1990,1170.14404
gha,2000,1170.14404
gha,2010,1170.14404
gib,1990,1.01793
gib,2000,1.01793
gib,2010,1.01793
gin,1990,2223.02856
gin,2000,2223.02856
gin,2010,2223.02856
gmb,1990,1753.7345
gmb,2000,1753.7345
gmb,2010,1753.7345
gnb,1990,2182.27808
gnb,2000,2182.27808
gnb,2010,2182.27808
gnq,1990,63.61025
gnq,2000,63.61025
gnq,2010,63.61025
grc,1990,2994.41626
grc,2000,2994.41626
grc,2010,2994.41626
grd,1990,4.37593
grd,2000,4.37593
grd,2010,4.37593
grl,1990,24595.9375
grl,2000,24595.9375
grl,2010,24595.9375
gtm,1990,400.17191
