geo,time,sm_pop_refg
afg,1990,50
afg,1991,38
afg,1992,60025
afg,1993,32131
afg,1994,19134
afg,1995,19605
afg,1996,18779
afg,1997,5
afg,2001,10
afg,2003,24
afg,2004,31
afg,2005,31
afg,2006,34
afg,2007,43
afg,2008,37
afg,2009,36
afg,2010,6434
afg,2011,3011
afg,2012,16184
afg,2013,16861
afg,2014,300421
afg,2015,257553
afg,2016,59770
afg,2017,75927
afg,2018,72228
afg,2019,72227
afg,2020,72278
ago,1976,10000
ago,1977,235000
ago,1978,141550
ago,1979,66000
ago,1980,75000
ago,1981,91700
ago,1982,96280
ago,1983,96280
ago,1984,92260
ago,1985,91520
ago,1986,92250
ago,1987,91210
ago,1988,90350
ago,1989,12899
ago,1990,11557
ago,1991,11022
ago,1992,11002
ago,1993,10873
ago,1994,10684
ago,1995,10878
ago,1996,9379
ago,1997,9361
ago,1998,10603
ago,1999,13068
ago,2000,12086
ago,2001,12245
ago,2002,12249
ago,2003,13375
ago,2004,13963
ago,2005,13978
ago,2006,13086
ago,2007,12064
ago,2008,12704
ago,2009,14722
ago,2010,15142
ago,2011,16212
ago,2012,23401
ago,2013,23771
ago,2014,15468
ago,2015,15547
ago,2016,15547
ago,2017,41119
ago,2018,39856
ago,2019,25793
ago,2020,25806
alb,1992,3000
alb,1993,3000
alb,1994,3000
alb,1995,4721
alb,1996,4927
alb,1997,34
alb,1998,22334
alb,1999,3932
alb,2000,521
alb,2001,291
alb,2002,18
alb,2003,24
alb,2004,49
alb,2005,53
alb,2006,56
alb,2007,68
alb,2008,57
alb,2009,69
alb,2010,75
alb,2011,79
alb,2012,84
alb,2013,96
alb,2014,111
alb,2015,109
alb,2016,141
alb,2017,124
alb,2018,132
alb,2019,120
alb,2020,115
are,1968,300
are,1969,300
are,1971,870
are,1972,870
are,1973,3200
are,1974,1200
are,1976,4000
are,1977,390
are,1978,390
are,1979,590
are,1980,2490
are,1981,6090
are,1982,3690
are,1983,4090
are,1984,5170
are,1985,26350
are,1989,70
are,1993,434
are,1994,380
are,1995,409
are,1996,464
are,1997,519
are,1998,532
are,1999,501
are,2000,560
are,2001,554
are,2002,165
are,2003,160
are,2004,106
are,2005,104
are,2006,176
are,2007,161
are,2008,204
are,2009,280
are,2010,538
are,2011,675
are,2012,628
are,2013,602
are,2014,419
are,2015,663
are,2016,888
are,2017,884
are,2018,1167
are,2019,1242
are,2020,1330
arg,1969,32000
arg,1970,35000
arg,1971,34000
arg,1972,33000
arg,1973,37000
arg,1974,47000
arg,1975,46000
arg,1976,41010
arg,1977,35000
arg,1978,26390
arg,1979,27050
arg,1980,26460
arg,1981,26500
arg,1982,11500
arg,1983,11500
arg,1984,11500
arg,1985,14000
arg,1986,14000
arg,1987,13580
arg,1988,13578
arg,1989,12634
arg,1990,11735
arg,1991,11529
arg,1992,11515
arg,1993,11623
arg,1994,11903
arg,1995,10314
arg,1996,10430
arg,1997,10522
arg,1998,2259
arg,1999,2335
arg,2000,2383
arg,2001,2384
arg,2002,2428
arg,2003,2631
arg,2004,2898
arg,2005,3051
arg,2006,3132
arg,2007,3247
arg,2008,2824
arg,2009,3209
arg,2010,3257
arg,2011,3341
arg,2012,3468
arg,2013,3340
arg,2014,3473
arg,2015,3187
arg,2016,3267
arg,2017,3332
arg,2018,3442
arg,2019,3857
arg,2020,4045
arm,1992,300000
arm,1993,334000
arm,1994,304040
arm,1995,218950
arm,1996,218950
arm,1997,219000
arm,1998,310012
arm,1999,296215
arm,2000,280586
arm,2001,264337
arm,2002,247549
arm,2003,239289
arm,2004,235233
arm,2005,219547
arm,2006,113713
arm,2007,4564
arm,2008,3952
arm,2009,3605
arm,2010,3292
arm,2011,2913
arm,2012,2849
arm,2013,13727
arm,2014,17635
arm,2015,19314
arm,2016,17883
arm,2017,17968
arm,2018,17966
arm,2019,17980
arm,2020,107930
atg,2015,15
atg,2016,5
aus,1965,40000
aus,1966,40000
aus,1967,44000
aus,1968,43000
aus,1969,42000
aus,1970,42000
aus,1978,304000
aus,1979,304000
aus,1980,304000
aus,1981,317000
aus,1982,317000
aus,1983,317000
aus,1984,89000
aus,1985,89000
aus,1986,85900
aus,1987,87600
aus,1988,90970
aus,1989,97915
aus,1990,97915
aus,1991,53117
aus,1992,52604
aus,1993,53505
aus,1994,57575
aus,1995,62145
aus,1996,67298
aus,1997,66056
aus,1998,69714
aus,1999,64879
aus,2000,60219
aus,2001,57885
aus,2002,59422
aus,2003,56242
aus,2004,63478
aus,2005,64955
aus,2006,68942
aus,2007,22161
aus,2008,20915
aus,2009,22543
aus,2010,21790
aus,2011,23423
aus,2012,30061
aus,2013,34485
aus,2014,35565
aus,2015,36917
aus,2016,42187
aus,2017,48480
aus,2018,56934
aus,2019,58529
aus,2020,57451
aut,1960,39000
aut,1961,34000
aut,1962,30000
aut,1963,27000
aut,1964,25000
aut,1965,25000
aut,1966,24500
aut,1967,24000
aut,1968,24000
aut,1969,25000
aut,1970,25300
aut,1971,25000
aut,1972,25000
aut,1973,25000
aut,1974,25000
aut,1975,20000
aut,1976,25000
aut,1977,20000
aut,1978,20000
aut,1979,25000
aut,1980,15525
aut,1981,17899
aut,1982,34963
aut,1983,37298
aut,1984,39099
aut,1985,40534
aut,1986,41176
aut,1987,41228
aut,1988,39830
aut,1989,39405
aut,1990,34938
aut,1991,34508
aut,1992,62355
aut,1993,57687
aut,1994,40703
aut,1995,34385
aut,1996,89116
aut,1997,84394
aut,1998,80294
aut,1999,82076
aut,2000,15493
aut,2001,14375
aut,2002,14122
aut,2003,16097
aut,2004,17777
aut,2005,21212
aut,2006,25475
aut,2007,30767
aut,2008,37546
aut,2009,38895
aut,2010,42613
aut,2011,47055
aut,2012,51707
aut,2013,55575
aut,2014,60724
aut,2015,72198
aut,2016,93242
aut,2017,115252
aut,2018,128779
aut,2019,135951
aut,2020,141866
aze,1992,246000
aze,1993,228840
aze,1994,231635
aze,1995,233682
aze,1996,233693
aze,1997,233716
aze,1998,221636
aze,1999,221642
aze,2000,280
aze,2001,363
aze,2002,453
aze,2003,324
aze,2004,8604
aze,2005,3004
aze,2006,2619
aze,2007,2351
aze,2008,2060
aze,2009,1643
aze,2010,1894
aze,2011,1727
aze,2012,1467
aze,2013,1377
aze,2014,1298
aze,2015,1279
aze,2016,1193
aze,2017,1120
aze,2018,1130
aze,2019,1109
aze,2020,1582
bdi,1961,30000
bdi,1962,30000
bdi,1963,34000
bdi,1964,78000
bdi,1965,65000
bdi,1966,79000
bdi,1967,79000
bdi,1968,72200
bdi,1969,46200
bdi,1970,38800
bdi,1971,32950
bdi,1972,43390
bdi,1973,49000
bdi,1974,48500
bdi,1975,49500
bdi,1976,49500
bdi,1977,50000
bdi,1978,50340
bdi,1979,50490
bdi,1980,234560
bdi,1981,234590
bdi,1982,253170
bdi,1983,253820
bdi,1984,273810
bdi,1985,267440
bdi,1986,267500
bdi,1987,267500
bdi,1988,267500
bdi,1989,267455
bdi,1990,268403
bdi,1991,270136
bdi,1992,271745
bdi,1993,271883
bdi,1994,300302
bdi,1995,173016
bdi,1996,20734
bdi,1997,22027
bdi,1998,25092
bdi,1999,22107
bdi,2000,27133
bdi,2001,27895
bdi,2002,40532
bdi,2003,40970
bdi,2004,48807
bdi,2005,20679
bdi,2006,13174
bdi,2007,24482
bdi,2008,21092
bdi,2009,24965
bdi,2010,29364
bdi,2011,35658
bdi,2012,41811
bdi,2013,45487
bdi,2014,52931
bdi,2015,53356
bdi,2016,57462
bdi,2017,62353
bdi,2018,71501
bdi,2019,78465
bdi,2020,75476
bel,1960,55000
bel,1961,53000
bel,1962,51000
bel,1963,50000
bel,1964,47000
bel,1965,47000
bel,1966,40000
bel,1967,34000
bel,1968,33000
bel,1969,30000
bel,1970,31500
bel,1971,29000
bel,1972,29000
bel,1973,20000
bel,1974,11100
bel,1975,16788
bel,1976,17000
bel,1977,17000
bel,1978,17000
bel,1979,32000
bel,1980,33000
bel,1981,35000
bel,1982,21000
bel,1983,35000
bel,1984,36400
bel,1985,36600
bel,1986,35900
bel,1987,22000
bel,1988,23117
bel,1989,25531
bel,1990,25911
bel,1991,24071
bel,1992,24292
bel,1993,24908
bel,1994,19497
bel,1995,31691
bel,1996,36060
bel,1997,36060
