global,time,sh_dyn_nmrt
world,1990,36.7
world,1991,36.2
world,1992,35.7
world,1993,35.3
world,1994,34.7
world,1995,34.1
world,1996,33.5
world,1997,32.8
world,1998,32
world,1999,31.3
world,2000,30.4
world,2001,29.5
world,2002,28.6
world,2003,27.7
world,2004,26.8
world,2005,25.9
world,2006,25.1
world,2007,24.3
world,2008,23.6
world,2009,22.8
world,2010,22.1
world,2011,21.5
world,2012,20.9
world,2013,20.3
world,2014,19.8
world,2015,19.3
world,2016,18.8
world,2017,18.3
world,2018,17.9
world,2019,17.4
world,2020,17
