global,time,gb_xpd_rsdv_gd_zs
world,1996,1.97427
world,1997,1.97078
world,1998,1.98487
world,1999,2.05998
world,2000,2.0611
world,2001,2.07989
world,2002,2.04351
world,2003,2.03261
world,2004,1.98432
world,2005,1.96589
world,2006,1.97504
world,2007,1.94144
world,2008,1.99535
world,2009,2.03216
world,2010,2.01733
world,2011,2.00396
world,2012,2.03352
world,2013,1.98915
world,2014,2.0676
world,2015,2.08597
world,2016,2.11643
world,2017,2.12781
world,2018,2.20262
