geo,time,dt_nfl_whol_cd
dji,2015,1254032.49264
dji,2016,703453.30238
dji,2017,842999.99475
dji,2018,1054545.28332
dji,2019,752847.37349
dma,2017,154175.86267
dma,2019,124514.40096
dom,2017,701084.6138
dom,2018,1029890.41805
dom,2019,825325.84667
dza,2011,600000.02384
dza,2012,49855.73143
dza,2013,795596.8976
dza,2014,990756.39248
dza,2015,1256497.62154
dza,2016,1333889.00757
dza,2017,1102746.9635
dza,2018,1369247.43652
dza,2019,993983.80518
ecu,2017,805548.96593
ecu,2018,794570.50562
ecu,2019,713783.44297
egy,2011,1429999.94755
egy,2012,678407.96709
egy,2013,1424580.57404
egy,2014,1581872.82085
egy,2015,3378842.83066
egy,2016,2159619.33136
egy,2017,1499447.58415
egy,2018,1328204.63181
egy,2019,2246837.37755
eri,2011,600000.02384
eri,2012,771048.48623
eri,2013,1490308.28476
eri,2014,1030361.05633
eri,2015,1664058.44688
eri,2016,1095713.13858
eri,2017,1092022.7766
eri,2018,1156364.2025
eri,2019,1052892.08889
eth,2011,2880000.11444
eth,2012,1911525.84553
eth,2013,3375506.16264
eth,2014,2368910.07423
eth,2015,3702135.5629
eth,2016,2965979.33769
eth,2017,3568063.25912
eth,2018,4047751.90353
eth,2019,4542177.20032
fji,2011,870000.00477
fji,2012,569582.46231
fji,2013,1036619.78245
fji,2014,1337531.08978
fji,2015,1307276.84498
fji,2016,2240820.16945
fji,2017,1247621.05942
fji,2018,1065350.89016
fji,2019,1110240.10181
fsm,2011,270000.01073
fsm,2012,223538.29443
fsm,2013,522820.77074
fsm,2014,564152.24075
fsm,2015,601347.92328
fsm,2016,493950.81401
fsm,2017,505861.22274
fsm,2018,423046.46969
fsm,2019,467849.88046
gab,2011,1169999.95708
gab,2012,786241.889
gab,2013,1235783.57697
gab,2014,1350273.13232
gab,2015,2176851.74942
gab,2016,1561852.69356
gab,2017,1352309.46541
gab,2018,1376230.83591
gab,2019,1109645.7243
geo,2011,370000.00477
geo,2012,21688.78913
geo,2013,84564.55916
geo,2014,222439.03577
geo,2015,303761.57165
geo,2016,446846.24672
geo,2017,544904.35123
geo,2018,860783.9942
geo,2019,627181.29158
gha,2011,920000.01669
gha,2012,976286.11326
gha,2013,1397374.62997
