global,time,ic_reg_durs_ma
world,2003,51.46269
world,2004,48.39931
world,2005,50.66258
world,2006,47.78443
world,2007,43.25
world,2008,39.88304
world,2009,37.6657
world,2010,35.875
world,2011,31.81322
world,2012,31.29775
world,2013,26.72323
world,2014,24.24254
world,2015,23.34658
world,2016,22.94905
world,2017,21.44134
world,2018,20.44948
world,2019,19.54908
