global,time,nv_agr_totl_zs
world,1969,10.20791
world,1970,9.76169
world,1971,9.27171
world,1972,8.94372
world,1973,9.24157
world,1974,9.21887
world,1975,8.91496
world,1976,8.34566
world,1977,8.28361
world,1978,7.35902
world,1979,7.35388
world,1980,6.91672
world,1981,6.96681
world,1982,7.02981
world,1983,6.89679
world,1984,6.77806
world,1985,6.66625
world,1986,6.04182
world,1987,5.53176
world,1988,5.30502
world,1989,5.17366
world,1990,5.01899
world,1991,4.52051
world,1992,4.06569
world,1993,3.83531
world,1994,3.88164
world,1995,3.83669
world,1996,3.96195
world,1997,3.8485
world,1998,3.72209
world,1999,3.51261
world,2000,3.38318
world,2001,3.36995
world,2002,3.32829
world,2003,3.31575
world,2004,3.35659
world,2005,3.23307
world,2006,3.21433
world,2007,3.38519
world,2008,3.5595
world,2009,3.68241
world,2010,3.87544
world,2011,3.98753
world,2012,4.01581
world,2013,4.14812
world,2014,4.12344
world,2015,4.20742
world,2016,4.14585
world,2017,4.1096
world,2018,3.92715
world,2019,4.01049
world,2020,4.34583
