global,time,sh_hiv_incd_14
world,1990,250000
world,1991,290000
world,1992,330000
world,1993,370000
world,1994,410000
world,1995,440000
world,1996,470000
world,1997,500000
world,1998,510000
world,1999,520000
world,2000,520000
world,2001,520000
world,2002,510000
world,2003,510000
world,2004,500000
world,2005,480000
world,2006,460000
world,2007,420000
world,2008,390000
world,2009,350000
world,2010,320000
world,2011,280000
world,2012,250000
world,2013,220000
world,2014,210000
world,2015,190000
world,2016,190000
world,2017,180000
world,2018,170000
world,2019,160000
world,2020,150000
