global,time,dt_oda_odat_kd
world,1960,33143917968.75
world,1961,39905300781.25
world,1962,39182289062.5
world,1963,41564718750
world,1964,40447621093.75
world,1965,43799949218.75
world,1966,43091808593.75
world,1967,43393550781.25
world,1968,38153339843.75
world,1969,37028648437.5
world,1970,40243890625
world,1971,42926730468.75
world,1972,41506398437.5
world,1973,48657089843.75
world,1974,59380500000
world,1975,67322460937.5
world,1976,62951062500
world,1977,60539218750
world,1978,70720429687.5
world,1979,71318679687.5
world,1980,78450460937.5
world,1981,78323710937.5
world,1982,72889531250
world,1983,70097468750
world,1984,74247226562.5
world,1985,77988429687.5
world,1986,75380468750
world,1987,72227046875
world,1988,71861546875
world,1989,74211906250
world,1990,85063101562.5
world,1991,86736070312.5
world,1992,80706546875
world,1993,76348382812.5
world,1994,78703437500
world,1995,69048039062.5
world,1996,68666179687.5
world,1997,64550347656.25
world,1998,69139328125
world,1999,69734742187.5
world,2000,68971468750
world,2001,75767500000
world,2002,87080898437.5
world,2003,88933718750
world,2004,91751085937.5
world,2005,121581773437.5
world,2006,116402351562.5
world,2007,109180078125
world,2008,121582273437.5
world,2009,125342312500
world,2010,128227617187.5
world,2011,131177765625
world,2012,128260546875
world,2013,143077000000
world,2014,152293265625
world,2015,154170453125
world,2016,167227437500
world,2017,170555843750
world,2018,166254859375
world,2019,170974484375
