global,time,sl_emp_mpyr_zs
world,1991,2.70205
world,1992,2.66292
world,1993,2.61931
world,1994,2.61386
world,1995,2.57432
world,1996,2.50724
world,1997,2.49841
world,1998,2.46232
world,1999,2.46865
world,2000,2.43498
world,2001,2.4801
world,2002,2.4827
world,2003,2.49704
world,2004,2.53783
world,2005,2.53882
world,2006,2.54314
world,2007,2.51882
world,2008,2.54327
world,2009,2.55907
world,2010,2.5082
world,2011,2.50844
world,2012,2.55313
world,2013,2.54155
world,2014,2.56145
world,2015,2.59523
world,2016,2.626
world,2017,2.68532
world,2018,2.74581
world,2019,2.72032
