geo,time,en_atm_noxe_zg
abw,1991,0.32826
abw,1992,2.62191
abw,1993,7.2792
abw,1994,11.98053
abw,1995,12.42757
abw,1996,-29.49853
abw,1997,225.01141
abw,1998,-44.72027
abw,1999,-50.81227
abw,2000,-53.75195
abw,2001,-56.24145
abw,2002,-54.86967
abw,2003,-57.64967
abw,2004,-57.60379
abw,2005,-56.28209
abw,2006,-51.23754
abw,2007,-51.56056
abw,2008,-50.2302
abw,2009,-48.21291
abw,2010,-46.19562
abw,2011,-45.65757
abw,2012,-45.11953
afg,1991,0.28009
afg,1992,-1.06191
afg,1993,0.67151
afg,1994,-5.59528
afg,1995,-0.47501
afg,1996,7.29971
afg,1997,15.63933
afg,1998,21.27939
afg,1999,31.01527
afg,2000,20.68155
afg,2001,11.30551
afg,2002,22.79544
afg,2003,21.42829
afg,2004,21.9844
afg,2005,24.14454
afg,2006,24.66794
afg,2007,26.27762
afg,2008,27.2556
afg,2009,21.57606
afg,2010,22.13668
afg,2011,23.35805
afg,2012,24.57941
ago,1991,-24.56491
ago,1992,43.79047
ago,1993,-39.13363
ago,1994,-20.70969
ago,1995,-17.32637
ago,1996,-34.53678
ago,1997,-84.58537
ago,1998,-83.87088
ago,1999,-84.06221
ago,2000,-83.0941
ago,2001,-82.70159
ago,2002,-82.21151
ago,2003,-81.76374
ago,2004,-82.71728
ago,2005,-82.80456
ago,2006,-80.76027
ago,2007,-82.2227
ago,2008,-81.47408
ago,2009,-80.37162
ago,2010,-79.85773
ago,2011,-79.6563
ago,2012,-79.45488
alb,1991,-35.49874
alb,1992,-35.10967
alb,1993,-40.15872
alb,1994,-31.4428
alb,1995,-37.0363
alb,1996,-42.25465
alb,1997,-45.59107
alb,1998,-40.36816
alb,1999,-40.65548
alb,2000,-19.01709
alb,2001,-40.58097
alb,2002,-36.59419
alb,2003,-38.79542
alb,2004,-34.0331
alb,2005,-34.22207
alb,2006,-31.04679
alb,2007,-31.39074
alb,2008,-28.86761
alb,2009,-26.95668
alb,2010,-27.98139
alb,2011,-27.26121
alb,2012,-26.54102
and,1991,0
and,1992,0
and,1993,0
and,1994,0
and,1995,0
and,1996,0
and,1997,0
and,1998,0
and,1999,0
and,2000,0
and,2001,0
and,2002,0
and,2003,0
and,2004,0
and,2005,0
and,2006,0
and,2007,0
and,2008,0
and,2009,0
and,2010,0
and,2011,0
and,2012,0
are,1991,7.81305
are,1992,11.92733
are,1993,20.6583
are,1994,21.4646
are,1995,35.72987
are,1996,34.51923
are,1997,40.34714
are,1998,36.59478
are,1999,42.40208
are,2000,43.24578
are,2001,10.31118
are,2002,19.75245
are,2003,27.97719
are,2004,30.1885
are,2005,32.25934
are,2006,33.46173
are,2007,37.58573
are,2008,34.33724
are,2009,75.27365
are,2010,124.72929
are,2011,126.97659
are,2012,129.22388
arg,1991,-1.81079
arg,1992,1.11545
arg,1993,1.27158
arg,1994,-1.46392
arg,1995,-0.01127
arg,1996,3.43809
arg,1997,1.98865
arg,1998,4.17287
arg,1999,8.79965
arg,2000,9.32115
arg,2001,16.26172
arg,2002,14.96761
arg,2003,27.35584
arg,2004,24.55917
arg,2005,29.88934
arg,2006,32.88479
arg,2007,37.81739
arg,2008,40.43137
arg,2009,15.94704
arg,2010,35.15432
arg,2011,36.50586
arg,2012,37.85741
arm,1991,-3.11083
arm,1992,-19.29297
arm,1993,-30.56726
arm,1994,-39.18084
arm,1995,-41.84693
arm,1996,-39.70875
arm,1997,-41.32827
arm,1998,-41.59473
arm,1999,-44.25928
arm,2000,-42.654
arm,2001,-41.88313
arm,2002,-40.62786
arm,2003,-41.36177
arm,2004,-26.97897
arm,2005,-27.52844
arm,2006,-22.02413
arm,2007,-17.7185
arm,2008,-9.1592
arm,2009,4.92172
arm,2010,22.45039
arm,2011,24.74674
arm,2012,27.04309
asm,1991,0.66737
asm,1992,2.4256
asm,1993,2.60252
asm,1994,3.78219
asm,1995,5.74843
asm,1996,6.00663
asm,1997,7.21363
asm,1998,8.11802
asm,1999,666.20001
asm,2000,2199.38216
asm,2001,2457.82413
asm,2002,2458.15542
asm,2003,2458.35693
asm,2004,2457.89927
asm,2005,2457.81047
asm,2006,2457.91634
asm,2007,2458.09736
asm,2008,2458.23397
asm,2009,2458.38767
asm,2010,2458.63357
asm,2011,2484.21991
asm,2012,2509.80625
atg,1991,1.2118
atg,1992,2.83314
atg,1993,1.78565
atg,1994,6.17123
atg,1995,9.53025
atg,1996,12.98374
atg,1997,17.07906
atg,1998,28.64613
atg,1999,31.56337
atg,2000,27.79035
atg,2001,29.22221
atg,2002,30.49346
atg,2003,34.29741
atg,2004,39.53136
atg,2005,39.38929
atg,2006,40.86874
atg,2007,43.13674
atg,2008,45.77668
atg,2009,48.5022
atg,2010,51.49854
atg,2011,53.01352
atg,2012,54.52851
aus,1991,7.95339
aus,1992,-2.32746
aus,1993,-8.22202
aus,1994,16.07979
aus,1995,-8.59761
aus,1996,-3.84559
aus,1997,2.99337
aus,1998,0.94932
aus,1999,12.18245
aus,2000,20.1738
aus,2001,29.59701
aus,2002,16.39377
aus,2003,10.51646
aus,2004,10.69341
aus,2005,-0.97051
aus,2006,-8.75977
aus,2007,22.91726
aus,2008,-9.10135
aus,2009,-3.59322
aus,2010,-18.17608
aus,2011,-15.96153
aus,2012,-13.74698
aut,1991,0.14179
aut,1992,24.93406
aut,1993,28.04768
aut,1994,27.31538
aut,1995,23.10884
aut,1996,-1.69452
aut,1997,-3.18481
aut,1998,-1.56615
aut,1999,0.65587
aut,2000,-0.03968
aut,2001,-10.94902
aut,2002,-12.82852
aut,2003,-12.0116
aut,2004,-22.30359
aut,2005,-22.77799
aut,2006,-23.30956
aut,2007,-24.43633
aut,2008,-24.0623
aut,2009,-29.21062
aut,2010,-29.25089
aut,2011,-28.93629
aut,2012,-28.66196
aze,1991,-1.93444
aze,1992,-16.23881
aze,1993,-23.96981
aze,1994,-27.59379
aze,1995,-30.43317
aze,1996,-32.70007
aze,1997,-29.72498
aze,1998,-28.97423
aze,1999,-25.59841
aze,2000,-23.85445
aze,2001,-19.20436
aze,2002,-14.71033
aze,2003,-9.05714
aze,2004,-8.28511
aze,2005,-4.14482
aze,2006,-6.66349
aze,2007,-4.46194
aze,2008,-1.61535
aze,2009,0.31491
aze,2010,-0.72145
aze,2011,-0.23404
aze,2012,0.25336
bdi,1991,1.37034
bdi,1992,5.12796
bdi,1993,5.10077
bdi,1994,-6.70933
bdi,1995,-4.48241
bdi,1996,-8.71324
bdi,1997,-12.17227
bdi,1998,-9.60161
bdi,1999,-17.50988
bdi,2000,-21.91166
bdi,2001,-10.59919
bdi,2002,-10.0329
bdi,2003,-7.14523
bdi,2004,-6.48217
bdi,2005,-4.30732
bdi,2006,-4.51421
bdi,2007,-2.56928
bdi,2008,-0.4852
bdi,2009,7.6507
bdi,2010,15.04566
bdi,2011,16.19612
bdi,2012,17.34658
bel,1991,6.67405
bel,1992,6.61317
bel,1993,8.11553
bel,1994,16.56762
bel,1995,21.71124
bel,1996,37.83537
bel,1997,34.42628
bel,1998,33.57589
bel,1999,26.16943
bel,2000,19.86096
bel,2001,-1.79034
bel,2002,-3.7977
bel,2003,-13.19165
bel,2004,-12.86013
bel,2005,-11.24643
bel,2006,-11.07294
bel,2007,-8.85615
bel,2008,-9.13687
bel,2009,-7.8102
bel,2010,3.06844
bel,2011,-10.64652
bel,2012,-13.48283
ben,1991,-20.10481
ben,1992,-6.84197
ben,1993,-12.88246
ben,1994,-11.39497
ben,1995,-3.26484
ben,1996,-2.70257
ben,1997,0.24667
ben,1998,-8.95485
ben,1999,-7.30707
ben,2000,-10.41992
ben,2001,-18.34158
ben,2002,-5.8719
ben,2003,-24.17121
ben,2004,-16.01608
ben,2005,-21.75883
ben,2006,-21.36814
ben,2007,3.65935
ben,2008,37.59925
ben,2009,38.2886
ben,2010,27.82715
ben,2011,29.10542
ben,2012,30.38369
bfa,1991,-6.17355
bfa,1992,2.47444
bfa,1993,3.11997
bfa,1994,6.33955
bfa,1995,13.81671
bfa,1996,16.62609
bfa,1997,22.3533
