geo,time,dc_dac_hunl_cd
afg,2005,70000.0003
afg,2006,389999.98569
afg,2007,7519999.98093
afg,2008,4070000.17166
afg,2009,8449999.80927
afg,2010,6449999.80927
afg,2011,6860000.13351
afg,2012,1830000.04292
afg,2013,569999.99285
afg,2014,79999.99821
afg,2015,159999.99642
afg,2016,230000.00417
afg,2017,230000.00417
afg,2018,19999.99955
afg,2019,39999.99911
ago,2013,9999.99978
ago,2014,50000.00075
ago,2015,100000.00149
ago,2016,140000.0006
ago,2017,140000.0006
ago,2018,259999.99046
ago,2019,439999.99762
alb,2006,9999.99978
alb,2007,9999.99978
alb,2008,79999.99821
alb,2009,29999.99933
alb,2010,90000.00358
alb,2011,50000.00075
alb,2012,29999.99933
alb,2013,39999.99911
alb,2014,9999.99978
alb,2015,39999.99911
alb,2016,29999.99933
alb,2017,39999.99911
alb,2018,379999.99523
alb,2019,720000.02861
arg,2007,9999.99978
arg,2009,59999.99866
arg,2010,19999.99955
arg,2011,29999.99933
arg,2014,19999.99955
arg,2015,29999.99933
arg,2016,19999.99955
arg,2017,19999.99955
arg,2018,29999.99933
arg,2019,129999.99523
arm,2010,19999.99955
arm,2011,59999.99866
arm,2013,9999.99978
arm,2014,9999.99978
arm,2015,70000.0003
arm,2016,19999.99955
arm,2017,19999.99955
arm,2018,50000.00075
arm,2019,39999.99911
atg,2015,0
atg,2016,0
atg,2017,0
atg,2019,0
aze,2006,9999.99978
aze,2008,29999.99933
aze,2009,29999.99933
aze,2010,50000.00075
aze,2011,100000.00149
aze,2012,39999.99911
aze,2013,19999.99955
aze,2015,209999.99344
aze,2016,990000.00954
aze,2017,1120000.00477
aze,2018,3279999.97139
aze,2019,4289999.96185
bdi,2015,0
bdi,2016,0
bdi,2017,0
bdi,2019,0
ben,2015,0
ben,2016,0
ben,2017,0
ben,2019,0
bfa,2015,0
bfa,2016,0
bfa,2017,9999.99978
bfa,2018,0
bfa,2019,0
bgd,2008,29999.99933
bgd,2012,9999.99978
bgd,2013,9999.99978
bgd,2015,9999.99978
bgd,2016,9999.99978
bgd,2017,29999.99933
bgd,2019,540000.02146
bih,2005,59999.99866
bih,2006,50000.00075
bih,2007,319999.99285
bih,2008,469999.99881
bih,2009,469999.99881
bih,2010,239999.99464
bih,2011,860000.01431
bih,2012,59999.99866
bih,2013,159999.99642
bih,2014,140000.0006
bih,2015,439999.99762
bih,2016,310000.00238
bih,2017,170000.00179
bih,2018,550000.01192
bih,2019,579999.98331
blr,2008,79999.99821
blr,2009,9999.99978
blr,2010,50000.00075
blr,2011,159999.99642
blr,2012,19999.99955
blr,2013,19999.99955
blr,2014,0
blr,2015,50000.00075
blr,2016,79999.99821
blr,2017,59999.99866
blr,2018,79999.99821
blr,2019,79999.99821
bol,2016,0
bol,2017,0
bol,2019,0
bra,2007,19999.99955
bra,2010,9999.99978
bra,2011,90000.00358
bra,2012,19999.99955
bra,2013,250000
bra,2014,0
bra,2015,579999.98331
bra,2016,19999.99955
bra,2017,29999.99933
bra,2018,1539999.96185
bra,2019,3069999.93324
btn,2017,0
btn,2019,9999.99978
bwa,2017,0
bwa,2019,0
caf,2017,0
chl,2007,9999.99978
chl,2010,29999.99933
chl,2011,59999.99866
chl,2015,9999.99978
chl,2016,0
chl,2017,0
chn,2007,250000
chn,2008,379999.99523
chn,2009,1860000.01431
chn,2010,779999.97139
chn,2011,360000.01431
chn,2012,810000.00238
chn,2013,310000.00238
chn,2014,280000.00119
chn,2015,1539999.96185
chn,2016,2440000.05722
chn,2017,2670000.07629
chn,2018,4119999.88556
chn,2019,4940000.05722
civ,2015,0
civ,2017,0
cmr,2010,39999.99911
cmr,2011,39999.99911
cmr,2012,50000.00075
cmr,2013,59999.99866
cmr,2015,39999.99911
cmr,2016,50000.00075
cmr,2017,59999.99866
cmr,2019,19999.99955
cod,2008,9999.99978
cod,2009,29999.99933
cod,2013,9999.99978
cod,2014,29999.99933
cod,2015,0
cod,2016,0
cod,2017,0
cod,2018,1190000.05722
cod,2019,0
cog,2010,9999.99978
cog,2015,0
cog,2016,0
cog,2017,0
cog,2019,9999.99978
col,2007,9999.99978
col,2014,19999.99955
col,2015,79999.99821
col,2016,140000.0006
col,2017,170000.00179
col,2018,360000.01431
col,2019,500000
com,2016,0
com,2017,0
cpv,2018,29999.99933
cpv,2019,189999.99762
cri,2015,0
cri,2016,0
cri,2017,0
cri,2019,0
cub,2008,59999.99866
cub,2009,19999.99955
cub,2015,0
cub,2016,0
cub,2018,79999.99821
cub,2019,0
dom,2019,9999.99978
dza,2006,9999.99978
dza,2008,39999.99911
dza,2009,70000.0003
dza,2010,50000.00075
dza,2013,9999.99978
dza,2014,250000
dza,2015,720000.02861
dza,2016,889999.98569
dza,2017,889999.98569
dza,2018,1440000.05722
dza,2019,1419999.95708
ecu,2008,9999.99978
ecu,2013,29999.99933
ecu,2015,319999.99285
ecu,2016,579999.98331
ecu,2017,589999.97377
ecu,2018,1019999.98093
ecu,2019,819999.99285
egy,2007,109999.9994
egy,2008,19999.99955
egy,2009,109999.9994
egy,2010,100000.00149
egy,2011,170000.00179
egy,2012,119999.99732
egy,2013,90000.00358
egy,2014,90000.00358
egy,2015,39999.99911
egy,2016,180000.00715
egy,2017,200000.00298
egy,2018,1600000.02384
egy,2019,2119999.88556
eri,2015,0
eri,2016,0
eri,2017,0
eri,2018,19999.99955
eri,2019,90000.00358
eth,2007,19999.99955
eth,2009,119999.99732
eth,2010,129999.99523
eth,2011,170000.00179
eth,2012,129999.99523
eth,2013,129999.99523
eth,2014,29999.99933
eth,2015,59999.99866
eth,2016,90000.00358
eth,2017,70000.0003
eth,2018,490000.00954
eth,2019,3089999.91417
fji,2017,0
fji,2019,9999.99978
gab,2016,0
gab,2017,0
gab,2019,0
geo,2008,270000.01073
geo,2009,50000.00075
geo,2010,29999.99933
geo,2011,129999.99523
geo,2012,29999.99933
geo,2013,19999.99955
geo,2014,90000.00358
geo,2015,159999.99642
geo,2016,490000.00954
geo,2017,509999.99046
geo,2018,1200000.04768
geo,2019,1210000.03815
gha,2010,9999.99978
gha,2011,9999.99978
gha,2012,9999.99978
gha,2013,19999.99955
gha,2015,19999.99955
gha,2016,219999.99881
gha,2017,270000.01073
gha,2018,1009999.99046
gha,2019,1370000.00477
gin,2016,9999.99978
gin,2017,9999.99978
gin,2019,9999.99978
gmb,2014,9999.99978
gmb,2015,29999.99933
gmb,2016,19999.99955
gmb,2017,19999.99955
gmb,2018,19999.99955
gmb,2019,19999.99955
gnq,2017,0
gnq,2019,0
gtm,2015,0
gtm,2016,0
gtm,2017,0
gtm,2019,0
guy,2015,0
guy,2017,0
hnd,2015,0
hnd,2016,0
hnd,2019,0
hrv,2006,19999.99955
hrv,2007,360000.01431
hrv,2008,230000.00417
hrv,2009,519999.98093
hrv,2010,379999.99523
hti,2010,39999.99911
hti,2011,100000.00149
hti,2012,19999.99955
hti,2013,9999.99978
hti,2014,9999.99978
hti,2015,19999.99955
hti,2016,0
hti,2017,0
idn,2007,9999.99978
idn,2009,39999.99911
idn,2010,39999.99911
idn,2011,109999.9994
idn,2012,9999.99978
idn,2013,19999.99955
idn,2014,9999.99978
idn,2015,0
idn,2016,409999.99642
idn,2017,819999.99285
idn,2018,2970000.02861
ind,2007,9999.99978
ind,2008,19999.99955
ind,2009,319999.99285
ind,2010,170000.00179
ind,2011,159999.99642
ind,2012,829999.98331
ind,2013,70000.0003
ind,2014,39999.99911
ind,2015,1509999.99046
ind,2016,1070000.05245
ind,2017,1240000.00954
ind,2018,3569999.93324
ind,2019,4000000
irn,2008,9999.99978
irn,2009,19999.99955
irn,2010,529999.97139
irn,2011,579999.98331
irn,2012,540000.02146
irn,2013,529999.97139
irn,2015,419999.98689
irn,2016,629999.99523
irn,2017,829999.98331
irn,2018,899999.97616
irn,2019,2940000.05722
irq,2005,389999.98569
irq,2006,67150001.52588
irq,2007,19999.99955
irq,2008,39999.99911
irq,2009,19999.99955
irq,2010,39999.99911
irq,2011,9999.99978
irq,2012,9999.99978
irq,2013,9999.99978
irq,2014,150000.00596
irq,2015,709999.97854
irq,2016,649999.97616
irq,2017,689999.99762
irq,2018,6219999.79019
irq,2019,3400000.09537
jam,2016,0
jam,2017,0
jor,2010,9999.99978
jor,2011,9999.99978
jor,2012,9999.99978
jor,2013,239999.99464
jor,2014,1940000.05722
jor,2015,3170000.07629
jor,2016,2390000.1049
jor,2017,2470000.02861
jor,2018,8319999.69482
jor,2019,10050000.19073
kaz,2006,79999.99821
kaz,2008,29999.99933
kaz,2009,70000.0003
kaz,2010,29999.99933
kaz,2011,19999.99955
kaz,2012,29999.99933
kaz,2013,289999.99166
kaz,2014,159999.99642
kaz,2015,400000.00596
kaz,2016,610000.01431
kaz,2017,629999.99523
kaz,2018,2250000
kaz,2019,3970000.02861
ken,2007,50000.00075
ken,2008,29999.99933
ken,2009,90000.00358
ken,2010,79999.99821
ken,2011,90000.00358
ken,2012,70000.0003
ken,2013,140000.0006
ken,2014,19999.99955
ken,2015,29999.99933
ken,2016,150000.00596
ken,2017,200000.00298
ken,2018,2049999.95232
ken,2019,2069999.93324
kgz,2005,70000.0003
kgz,2007,50000.00075
kgz,2008,129999.99523
kgz,2009,19999.99955
kgz,2010,9999.99978
kgz,2011,29999.99933
kgz,2012,29999.99933
kgz,2013,19999.99955
kgz,2014,0
kgz,2015,19999.99955
kgz,2016,39999.99911
kgz,2017,39999.99911
kgz,2018,230000.00417
kgz,2019,649999.97616
khm,2005,59999.99866
khm,2007,100000.00149
khm,2008,90000.00358
khm,2009,259999.99046
khm,2014,9999.99978
khm,2015,70000.0003
khm,2016,189999.99762
khm,2017,70000.0003
khm,2018,189999.99762
khm,2019,289999.99166
kos,2009,949999.98808
kos,2010,460000.00834
kos,2011,250000
kos,2012,219999.99881
kos,2013,50000.00075
kos,2014,9999.99978
kos,2015,29999.99933
kos,2016,79999.99821
kos,2017,100000.00149
kos,2018,810000.00238
kos,2019,1259999.99046
lao,2005,620000.00477
lao,2006,79999.99821
lao,2009,1690000.05722
lao,2010,230000.00417
lao,2011,250000
lao,2012,19999.99955
lao,2013,519999.98093
lao,2014,289999.99166
lao,2015,509999.99046
lao,2016,3099999.90463
lao,2017,2380000.11444
lao,2018,26180000.30518
lao,2019,17219999.31335
lbn,2010,9999.99978
lbn,2011,9999.99978
lbn,2012,9999.99978
lbn,2013,59999.99866
lbn,2014,29999.99933
lbn,2015,100000.00149
lbn,2016,150000.00596
lbn,2017,170000.00179
lbn,2018,1610000.01431
