geo,time,sl_uem_intm_ma_zs
afg,2014,8.59
afg,2017,13.38
afg,2020,10.5
ago,2004,13.61
ago,2009,10.71
ago,2011,12.46
ago,2014,12.09
alb,2007,15.62
alb,2008,13.65
alb,2009,13.3
alb,2010,13.36
alb,2011,12.83
alb,2012,15.76
alb,2013,19.78
alb,2014,22.19
alb,2015,19.18
alb,2016,17.27
alb,2017,15.09
alb,2018,11.47
alb,2019,10.11
are,1995,2.3
are,2005,2.84
are,2017,2.6
are,2018,2.5
arg,2002,20.12
arg,2003,15.39
arg,2004,12.74
arg,2005,9.69
arg,2006,8.68
arg,2008,6.28
arg,2009,7.29
arg,2010,6.75
arg,2011,6.15
arg,2012,6.37
arg,2013,6.59
arg,2014,6.66
arg,2017,7.43
arg,2018,8.59
arg,2019,9.54
arg,2020,10.37
arm,2007,22.07
arm,2008,20.34
arm,2009,17.88
arm,2010,17.07
arm,2011,16.71
arm,2012,16.22
arm,2013,14.47
arm,2014,16.51
arm,2015,18.44
arm,2016,18.67
arm,2017,17.85
arm,2018,17.67
arm,2019,18.71
arm,2020,19.91
aus,1995,21.68
aus,1997,8
aus,1998,6.87
aus,2000,5.75
aus,2001,5.8
aus,2002,5.29
aus,2003,4.66
aus,2004,4.27
aus,2005,3.66
aus,2006,4.52
aus,2007,3.36
aus,2008,3.35
aus,2009,5.6
aus,2010,4.76
aus,2011,4.19
aus,2012,4.73
aus,2013,5.18
aus,2014,5.17
aus,2015,5.42
aus,2016,5.56
aus,2017,4.99
aut,1994,2.75
aut,1998,4.69
aut,1999,4.21
aut,2000,4.29
aut,2001,3.66
aut,2002,5.04
aut,2003,4.6
aut,2004,5.2
aut,2005,4.67
aut,2006,4.25
aut,2007,3.85
aut,2008,3.46
aut,2009,5.02
aut,2010,4.55
aut,2011,4.05
aut,2012,4.56
aut,2013,4.89
aut,2014,5.34
aut,2015,5.8
aut,2016,6.08
aut,2017,5.51
aut,2018,4.33
aut,2019,4.02
aut,2020,5.08
aze,2007,8.28
aze,2008,6.95
aze,2009,4.07
aze,2010,3.8
aze,2011,3.43
aze,2012,3.44
aze,2014,3.16
aze,2015,3.21
aze,2016,3.28
aze,2017,3.29
aze,2018,3.31
aze,2020,4.49
bdi,2014,26.42
bel,1998,6.44
bel,1999,6.79
bel,2000,4.96
bel,2001,3.73
bel,2002,5.57
bel,2003,7.03
bel,2004,6.04
bel,2005,7.11
bel,2006,6.68
bel,2007,6.05
bel,2008,5.69
bel,2009,7.4
bel,2010,7.14
bel,2011,6.02
bel,2012,7.09
bel,2013,7.95
bel,2014,8.79
bel,2015,8.5
bel,2016,7.9
bel,2017,6.69
bel,2018,5.82
bel,2019,5.36
bel,2020,5.38
ben,2011,4.77
ben,2018,1.1
bfa,2014,6.65
bfa,2018,6.81
bgd,2006,5.49
bgd,2010,6.03
bgd,2013,4.53
bgd,2016,7.63
bgd,2017,6.42
bgr,2000,15.96
bgr,2001,19.67
bgr,2002,17.67
