geo,time,se_ter_enrr
abw,1999,28.07222
abw,2000,29.65051
abw,2001,29.05586
abw,2002,26.68902
abw,2003,26.752
abw,2004,26.30441
abw,2005,31.68347
abw,2006,30.90319
abw,2007,33.91582
abw,2008,35.24049
abw,2009,35.36232
abw,2010,37.34573
abw,2011,38.72564
abw,2012,37.76113
abw,2013,16.19583
abw,2014,16.40542
abw,2015,15.27177
abw,2016,15.59921
afg,1970,0.76877
afg,1971,0.92388
afg,1972,0.95113
afg,1973,1.09459
afg,1974,1.0226
afg,1975,1.11732
afg,1976,1.26757
afg,1977,1.40822
afg,1978,1.80833
afg,1979,1.94564
afg,1982,1.72288
afg,1986,2.1554
afg,1987,1.70774
afg,1990,2.21141
afg,2003,1.20234
afg,2004,1.19937
afg,2009,3.77498
afg,2011,3.62226
afg,2014,8.23068
afg,2018,9.68642
afg,2020,10.56252
ago,1988,0.58355
ago,1989,0.54828
ago,1990,0.55307
ago,1991,0.54504
ago,1992,0.50501
ago,1998,0.54972
ago,1999,0.49829
ago,2002,0.71336
ago,2003,2.635
ago,2004,1.97574
ago,2005,2.43892
ago,2006,2.37982
ago,2011,6.1303
ago,2013,8.83833
ago,2015,8.40094
ago,2016,9.33626
alb,1971,13.90814
alb,1972,14.92791
alb,1978,5.83142
alb,1981,5.1894
alb,1983,5.92612
alb,1984,6.55999
alb,1985,7.02591
alb,1986,7.22121
alb,1987,7.32687
alb,1988,7.73796
alb,1989,8.14828
alb,1990,8.36636
alb,1991,8.85533
alb,1992,9.28732
alb,1993,11.17761
alb,1994,10.63358
alb,1995,10.20282
alb,1996,10.93945
alb,1997,12.69972
alb,1998,13.55017
alb,1999,14.74777
alb,2000,15.53661
alb,2001,15.90463
alb,2002,16.31143
alb,2003,16.65724
alb,2004,19.89044
alb,2005,23.18983
alb,2006,26.63714
alb,2007,30.68713
alb,2008,32.0928
alb,2009,33.38555
alb,2010,44.54925
alb,2011,49.8787
alb,2012,59.25201
alb,2013,64.63443
alb,2014,65.78297
alb,2015,62.00762
alb,2016,58.38185
alb,2017,57.37526
alb,2018,54.96133
alb,2019,59.7785
alb,2020,57.81314
are,2019,52.60698
are,2020,53.71602
arg,1970,13.24435
arg,1971,15.30603
arg,1972,16.48376
arg,1973,19.61808
arg,1974,22.74869
arg,1975,26.97598
arg,1976,27.07182
arg,1977,24.07762
arg,1978,21.38019
arg,1979,22.22991
arg,1980,21.73469
arg,1981,23.10263
arg,1982,23.83
arg,1983,24.83893
arg,1984,28.67647
arg,1985,35.49595
arg,1986,37.42499
arg,1987,39.22065
arg,1991,38.11911
arg,1994,37.00133
arg,1998,46.9607
arg,1999,48.83172
arg,2000,53.96481
arg,2001,59.01155
arg,2002,62.74873
arg,2003,65.17626
arg,2004,65.48537
arg,2005,63.96667
arg,2006,66.96473
arg,2007,66.41163
arg,2008,68.05695
arg,2009,70.20646
arg,2010,73.2314
arg,2011,76.2974
arg,2012,77.44629
arg,2013,78.2239
arg,2014,80.99581
arg,2015,84.002
arg,2016,87.21345
arg,2017,89.95852
arg,2018,91.6006
arg,2019,95.44791
arm,1986,17.5996
arm,1988,18.79871
arm,1989,20.4359
arm,1990,23.20482
arm,1991,25.3567
arm,1992,25.34212
arm,1993,23.02764
arm,1994,19.12431
arm,1995,19.08214
arm,1996,16.93857
arm,1997,22.72023
arm,1998,33.57358
arm,1999,35.21241
arm,2000,35.54979
arm,2001,33.5453
arm,2002,36.14686
arm,2003,37.21888
arm,2004,37.88314
arm,2005,39.54677
arm,2006,43.11535
arm,2007,45.93094
arm,2008,48.48933
arm,2009,51.33459
arm,2010,52.98915
arm,2011,53.33778
arm,2012,46.15803
arm,2013,45.73739
arm,2014,47.08219
arm,2015,46.5218
