global,time,sl_emp_1524_sp_fe_zs
world,1991,44.70631
world,1992,44.03464
world,1993,42.94773
world,1994,42.15735
world,1995,41.12158
world,1996,40.2348
world,1997,39.34787
world,1998,38.57478
world,1999,37.96386
world,2000,37.44205
world,2001,36.97955
world,2002,36.6181
world,2003,36.13051
world,2004,35.92928
world,2005,35.69639
world,2006,35.29984
world,2007,34.92982
world,2008,34.3195
world,2009,33.39333
world,2010,32.62896
world,2011,31.91931
world,2012,31.1636
world,2013,30.50644
world,2014,30.06542
world,2015,29.68874
world,2016,29.23733
world,2017,28.97576
world,2018,28.6901
world,2019,28.65219
world,2020,26.19124
