geo,time,bn_klt_ptxl_cd
atg,2011,-10144068.14815
atg,2012,-6668289.25926
atg,2013,-5321430.74074
atg,2014,5193808.25185
atg,2015,30381484.47407
atg,2016,11076023.86299
atg,2017,-13082001.38855
atg,2018,83330480.08114
atg,2019,18778117.61481
atg,2020,-42218679.63608
aus,1989,-8112295912.36159
aus,1990,-7566983509.70278
aus,1991,-9302902128.51707
aus,1992,736687172.40294
aus,1993,-8052294090.06582
aus,1994,-15975783689.0256
aus,1995,-12270826516.291
aus,1996,-20549055305.23389
aus,1997,-13092557939.5007
aus,1998,-3916797785.55801
aus,1999,-14086844719.2681
aus,2000,-4071338217.67303
aus,2001,-6371942604.39432
aus,2002,-339472612.55455
aus,2003,-41260991987.6558
aus,2004,-15943896031.8959
aus,2005,-32719174101.3441
aus,2006,-52294971642.3073
aus,2007,23452260087.7344
aus,2008,-32866552387.3277
aus,2009,-75822478795.4847
aus,2010,-68783482636.1992
aus,2011,-28743543870.8269
aus,2012,-13510777356.9062
aus,2013,-48820196571.5362
aus,2014,-20969804694.9674
aus,2015,-42228978474.9284
aus,2016,31210790667.4015
aus,2017,-23718735774.46
aus,2018,14855578627.9278
aus,2019,32990092828.0196
aus,2020,13041240721.374
aut,2005,13486166169.8904
aut,2006,-14464616321.0059
aut,2007,-30156335591.4617
aut,2008,-35794385278.1021
aut,2009,11020870945.4539
aut,2010,9928912012.12125
aut,2011,-22293917751.6166
aut,2012,-7456431452.07507
aut,2013,-2767331470.7361
aut,2014,16596452155.8878
aut,2015,15635864057.9653
aut,2016,26648727355.1773
aut,2017,21361937959.6277
aut,2018,4117919283.04946
aut,2019,-3835255637.33766
aut,2020,-14517037709.5062
aze,1995,1658000
aze,1996,0
aze,1997,-1063000
aze,1998,-365000
aze,2002,370000
aze,2003,10000
aze,2004,18071000
aze,2005,-30503000
aze,2006,12048000
aze,2007,26426000
aze,2008,347385000
aze,2009,138797000
aze,2010,138753000
aze,2011,316905000
aze,2012,-268114000
aze,2013,-718509000
aze,2014,-1321422000
aze,2015,-1080758000
aze,2016,-487854000
aze,2017,-2668891000
aze,2018,1240981000
aze,2019,388636730.48852
aze,2020,281845000
bdi,1985,0
bdi,1986,0
bdi,1987,0
bdi,1988,0
bdi,1989,0
bdi,1990,0
bdi,1991,0
bdi,1992,0
bdi,1993,0
bdi,1994,0
bdi,1995,0
bdi,1996,0
bdi,1997,0
bdi,1998,0
bdi,1999,0
bdi,2000,0
bdi,2001,0
bdi,2002,0
bdi,2003,0
bdi,2004,0
bdi,2005,0
bdi,2006,0
bdi,2014,-56350973.90982
bel,2002,-14458432463.0603
bel,2003,-590055393.26463
bel,2004,30531696813.2396
bel,2005,44624567668.2668
bel,2006,9222246422.85132
bel,2007,43001743271.4919
bel,2008,-47740894791.5094
bel,2009,-40293613296.0917
bel,2010,27356904994.8052
bel,2011,23130834275.9064
bel,2012,-63169390964.5411
bel,2013,-39847341454.0539
bel,2014,-19241546676.66109
bel,2015,-20874189176.71749
bel,2016,12688281840.1986
bel,2017,12073676727.0045
bel,2018,-4085459372.14288
bel,2019,-7406264758.92859
bel,2020,25790509266.5868
ben,1974,0
ben,1975,0
ben,1976,0
ben,1977,0
ben,1978,0
ben,1979,0
ben,1980,0
ben,1981,0
ben,1982,0
ben,1983,0
ben,1984,0
ben,1985,0
ben,1986,0
ben,1987,0
ben,1988,-286051.73581
ben,1989,702803.03164
ben,1990,4621603.87854
ben,1991,-3796433.07752
ben,1992,5563451.5154
ben,1993,9068288.62957
ben,1994,26391707.62541
ben,1995,63902835.99994
ben,1996,11648854.83356
ben,1997,17162113.47464
ben,1998,-26110608.80577
ben,1999,-13784512.37472
ben,2000,-3244120.13736
ben,2001,1346263.11507
ben,2002,1375208.03058
ben,2003,8180757.1234
ben,2004,697844.6034
ben,2005,-16657867.60757
ben,2006,-14593464.86216
ben,2007,-18314631.12943
ben,2008,-8966366.88004
ben,2009,-91897946.80294
ben,2010,123479604.88772
ben,2011,207751481.18605
ben,2012,172278538.87056
ben,2013,152285720.35216
ben,2014,79133407.51795
ben,2015,168463006.29682
ben,2016,3337464.15783
ben,2017,-235130669.01729
ben,2018,-421012.67632
ben,2019,-24833944.5195
ben,2020,510149173.7629
bfa,2005,5285833.65846
bfa,2006,10166040.38339
bfa,2007,55917498.00912
bfa,2008,69069500.31
bfa,2009,39454092.01806
bfa,2010,208426022.43745
bfa,2011,96573225.92839
bfa,2012,-32613442.91682
bfa,2013,-14005477.36005
bfa,2014,72847526.15031
bfa,2015,400154463.8025
bfa,2016,398922983.50035
bfa,2017,-120119451.03455
bfa,2018,-588901153.39521
bfa,2019,-99907662.90986
bfa,2020,518135101.92637
