global,time,ic_elc_time
world,2009,113.71512
world,2010,107.63372
world,2011,105.7069
world,2012,104.31461
world,2013,104.78714
world,2014,99.50429
world,2015,92.34446
world,2016,90.53645
world,2017,88.38081
world,2018,84.87583
world,2019,82.50337
