global,time,st_int_arvl
world,1995,1082522375.32946
world,1996,1143489092.74829
world,1997,1193996052.17022
world,1998,1209956781.39432
world,1999,1254467157.97263
world,2000,1332379078.84286
world,2001,1299004507.5794
world,2002,1319581840.28965
world,2003,1300066793.0465
world,2004,1436450364.25948
world,2005,1501611341.31288
world,2006,1683029831.5264
world,2007,1739388599.52882
world,2008,1750746690.46876
world,2009,1687198487.93653
world,2010,1755720045.79761
world,2011,1792688016.34094
world,2012,1881196824.91292
world,2013,1952484358.48149
world,2014,2012330419.01591
world,2015,2071785909.76065
world,2016,2140443306.01389
world,2017,2248870723.88107
world,2018,2339399881.49679
world,2019,2403074088.46029
