global,time,bm_gsr_tran_zs
world,1981,36.10591
world,1982,34.48796
world,1983,33.96803
world,1984,33.60286
world,1985,32.94698
world,1986,31.34464
world,1987,31.0653
world,1988,31.79898
world,1989,32.23113
world,1990,30.6916
world,1991,29.8123
world,1992,28.88509
world,1993,28.97061
world,1994,29.50326
world,1995,29.67112
world,1996,28.1585
world,1997,27.89452
world,1998,26.92107
world,1999,25.50909
world,2000,26.38456
world,2001,25.82804
world,2002,24.91967
world,2003,25.16922
world,2004,25.99742
world,2005,25.99711
world,2006,25.91734
world,2007,26.21835
world,2008,26.30726
world,2009,22.81676
world,2010,24.48174
world,2011,24.82159
world,2012,24.70877
world,2013,23.57069
world,2014,22.30797
world,2015,21.1836
world,2016,20.07217
world,2017,20.19165
world,2018,20.74281
world,2019,20.06975
world,2020,20.09627
