geo,time,se_ter_cuat_do_zs
pry,2016,0.05027
pry,2018,0.0558
pry,2019,0.06371
pry,2020,0.09103
pse,2013,0.31209
pse,2014,0.22657
pse,2015,0.21068
pse,2016,0.21026
pse,2017,0.24332
pse,2018,0.25514
pse,2020,0.26999
qat,2016,0.42846
qat,2017,0.43991
rou,2014,0.08107
rus,2010,0.64949
rwa,2012,0.03361
rwa,2014,0.01275
rwa,2018,0.01602
sau,2017,0.67708
sau,2020,1.15104
sen,2011,0.27491
sen,2013,0.42363
sen,2017,0.06748
slv,2013,0.0388
srb,2011,0.34687
srb,2013,0.28331
srb,2014,0.40921
srb,2015,0.36521
srb,2016,0.48204
srb,2017,0.39323
srb,2019,0.25815
ssd,2008,0.19997
stp,2012,0
svk,2011,1.06247
svk,2014,0.54816
svk,2015,0.66126
svk,2016,0.5299
svk,2017,0.63175
svk,2018,0.83629
svk,2019,0.83969
svn,2014,1.62655
svn,2015,1.76355
svn,2016,2.30224
svn,2017,2.75572
svn,2019,3.58212
swe,2013,1.15891
swe,2014,1.18311
swe,2015,1.20636
swe,2016,1.22181
swe,2017,1.24491
swe,2019,1.29111
tcd,2009,0.04573
tha,2018,0.10102
tha,2019,0.08783
tto,2011,0.23563
tur,2013,0.34356
tur,2014,0.35078
tur,2015,0.33863
tur,2016,0.35906
tur,2017,0.42272
tur,2019,0.42291
ukr,2001,0
ury,2013,0.06111
usa,2013,1.67716
usa,2014,1.76948
usa,2015,1.70131
usa,2016,1.85372
usa,2018,2.03265
usa,2020,2.08855
vnm,2019,0.07411
zaf,2017,0.30878
zaf,2019,0.68682
zwe,2017,0.03675
