geo,time,tm_tax_manf_sm_ar_zs
abw,2011,10.97
abw,2012,10.97
abw,2013,10.97
abw,2015,11.12
abw,2016,11.1
abw,2017,11.07
abw,2018,11.07
abw,2019,11.07
afg,2004,4.2
afg,2006,5.83
afg,2007,5.83
afg,2008,5.81
afg,2012,6.15
afg,2013,6.15
afg,2018,6.92
ago,2002,7.61
ago,2004,7.57
ago,2005,7.33
ago,2006,7.33
ago,2008,7.25
ago,2009,7.21
ago,2010,7.37
ago,2011,7.29
ago,2012,7.19
ago,2013,7.18
ago,2014,9.39
ago,2015,9.19
ago,2016,9.19
ago,2018,6.89
ago,2019,7.28
ago,2020,9.22
alb,1997,17.08
alb,2000,11.68
alb,2001,11.63
alb,2002,8.26
alb,2003,8.05
alb,2004,7.18
alb,2005,6.18
alb,2006,6.19
alb,2007,5.48
alb,2008,2.09
alb,2009,5.51
alb,2010,5.56
alb,2011,1.9
alb,2012,1.32
alb,2013,1.35
alb,2014,1.04
alb,2015,1.03
alb,2016,1.25
alb,2017,0.98
alb,2018,1.24
alb,2019,1.24
alb,2020,1.23
are,2005,4.37
are,2007,4.17
are,2008,4.2
are,2009,4.2
are,2011,4.7
are,2012,4.29
are,2013,4.32
are,2014,4.05
are,2015,4.03
are,2016,4.04
are,2017,4.15
are,2018,4.05
are,2019,4.07
are,2020,4.07
arg,1992,14.81
arg,1993,13.87
arg,1995,13.09
arg,1996,14.92
arg,1997,14.93
arg,1998,17.15
arg,1999,15.59
arg,2000,15.61
arg,2001,13.47
arg,2002,15.15
arg,2003,15.22
arg,2004,12.14
arg,2005,10.87
arg,2006,10.94
arg,2007,11.87
arg,2008,11.54
arg,2009,12.09
arg,2010,11.86
arg,2011,11.73
arg,2012,11.53
arg,2013,12.62
arg,2014,13.05
arg,2015,12.93
arg,2016,13.05
arg,2017,13.18
arg,2018,12.91
arg,2019,12.6
arg,2020,12.59
arm,2001,2.82
arm,2003,3.34
arm,2004,3.51
arm,2005,3.48
arm,2006,3.38
arm,2007,3.6
arm,2008,3.49
arm,2009,3.88
arm,2010,3.9
arm,2011,3.96
arm,2012,4.57
arm,2013,4.5
arm,2014,4.48
arm,2015,6.26
arm,2016,4.85
arm,2017,4.51
arm,2019,4.99
arm,2020,4.73
atg,1996,22.03
atg,1999,18.11
atg,2000,15.83
atg,2001,12.66
atg,2002,12.66
atg,2003,13.13
atg,2004,13.14
atg,2005,13.14
atg,2006,10.95
atg,2007,11.16
atg,2008,11.07
atg,2009,12.93
atg,2010,12.97
atg,2011,12.97
atg,2012,11.56
atg,2013,11.61
atg,2014,11.46
atg,2015,11.57
atg,2016,11.52
atg,2017,11.36
atg,2018,11.33
atg,2019,11.51
atg,2020,11.51
aus,1991,14.52
aus,1993,9.91
aus,1996,7.7
aus,1997,7.58
aus,1998,6.91
aus,1999,6.73
aus,2000,6.53
aus,2001,5.91
aus,2002,5.61
aus,2003,5.64
aus,2004,5.7
aus,2005,4.65
aus,2006,4.19
aus,2007,4.27
aus,2008,4.27
aus,2009,4.42
aus,2010,3.07
aus,2011,3.02
aus,2012,2.99
aus,2013,3.01
aus,2014,3.07
aus,2015,2.67
aus,2016,2.46
aus,2017,2.38
aus,2018,2.36
aus,2019,2.15
aus,2020,2.09
aut,1988,2.55
aut,1989,2.84
aut,1990,5.86
aut,1991,4.32
aut,1992,3.3
aut,1993,3.14
aut,1994,3.95
aut,1995,4.23
aut,1996,2.82
aut,1997,2.23
aut,1998,2.86
aut,1999,3.31
aut,2000,2.3
aut,2001,3.04
aut,2002,1.75
aut,2003,1.68
aut,2004,1.76
aut,2005,1.7
aut,2006,1.8
aut,2007,1.67
aut,2008,1.59
aut,2009,1.6
aut,2010,2
aut,2011,1.51
aut,2012,1.5
aut,2013,1.47
aut,2014,2.07
aut,2015,2.03
aut,2016,1.75
aut,2017,1.87
aut,2018,1.81
aut,2019,1.79
aut,2020,1.6
aze,2002,10.53
aze,2005,10.52
aze,2007,8.41
aze,2008,8.05
aze,2009,8.33
aze,2011,8.22
aze,2012,8.62
aze,2013,8.54
aze,2014,9.21
aze,2015,8.44
aze,2019,9.56
aze,2020,9
bdi,2002,21.15
bdi,2003,21.26
bdi,2005,20.2
bdi,2006,15.91
bdi,2007,13.66
bdi,2008,12.92
bdi,2009,10.26
bdi,2010,9.89
bdi,2011,9.8
bdi,2012,10.15
bdi,2013,9.4
bdi,2014,9.42
bdi,2015,10.04
bdi,2016,10.13
bdi,2018,10.09
bdi,2019,10.85
bdi,2020,11.1
bel,1988,2.55
bel,1989,2.84
bel,1990,5.86
bel,1991,4.32
bel,1992,3.3
bel,1993,3.14
bel,1994,3.95
bel,1995,4.23
bel,1996,2.82
bel,1997,2.23
bel,1998,2.86
bel,1999,3.31
bel,2000,2.3
bel,2001,3.04
bel,2002,1.75
bel,2003,1.68
bel,2004,1.76
bel,2005,1.7
bel,2006,1.8
bel,2007,1.67
bel,2008,1.59
bel,2009,1.6
bel,2010,2
bel,2011,1.51
bel,2012,1.5
bel,2013,1.47
bel,2014,2.07
bel,2015,2.03
bel,2016,1.75
bel,2017,1.87
bel,2018,1.81
bel,2019,1.79
bel,2020,1.6
ben,2001,14.07
ben,2002,14.08
ben,2003,14.33
ben,2004,14.33
ben,2005,14.33
ben,2006,13.55
ben,2007,12.74
ben,2008,12.74
ben,2009,12.74
ben,2010,12.74
ben,2011,13.06
ben,2012,13.06
ben,2013,13.06
ben,2014,12.89
ben,2015,10.19
ben,2016,10.06
ben,2017,12.85
ben,2018,12.66
ben,2019,10.89
ben,2020,10.89
bfa,1993,5
bfa,2001,13.36
bfa,2002,13.29
bfa,2003,13.52
bfa,2004,13.51
bfa,2005,13.42
bfa,2006,12.69
bfa,2007,12.51
bfa,2008,12.51
bfa,2009,12.51
bfa,2010,12.38
bfa,2011,12.46
bfa,2012,12.48
bfa,2013,12.48
bfa,2014,12.51
bfa,2015,10.41
bfa,2016,10.67
bfa,2017,12.11
bfa,2018,11.69
bfa,2019,11.03
