geo,time,gc_xpn_intp_rv_zs
bfa,2010,2.42601
bfa,2011,2.70141
bfa,2012,3.27551
bfa,2013,2.41083
bfa,2014,3.33131
bfa,2015,3.42433
bfa,2016,4.62956
bfa,2017,4.47159
bfa,2018,5.72043
bfa,2019,6.08344
bgd,2001,15.46261
bgd,2002,16.47857
bgd,2003,16.68045
bgd,2004,16.3731
bgd,2005,16.89407
bgd,2006,19.08374
bgd,2007,20.6951
bgd,2008,21.8101
bgd,2009,21.72863
bgd,2010,18.30535
bgd,2011,15.86226
bgd,2012,16.74448
bgd,2013,17.17623
bgd,2014,18.43707
bgd,2015,20.42659
bgd,2016,18.45908
bgr,1990,10.90942
bgr,1991,17.57684
bgr,1992,19.34414
bgr,1993,29.25567
bgr,1994,37.2893
bgr,2005,4.47108
bgr,2006,3.85788
bgr,2007,3.01968
bgr,2008,2.25533
bgr,2009,2.16731
bgr,2010,2.20066
bgr,2011,2.34403
bgr,2012,2.45689
bgr,2013,2.13052
bgr,2014,2.47428
bgr,2015,2.61295
bgr,2016,2.64655
bgr,2017,2.3896
bgr,2018,1.83765
bgr,2019,1.47735
bhr,1974,0.08511
bhr,1975,0.23256
bhr,1976,0.26781
bhr,1977,0.4704
bhr,1978,0.73019
bhr,1979,0.5258
bhr,1980,0.35899
bhr,1981,0.48453
bhr,1982,0.37892
bhr,1983,0.44852
bhr,1984,0.40153
bhr,1985,0.7573
bhr,1986,1.30492
bhr,1987,2.27053
bhr,1988,3.00961
bhr,1989,3.13067
bhr,1990,3.59669
bhr,1991,1.6555
bhr,1992,2.48954
bhr,1993,2.82265
bhr,1994,3.34891
bhr,1995,3.6425
bhr,1996,3.1388
bhr,1997,3.16176
bhr,1998,4.3494
bhr,1999,4.39942
bhr,2000,4.36186
bhr,2001,5.12719
bhr,2002,3.50005
bhr,2003,4.31516
bhr,2004,3.43357
bhs,1990,12.40217
bhs,1991,14.85633
bhs,1992,13.32086
bhs,1993,14.50611
bhs,1994,12.98211
bhs,1995,12.29744
bhs,1996,12.7461
bhs,1997,12.90664
bhs,1998,13.03361
bhs,1999,11.00422
bhs,2000,9.83822
bhs,2001,10.9516
bhs,2002,11.07451
bhs,2003,11.87438
bhs,2004,12.0641
bhs,2005,10.97489
bhs,2006,9.10394
bhs,2007,9.51757
bhs,2008,10.01772
bhs,2009,11.71487
bhs,2010,14.42222
bhs,2011,13.89147
bhs,2012,12.59265
bhs,2013,14.8217
bhs,2014,14.54426
bhs,2015,13.9443
bhs,2016,13.823
bhs,2017,12.93343
bhs,2018,15.36802
bhs,2019,13.53846
bih,2005,1.47696
bih,2006,1.36383
bih,2007,1.19636
bih,2008,1.18064
bih,2009,1.20272
bih,2010,1.10629
bih,2011,1.40268
