geo,time,sl_tlf_0714_ma_zs
afg,2011,13.1
ago,2001,30
alb,2000,41.1191
alb,2005,25
alb,2010,6.4
arg,2004,15.7
arg,2012,6.39465
arm,2010,12
aze,2000,12.01427
aze,2005,5.8
bdi,2000,38.38014
bdi,2005,12.5
bdi,2010,31.3
ben,2006,72.8
ben,2012,24.4
bfa,2003,49
bfa,2006,49
bfa,2010,55.6
bgd,2003,20.90368
bgd,2006,25.7
bgd,2013,5.72861
bih,2000,22.8
bih,2006,11.7
blr,2005,12.1
blr,2012,2
bol,2002,24
bol,2005,23.9
bol,2008,33
bol,2009,21.8
bol,2013,19.89117
bol,2015,15.19
bra,2004,9.4
bra,2007,8.1
bra,2008,6.9
bra,2009,6.6
bra,2011,5.75
bra,2013,4.29755
bra,2014,4.7786
bra,2015,3.52
caf,2000,66.5
caf,2010,36.6
chl,2003,5.1
chl,2012,6.2
civ,2000,40.9
civ,2006,47.7
civ,2012,36.6
cmr,2001,14.46574
cmr,2007,43.5
cmr,2011,63.6
cod,2000,39.9
cod,2007,29.5
cod,2010,19.5
cod,2014,39.15632
cog,2005,29.9
cog,2012,31.4
col,2005,6.2
col,2007,5.3
col,2009,8.29
col,2012,9.5
col,2014,8.56986
col,2015,6.92
cri,2004,8.1
cri,2011,3.4
cri,2016,1.94
dom,2002,5.9
dom,2005,9
dom,2009,19.85296
dom,2012,3.85492
dom,2014,15.71394
dza,2013,8.46684
ecu,2004,14.6
ecu,2006,16.9
ecu,2009,7.4
ecu,2011,3.8
ecu,2015,5.91114
egy,2005,11.5
egy,2009,4.8
eth,2005,64.3
eth,2011,32.5
gab,2012,25.6
geo,2006,33.6
gha,2003,6
gha,2006,49.9
gha,2012,28.83964
gin,1994,47.2
gin,2010,45.1
gin,2012,40.3
gmb,2000,25.36261
gmb,2005,33.9
gmb,2008,37.6
gmb,2015,26.19
gnb,2000,67.4
gnb,2006,52.8
gnb,2014,65.34952
gtm,2003,26.2
gtm,2004,23.1
gtm,2006,24.5
gtm,2012,26.6
gtm,2014,14.6219
gtm,2015,10.0378
hnd,2004,10.4
hnd,2007,13.3
hnd,2011,12.4
hnd,2013,14.6
hnd,2014,15.11724
hti,2006,37.3
hti,2012,40.3
idn,2000,8.7775
idn,2009,7
idn,2010,4.2
ind,2000,5.3
ind,2005,4.2
ind,2006,17.4
ind,2010,2.8
