global,time,sl_tlf_cact_fe_zs
world,1990,51.21892
world,1991,51.2306
world,1992,51.25541
world,1993,51.07582
world,1994,51.17645
world,1995,51.08044
world,1996,50.99844
world,1997,50.96501
world,1998,50.90935
world,1999,50.98156
world,2000,50.92035
world,2001,50.74972
world,2002,50.58518
world,2003,50.51081
world,2004,50.43596
world,2005,50.43143
world,2006,50.117
world,2007,49.90789
world,2008,49.52472
world,2009,49.20176
world,2010,48.76501
world,2011,48.51633
world,2012,48.22533
world,2013,48.02319
world,2014,47.90571
world,2015,47.86574
world,2016,47.79344
world,2017,47.73627
world,2018,47.6422
world,2019,47.76191
world,2020,45.9229
world,2021,46.29676
