global,time,dt_nfl_whol_cd
world,2009,436790008.54492
world,2010,366239990.23438
world,2011,452239990.23438
world,2012,396777374.26758
world,2013,474012145.99609
world,2014,470772033.69141
world,2015,663783386.23047
world,2016,534285034.17969
world,2017,528452026.36719
world,2018,518124328.61328
world,2019,545844970.70312
