geo,time,fx_own_totl_pl_zs
mkd,2011,63.92783
mkd,2014,48.03087
mkd,2017,59.25592
mli,2011,6.06191
mli,2014,16.61133
mli,2017,28.38556
mlt,2011,92.25488
mlt,2014,90.92967
mlt,2017,97.72866
mmr,2014,20.74038
mmr,2017,23.60654
mne,2011,28.72033
mne,2014,34.72942
mne,2017,43.17823
mng,2011,53.55218
mng,2014,77.72692
mng,2017,85.00114
moz,2017,34.61364
mrt,2011,10.63703
mrt,2014,17.99817
mrt,2017,14.44388
mus,2011,73.82346
mus,2014,76.25949
mus,2017,88.3541
mwi,2011,11.8791
mwi,2014,12.47421
mwi,2017,25.35244
mys,2011,39.72516
mys,2014,58.59937
mys,2017,69.99016
nam,2014,42.96536
nam,2017,73.47364
ner,2011,0.77525
ner,2014,5.49948
ner,2017,13.78068
nga,2011,12.20637
nga,2014,28.07623
nga,2017,16.05448
nic,2011,6.34037
nic,2014,7.98693
nic,2017,21.51296
nld,2011,96.31332
nld,2014,100
nld,2017,100
nor,2014,100
nor,2017,98.68835
npl,2011,18.97498
npl,2014,29.61958
npl,2017,41.84462
nzl,2011,100
nzl,2014,97.18314
nzl,2017,100
omn,2011,37.05869
pak,2011,3.74669
pak,2014,10.02749
pak,2017,15.91987
pan,2011,15.33362
pan,2014,23.21856
pan,2017,38.02621
per,2011,6.54769
per,2014,12.03592
per,2017,31.08883
phl,2011,12.26205
phl,2014,18.06503
phl,2017,18.00151
pol,2011,34.71732
pol,2014,50.66608
pol,2017,65.50304
pri,2014,48.95068
prt,2011,74.94094
prt,2014,80.32256
prt,2017,87.5662
pry,2011,8.30915
pry,2017,44.36249
pse,2011,12.78225
pse,2014,25.09474
pse,2017,18.12612
qat,2011,31.64821
rou,2011,26.88733
rou,2014,34.5522
rou,2017,31.85953
rus,2011,24.193
rus,2014,35.0039
rus,2017,56.36748
rwa,2011,30.80763
rwa,2014,39.61763
rwa,2017,47.00319
sau,2011,38.97061
sau,2014,64.16211
sau,2017,65.01936
sdn,2011,3.50756
sdn,2014,7.04774
sen,2011,4.5985
sen,2014,11.22168
sen,2017,37.63026
sgp,2011,94.36285
sgp,2014,94.58398
sgp,2017,93.19359
sle,2011,5.56574
sle,2014,16.25065
sle,2017,12.73239
slv,2011,6.07795
slv,2014,24.91369
slv,2017,20.49131
som,2014,33.10724
srb,2011,40.16358
srb,2014,75.52573
srb,2017,51.48439
ssd,2017,6.77337
svk,2011,49.24459
svk,2014,24.04458
svk,2017,49.18106
svn,2011,94.51249
svn,2014,90.55365
svn,2017,94.41558
swe,2011,98.52403
swe,2014,100
swe,2017,96.85131
swz,2011,10.52682
syr,2011,22.68162
tcd,2011,5.71956
tcd,2014,10.43468
tcd,2017,18.38506
tgo,2011,6.46431
tgo,2014,12.84598
tgo,2017,38.36425
tha,2011,63.845
tha,2014,73.19966
tha,2017,77.00025
tjk,2011,0.76411
tjk,2014,7.96732
tjk,2017,39.18442
tkm,2011,0
tkm,2017,9.92284
tto,2011,63.91505
tto,2017,79.13127
tun,2014,22.51505
tun,2017,23.52125
tur,2011,50.88652
tur,2014,47.51141
tur,2017,57.4381
tza,2011,7.41655
tza,2014,32.63004
tza,2017,41.02025
uga,2011,14.2224
uga,2014,36.79482
uga,2017,46.64626
ukr,2011,12.38772
ukr,2014,20.98359
ukr,2017,30.59679
ury,2011,10.96995
ury,2014,32.86096
ury,2017,51.46631
usa,2011,47.19233
usa,2014,59.86343
usa,2017,64.56886
uzb,2011,10.31101
uzb,2014,24.30908
uzb,2017,20.94878
ven,2011,32.12236
ven,2014,37.93126
ven,2017,57.93753
vnm,2011,4.50582
vnm,2014,15.3406
vnm,2017,13.04745
yem,2011,1.37613
yem,2014,3.78692
zaf,2011,42.55058
zaf,2014,60.65849
zaf,2017,63.99829
zmb,2011,9.20527
zmb,2014,22.43966
zmb,2017,30.90003
zwe,2014,20.86746
zwe,2017,37.92239
