global,time,bm_gsr_fcty_cd
world,1993,743345161607.44092
world,1994,750128095106.34497
world,1995,913488053317.05701
world,1996,1026758061527.18005
world,1997,1066946885558.40002
world,1998,1157460808195.07007
world,1999,1283402169727.03003
world,2000,1461912707946.96997
world,2001,1349086581067.05005
world,2002,1363122604269.6001
world,2003,1567654078928.21997
world,2004,1975492356559.62012
world,2005,2653884284330.02979
world,2006,3384352575804.02979
world,2007,4427952550427.33008
world,2008,4453535526985.08984
world,2009,3292162602616.6001
world,2010,3609019510693.43994
world,2011,4103175942868.77979
world,2012,3941257267531.08008
world,2013,4115374775570.08984
world,2014,4229771616404.95996
world,2015,3908973461377.7998
world,2016,3997363515424.18945
world,2017,4385186851522.68945
world,2018,4972005794469.21973
world,2019,4931030803638.36914
world,2020,4273826123852.83984
