global,time,dc_dac_autl_cd
world,1960,-369999.88556
world,1961,449999.98808
world,1962,5370000.3624
world,1963,1100000.02384
world,1964,10460000.03815
world,1965,29059999.46594
world,1966,27739999.77112
world,1967,31640001.297
world,1968,7809999.94278
world,1969,5769999.98093
world,1970,4250000
world,1971,6670000.07629
world,1972,4289999.96185
world,1973,7739999.77112
world,1974,20079999.92371
world,1975,50069999.69482
world,1976,29630001.06812
world,1977,86330001.83105
world,1978,112540000.91553
world,1979,61889999.38965
world,1980,149990005.49316
world,1981,159970001.2207
world,1982,168160003.66211
world,1983,126260002.13623
world,1984,136779998.7793
world,1985,174169998.16895
world,1986,141220001.2207
world,1987,156740005.49316
world,1988,162529998.7793
world,1989,200639999.38965
world,1990,192580001.83105
world,1991,477750000
world,1992,401799987.79297
world,1993,444220001.2207
world,1994,434480010.98633
world,1995,646559997.55859
world,1996,568130004.88281
world,1997,418929992.67578
world,1998,438579986.57227
world,1999,440450012.20703
world,2000,419390014.64844
world,2001,605090026.85547
world,2002,503980010.98633
world,2003,374049987.79297
world,2004,491660003.66211
world,2005,1231719970.70313
world,2006,1091449951.17188
world,2007,1323410034.17969
world,2008,1233209960.9375
world,2009,506589996.33789
world,2010,611869995.11719
world,2011,489459991.45508
world,2012,535059997.55859
world,2013,542780029.29688
world,2014,635969970.70312
world,2015,781940002.44141
world,2016,985619995.11719
world,2017,599789978.02734
world,2018,481869995.11719
world,2019,441829986.57227
