geo,time,ic_frm_bnks_zs
afg,2008,1.4
afg,2014,2
ago,2006,2.1
ago,2010,13.1
alb,2005,37
alb,2007,12.4
alb,2013,12.4
alb,2019,21.5
arg,2006,6.9
arg,2010,30.3
arg,2017,40.9
arm,2002,5.6
arm,2005,44.6
arm,2009,31.9
arm,2013,22.1
arm,2020,23.1
atg,2010,49.4
aze,2002,3.9
aze,2005,0.4
aze,2009,19
aze,2013,24.4
aze,2019,0
bdi,2006,12.2
bdi,2014,29.9
bel,2020,51.6
ben,2009,3.8
ben,2016,12
bfa,2006,23.1
bfa,2009,25.6
bgd,2007,24.7
bgd,2013,19.8
bgr,2002,19.8
bgr,2004,24.2
bgr,2005,37.7
bgr,2007,40.5
bgr,2009,34.7
bgr,2013,18.7
bgr,2019,62.3
bhs,2010,14.6
bih,2002,24.7
bih,2005,38.1
bih,2009,59.7
bih,2013,44
bih,2019,34
blr,2002,11
blr,2005,18.9
blr,2008,35.8
blr,2013,28
blr,2018,23.5
blz,2010,36.7
bol,2006,22.2
bol,2010,27.8
bol,2017,37
bra,2009,43.7
brb,2010,45.5
btn,2009,64.2
btn,2015,32.2
bwa,2006,11.3
bwa,2010,32.7
caf,2011,25.3
chl,2006,29.1
chl,2010,44.8
chn,2012,14.7
civ,2009,13.9
civ,2016,23.6
cmr,2006,19.5
cmr,2009,31.4
cmr,2016,15.8
cod,2006,3.3
cod,2010,6.7
cod,2013,7.1
cog,2009,7.7
col,2006,30.5
col,2010,35
col,2017,53.6
cpv,2006,26.3
cpv,2009,35.3
cri,2005,14.9
cri,2010,22.2
cyp,2019,21.4
cze,2002,22.1
cze,2005,20.8
cze,2009,33.4
cze,2013,34.7
cze,2019,34
deu,2005,45
dji,2013,24.3
dma,2010,46.2
dnk,2020,22.2
dom,2010,39.1
dom,2016,38.6
dza,2007,8.9
ecu,2006,24
ecu,2010,17
ecu,2017,35.6
egy,2007,8.7
egy,2008,5.6
egy,2013,8.9
egy,2016,14.6
