global,time,se_prm_uner_fe
world,1970,76632976
world,1971,79344496
world,1972,78813968
world,1973,73711688
world,1974,73143912
world,1975,70673896
world,1976,70429336
world,1977,72978544
world,1978,78935424
world,1979,79433040
world,1980,76823904
world,1981,74454816
world,1982,73524176
world,1983,72946512
world,1984,71831712
world,1985,68952408
world,1986,65505904
world,1987,64398156
world,1988,62572648
world,1989,60735836
world,1990,61349664
world,1991,61462952
world,1992,63139752
world,1993,63199364
world,1994,63467880
world,1995,65651860
world,1996,66859652
world,1997,66889084
world,1998,64300864
world,1999,60054672
world,2000,56769112
world,2001,54486580
world,2002,52181804
world,2003,44700024
world,2004,41665004
world,2005,38787744
world,2006,37375428
world,2007,33428720
world,2008,31976256
world,2009,31757624
world,2010,31417024
world,2011,30969422
world,2012,30693964
world,2013,30265960
world,2014,32261116
world,2015,33491012
world,2016,33278072
world,2017,33507876
world,2018,33476776
world,2019,33792500
