geo,time,per_sa_allsa_cov_pop_tot
afg,2007,15.26276
afg,2011,8.82058
ago,2018,16.17356
alb,2008,32.67409
alb,2012,19.08167
arg,2006,11.35351
arg,2010,9.39435
arg,2011,17.06436
arg,2012,16.26982
arg,2013,19.76205
arg,2014,16.80849
arg,2016,15.99299
arg,2017,21.03865
arg,2018,21.84235
arg,2019,22.1115
arm,2008,22.44042
arm,2009,19.59614
arm,2010,23.21633
arm,2011,20.22949
arm,2012,25.04328
arm,2013,24.6327
arm,2014,28.39567
arm,2015,29.52676
arm,2016,33.3801
arm,2017,35.07955
arm,2018,29.45044
aze,2015,26.91493
bfa,2003,34.26921
bfa,2014,2.28712
bfa,2018,54.94228
bgd,2005,12.39732
bgd,2010,15.07844
bgd,2016,40.37635
bgr,2007,39.53488
bih,2007,20.50947
bih,2015,17.4175
blr,2008,59.94743
blr,2009,58.55187
blr,2010,58.2791
blr,2012,57.30478
blr,2013,54.09911
blr,2014,55.23861
blr,2015,52.7002
blr,2016,54.08126
blr,2017,53.52727
blr,2018,49.06598
blr,2019,47.07458
blz,2009,16.27566
bol,2006,11.66575
bol,2007,54.58851
bol,2008,71.42289
bol,2009,77.94026
bol,2011,74.73251
bol,2012,75.18254
bol,2014,76.88045
bol,2015,75.43407
bol,2016,76.86234
bol,2017,76.15282
bol,2018,76.51899
bol,2019,76.71629
bra,2006,25.28842
bra,2009,17.56059
bra,2011,18.65214
bra,2012,19.52788
bra,2015,23.71616
bra,2016,23.19762
bra,2017,22.13847
bra,2018,22.27975
bra,2019,21.99958
btn,2007,1.01002
btn,2012,2.25195
bwa,2009,73.77427
bwa,2015,52.19485
chl,2006,76.94377
chl,2009,77.89654
chl,2011,77.42602
chl,2013,74.69486
chl,2015,71.56242
chl,2017,82.60617
chn,2013,43.81318
civ,2002,5.77506
civ,2008,26.71843
civ,2015,27.22926
cmr,2007,1.36522
cmr,2014,0.87445
cod,2012,9.9904
cog,2005,0.91794
col,2010,44.79681
col,2011,43.98663
col,2012,41.7057
col,2014,59.25074
col,2015,26.35351
col,2016,24.37731
col,2017,23.58645
col,2018,22.16488
col,2019,21.23723
cpv,2007,21.86641
cri,2008,54.25786
cri,2009,52.60413
cri,2010,48.80938
cri,2011,48.77952
cri,2012,47.46083
cri,2014,45.85029
cri,2015,52.70248
cri,2016,54.18097
cri,2017,54.69645
cri,2018,54.85427
cri,2019,54.17979
dji,2002,2.81975
dji,2012,9.52545
dma,2002,8.00775
dom,2007,10.41048
dom,2008,19.13768
dom,2009,25.49092
dom,2010,28.37341
dom,2011,26.58064
dom,2012,31.49782
dom,2013,28.76996
dom,2014,29.95585
dom,2015,26.21194
dom,2016,55.18519
dom,2017,49.56742
dom,2018,49.85561
dom,2019,45.52825
ecu,2008,57.87631
ecu,2010,64.68918
ecu,2011,37.47342
ecu,2012,67.98835
ecu,2014,71.32978
ecu,2015,69.26205
ecu,2016,67.0504
ecu,2017,68.51711
ecu,2018,19.97106
ecu,2019,20.73765
egy,2008,44.87781
eth,2004,0.51447
eth,2010,13.24795
eth,2015,21.10348
eth,2018,20.70626
fji,2008,9.55239
fji,2013,30.32746
fsm,2000,6.25433
gab,2005,44.70377
gab,2017,46.63696
geo,2011,64.63778
geo,2016,64.26904
geo,2018,63.5544
gha,2005,0.85028
gha,2012,1.37698
gha,2016,18.13628
gin,2012,1.71429
gmb,1998,2.8681
gmb,2010,7.08215
gmb,2015,1.5296
gtm,2006,47.11129
gtm,2011,61.09495
gtm,2014,59.11319
hnd,2008,49.84826
hnd,2009,49.00482
hnd,2010,51.23823
hnd,2011,49.15932
hnd,2013,54.21676
hnd,2015,43.98539
hnd,2016,33.1488
hnd,2017,40.90296
hrv,2008,23.31134
hrv,2010,24.56946
hrv,2011,20.54094
hrv,2014,27.49872
hti,2001,0.75339
hti,2012,19.12826
hun,2007,59.53975
idn,2009,40.94486
idn,2011,51.2826
idn,2012,53.79379
idn,2014,57.1962
idn,2015,48.74023
idn,2017,42.42442
idn,2018,43.55745
idn,2019,29.15143
ind,2004,24.0323
ind,2009,17.24392
ind,2011,93.24983
irq,2006,79.97487
irq,2012,75.77255
jam,2002,26.34883
jam,2010,54.65493
jam,2017,45.38039
jor,2006,80.71908
jor,2010,65.67797
kaz,2007,29.09089
kaz,2010,33.5863
kaz,2014,66.09539
kaz,2015,30.62083
kaz,2017,24.71827
ken,2005,20.02355
ken,2015,26.44124
kgz,2006,8.11491
kgz,2011,8.47452
kgz,2012,7.29997
kgz,2013,7.17786
kir,2006,4.57146
kos,2006,6.99167
kos,2011,12.47822
kos,2012,13.70136
kos,2013,14.05047
lbn,2004,4.83322
lbr,2007,30.47015
lbr,2014,6.29201
lbr,2016,12.69077
lka,2006,29.65363
lka,2009,23.64757
lka,2012,26.18694
lka,2016,28.12655
lso,2010,6.32261
lso,2017,70.64723
ltu,2008,58.67134
lva,2008,38.96896
lva,2009,50.81146
mar,2009,36.58894
mda,2010,33.76309
mda,2012,29.34293
mda,2013,23.79203
mda,2018,32.74051
mdv,2004,1.92237
mdv,2009,26.62472
mdv,2016,24.34642
mex,2008,15.626
mex,2010,31.99193
mex,2012,37.04732
mex,2014,32.52565
mex,2016,29.18586
mex,2018,27.48966
mmr,2017,8.72516
mne,2011,5.08993
mne,2012,8.56685
mne,2013,10.41047
mne,2014,8.07594
mng,2007,83.23924
mng,2009,83.86138
mng,2010,94.70282
mng,2011,99.68379
mng,2012,99.83053
mng,2014,85.70167
mng,2016,86.02643
moz,2008,5.17386
moz,2014,1.58029
mrt,2008,33.52566
mrt,2014,45.21555
mus,2006,40.56691
mus,2012,44.85371
mus,2017,50.31787
mwi,2004,50.76538
mwi,2010,19.80089
mwi,2013,41.74016
mwi,2016,41.21917
mys,2008,82.81369
mys,2012,79.22384
mys,2014,88.82699
mys,2016,75.71894
nam,2003,9.841
nam,2009,15.17635
nam,2015,40.64401
ner,2011,2.73622
ner,2014,20.11299
nga,2010,1.42436
nga,2012,3.43726
nga,2015,3.76429
nga,2018,17.04065
nic,2005,47.24764
nic,2009,39.65901
nic,2014,59.7503
npl,2010,40.13761
pak,2007,2.59801
pak,2009,12.25608
pak,2013,11.19557
pak,2015,10.35947
pak,2018,9.98108
pan,2008,52.02119
pan,2009,51.79345
pan,2010,51.93946
pan,2011,48.3964
pan,2012,52.36625
pan,2013,53.94054
pan,2014,51.11661
pan,2015,63.81898
pan,2016,64.34125
pan,2017,62.74711
pan,2018,65.99346
pan,2019,66.14476
per,2008,43.54482
per,2009,56.96582
per,2010,60.76289
per,2011,58.36239
per,2012,86.64397
