geo,time,ne_gdi_ftot_cn
ago,1985,0
ago,1986,0
ago,1987,0
ago,1988,0
ago,1989,0
ago,1990,0
ago,2000,25803387800
ago,2001,60105427800
ago,2002,201789000000
ago,2003,394360000000
ago,2004,602229000000
ago,2005,895564000000
ago,2006,923944000000
ago,2007,1259386000000
ago,2008,1941186000000
ago,2009,2386683464400
ago,2010,2174676501000
ago,2011,2771451412600
ago,2012,3261719036500
ago,2013,3451614734200
ago,2014,3936026382900
ago,2015,3935321853100
ago,2016,4338172826400
ago,2017,4709426585500
ago,2018,5316245729000
ago,2019,6454416000000
ago,2020,5657356000000
alb,1980,5269000200
alb,1981,4986999800
alb,1982,5507999700
alb,1983,5922999800
alb,1984,6111000100
alb,1985,5445000200
alb,1986,5384999900
alb,1987,5587999700
alb,1988,5362999800
alb,1989,5854000100
alb,1990,4927105000
alb,1991,1203850000
alb,1992,2768059900
alb,1993,16544879600
alb,1994,33632489500
alb,1995,47196449300
alb,1996,72871710000
alb,1997,66647100000
alb,1998,82698800000
alb,1999,104435810000
alb,2000,159915520000
alb,2001,206950970000
alb,2002,220116800000
alb,2003,243266580000
alb,2004,278802180000
alb,2005,304937410000
alb,2006,332252370000
alb,2007,351304870000
alb,2008,366881910000
alb,2009,374169000000
alb,2010,352412130000
alb,2011,381944270000
alb,2012,353044000000
alb,2013,352087850000
alb,2014,337087180000
alb,2015,350164400000
alb,2016,358812670000
alb,2017,381094440000
alb,2018,390566680000
alb,2019,377067940000
alb,2020,371753900000
are,2001,79593437300
are,2002,84981026400
are,2003,94946771800
are,2004,101433261600
are,2005,121912000000
are,2006,143389511800
are,2007,223283000000
are,2008,259219632200
are,2009,269224193400
are,2010,263511857600
are,2011,276054657800
are,2012,286314425000
are,2013,260940372400
are,2014,289870345200
are,2015,307480313900
are,2016,320638199700
are,2017,268737446800
are,2018,268629779200
are,2019,281984150662.82397
arg,1960,0.03088
arg,1961,0.04632
arg,1962,0.04632
arg,1963,0.04632
arg,1964,0.06175
arg,1965,0.09263
arg,1966,0.12351
arg,1967,0.16982
arg,1968,0.2007
arg,1969,0.26245
arg,1970,0.29333
arg,1971,0.4014
arg,1972,0.66386
arg,1973,0.98806
arg,1974,1.45122
arg,1975,5.71224
arg,1976,31.4482
arg,1977,87.845
arg,1978,197.149
arg,1979,462.07401
arg,1980,970
arg,1981,1696
arg,1982,4754
arg,1983,22870
arg,1984,157900
arg,1985,933100
arg,1986,1743400
arg,1987,4562600
arg,1988,20702000
arg,1989,503303008
arg,1990,9646999552
arg,1991,26478000100
arg,1992,37853999100
arg,1993,45069414300
arg,1994,51330897900
arg,1995,46285080200
arg,1996,49210611100
arg,1997,56727150100
arg,1998,59595219100
arg,1999,51073902400
arg,2000,46020116800
arg,2001,38098830100
arg,2002,37386593800
arg,2003,56903329000
arg,2004,77103177100
arg,2005,101077054100
arg,2006,131233748800
arg,2007,175055360800
arg,2008,218549572500
arg,2009,194449251800
arg,2010,276534725500
arg,2011,375844281100
arg,2012,418307859000
arg,2013,545423085700
arg,2014,731735907900
arg,2015,926804441500
arg,2016,1174352779900
arg,2017,1616325032100
arg,2018,2248738375100
arg,2019,3060537148200
arg,2020,3816717743800
arm,1990,22310000
arm,1991,22690000
arm,1992,52940000
arm,1993,525420000
arm,1994,37855000000
arm,1995,84365000000
arm,1996,118254000000
arm,1997,130336000000
arm,1998,154925000000
arm,1999,162134000000
arm,2000,223944800000
arm,2001,245022700000
arm,2002,338478200000
arm,2003,440063100000
arm,2004,536282000000
arm,2005,787120900000
arm,2006,1111633500000
arm,2007,1370081000000
arm,2008,1671119300000
arm,2009,1347261800000
arm,2010,1362458600000
arm,2011,1161217500000
arm,2012,1006835000000
arm,2013,966365300000
arm,2014,965486600000
arm,2015,1039622000000
arm,2016,879566600000
arm,2017,982042700000
arm,2018,1007306500000
arm,2019,1034865500000
arm,2020,1024414000000
atg,1993,324000000
atg,1994,347000000
atg,1995,379000000
atg,1996,433000000
atg,1997,477000000
atg,1998,543000000
atg,1999,598000000
atg,2000,647000000
atg,2001,443000000
atg,2002,487000000
atg,2003,536000000
atg,2004,584000000
atg,2005,743000000
atg,2006,1131000000
atg,2007,1324000000
atg,2008,1384000000
atg,2009,1250000000
atg,2010,872000000
