geo,time,tx_mnf_tech_zs_un
aze,2017,26.16513
aze,2018,23.24011
aze,2019,32.00598
bdi,1990,11.70977
bdi,1991,11.70977
bdi,1992,11.70977
bdi,1993,11.70977
bdi,1994,26.82249
bdi,1995,11.07623
bdi,1996,2.15194
bdi,1997,1.14652
bdi,1998,4.27546
bdi,1999,4.1103
bdi,2000,4.46803
bdi,2001,0.5106
bdi,2002,2.75925
bdi,2003,26.7667
bdi,2004,11.60145
bdi,2005,32.55856
bdi,2006,5.0902
bdi,2007,53.87105
bdi,2008,44.75407
bdi,2009,56.0135
bdi,2010,23.96503
bdi,2011,35.42358
bdi,2012,25.41936
bdi,2013,27.94614
bdi,2014,25.53094
bdi,2015,21.72392
bdi,2016,21.23074
bdi,2017,8.85618
bdi,2018,12.68916
bdi,2019,14.83357
bel,1990,49.68336
bel,1991,49.58964
bel,1992,49.93113
bel,1993,50.54952
bel,1994,52.01345
bel,1995,52.5238
bel,1996,53.18843
bel,1997,52.9027
bel,1998,53.74021
bel,1999,53.9736
bel,2000,53.73164
bel,2001,55.97275
bel,2002,56.86084
bel,2003,57.25727
bel,2004,56.53215
bel,2005,55.9808
bel,2006,55.40813
bel,2007,55.1793
bel,2008,54.66507
bel,2009,56.29261
bel,2010,54.91677
bel,2011,53.17685
bel,2012,52.70734
bel,2013,51.86574
bel,2014,52.8085
bel,2015,54.71275
bel,2016,55.10538
bel,2017,54.42516
bel,2018,53.36263
bel,2019,56.23633
bgd,1990,2.4136
bgd,1991,4.51045
bgd,1992,5.65777
bgd,1993,4.25761
bgd,1994,3.13536
bgd,1995,5.9273
bgd,1996,5.26215
bgd,1997,5.2362
bgd,1998,3.12493
bgd,1999,3.12493
bgd,2000,3.32824
bgd,2001,2.59197
bgd,2002,2.22045
bgd,2003,2.60682
bgd,2004,3.36331
bgd,2005,3.97902
bgd,2006,2.92849
bgd,2007,4.34079
bgd,2008,2.83352
bgd,2009,2.67197
bgd,2010,2.14485
bgd,2011,2.02555
bgd,2012,2.13007
bgd,2013,1.80089
bgd,2014,1.80089
bgd,2015,1.86968
bgd,2016,1.86968
bgd,2017,1.86968
bgd,2018,1.86968
bgd,2019,1.86968
bgr,1990,35.10512
bgr,1991,35.10512
bgr,1992,35.10512
bgr,1993,35.10512
bgr,1994,35.10512
bgr,1995,35.10512
bgr,1996,35.10512
bgr,1997,31.76527
bgr,1998,30.82304
bgr,1999,28.22911
bgr,2000,26.80932
bgr,2001,27.88852
bgr,2002,28.84999
bgr,2003,28.97667
bgr,2004,26.9708
bgr,2005,28.46658
bgr,2006,27.77387
bgr,2007,30.5963
bgr,2008,32.44787
bgr,2009,35.31779
bgr,2010,35.40033
bgr,2011,35.9312
bgr,2012,34.67372
bgr,2013,36.81578
bgr,2014,39.03053
bgr,2015,42.19901
bgr,2016,43.44315
bgr,2017,42.95975
bgr,2018,44.6926
bgr,2019,46.28857
bhr,1990,14.98595
bhr,1991,14.98595
bhr,1992,14.98595
bhr,1993,14.98595
bhr,1994,14.98595
bhr,1995,14.05738
bhr,1996,41.52398
bhr,1997,41.52398
bhr,1998,41.52398
bhr,1999,19.49754
bhr,2000,19.49754
bhr,2001,3.59303
bhr,2002,3.46704
bhr,2003,3.86803
bhr,2004,3.97775
bhr,2005,3.56022
bhr,2006,3.22954
bhr,2007,5.29263
bhr,2008,6.53233
bhr,2009,6.93252
bhr,2010,1.9925
bhr,2011,1.70666
bhr,2012,7.43189
bhr,2013,9.25803
bhr,2014,12.19776
bhr,2015,15.19445
bhr,2016,15.1923
bhr,2017,12.39051
bhr,2018,13.0742
bhr,2019,13.0742
bhs,1990,18.37419
bhs,1991,18.37419
bhs,1992,18.37419
bhs,1993,18.37419
bhs,1994,18.37419
bhs,1995,18.37419
bhs,1996,18.37419
bhs,1997,18.37419
bhs,1998,47.32594
bhs,1999,53.76669
bhs,2000,53.54647
bhs,2001,59.63803
bhs,2002,65.82904
bhs,2003,69.6702
bhs,2004,74.6052
bhs,2005,65.48992
bhs,2006,71.39175
bhs,2007,56.41482
bhs,2008,56.2288
bhs,2009,52.32735
bhs,2010,53.93378
bhs,2011,62.47791
bhs,2012,66.93554
bhs,2013,73.96012
bhs,2014,67.9626
bhs,2015,63.2259
bhs,2016,58.57888
bhs,2017,58.16771
bhs,2018,48.98621
bhs,2019,48.98621
bih,1990,31.50926
bih,1991,31.50926
bih,1992,31.50926
bih,1993,31.50926
bih,1994,31.50926
bih,1995,31.50926
bih,1996,31.50926
bih,1997,31.50926
bih,1998,31.50926
bih,1999,31.50926
bih,2000,31.50926
bih,2001,31.50926
bih,2002,31.50926
bih,2003,31.50926
bih,2004,29.13656
bih,2005,28.08941
bih,2006,23.43136
bih,2007,24.27139
bih,2008,25.42004
bih,2009,24.58982
bih,2010,22.99773
bih,2011,21.93668
bih,2012,22.76734
bih,2013,23.62771
bih,2014,24.38263
bih,2015,24.87292
bih,2016,24.04294
bih,2017,25.64691
bih,2018,26.69705
bih,2019,28.64966
blr,1990,50.08167
blr,1991,50.08167
blr,1992,50.08167
blr,1993,50.08167
blr,1994,50.08167
blr,1995,50.08167
blr,1996,50.08167
blr,1997,50.08167
blr,1998,50.08167
blr,1999,51.18601
blr,2000,45.16457
blr,2001,45.4483
blr,2002,43.56985
blr,2003,41.42913
blr,2004,38.37413
blr,2005,35.35454
blr,2006,33.88714
blr,2007,36.67485
blr,2008,39.16325
blr,2009,34.55948
blr,2010,39.17229
blr,2011,39.97752
blr,2012,40.60559
blr,2013,35.61315
blr,2014,35.17105
blr,2015,38.75523
blr,2016,41.91766
blr,2017,39.82159
blr,2018,39.00275
blr,2019,41.47439
blz,1990,0.00935
blz,1991,0.00935
blz,1992,0.00935
blz,1993,0.41051
blz,1994,0.08986
blz,1995,0.02397
blz,1996,0.06439
blz,1997,0.02557
blz,1998,0.01355
blz,1999,4.63473
blz,2000,0.2638
blz,2001,1.20067
blz,2002,1.18397
blz,2003,0.55643
blz,2004,0.22585
blz,2005,0.02089
blz,2006,0.60703
blz,2007,0.21046
blz,2008,0.11515
blz,2009,0.04476
blz,2010,0.05699
blz,2011,0.44959
blz,2012,0.40038
blz,2013,0.09179
blz,2014,0.06711
blz,2015,0.03804
blz,2016,0.04527
blz,2017,0.07563
blz,2018,0.15408
blz,2019,0.11368
bmu,1990,0
bmu,1991,0
bmu,1992,0
bmu,1993,0
bmu,1994,0
bmu,1995,0
bmu,1996,0
bmu,1997,0
bmu,1998,0
bmu,1999,0
bmu,2000,0
bmu,2001,0
bmu,2002,0
bmu,2003,0
bmu,2004,43.65031
bmu,2005,43.65031
bmu,2006,43.65031
bmu,2007,43.65031
bmu,2008,43.65031
bmu,2009,43.65031
bmu,2010,43.65031
bmu,2011,43.65031
bmu,2012,43.65031
bmu,2013,34.19212
bmu,2014,57.30327
bmu,2015,24.37359
bmu,2016,28.58966
bmu,2017,41.76339
bmu,2018,63.72032
bmu,2019,72.32425
bol,1990,6.59846
bol,1991,6.59846
bol,1992,6.59846
bol,1993,5.19864
bol,1994,5.54624
bol,1995,7.75304
bol,1996,14.99884
bol,1997,3.25591
bol,1998,25.87506
bol,1999,40.1085
bol,2000,25.97188
bol,2001,19.29612
bol,2002,9.66521
bol,2003,12.77783
bol,2004,9.09325
bol,2005,7.81204
bol,2006,10.8612
bol,2007,2.39047
bol,2008,3.38042
bol,2009,2.83613
bol,2010,3.28074
bol,2011,2.35829
bol,2012,3.94857
bol,2013,4.20887
bol,2014,3.39829
bol,2015,3.52508
bol,2016,2.74641
bol,2017,1.94203
bol,2018,4.59992
bol,2019,4.59992
bra,1990,37.87065
bra,1991,38.18128
bra,1992,39.80846
bra,1993,39.8079
bra,1994,39.99462
bra,1995,38.25328
bra,1996,39.64793
bra,1997,43.96839
bra,1998,44.13908
bra,1999,43.18917
bra,2000,48.25739
bra,2001,47.07402
bra,2002,46.14901
bra,2003,44.4783
bra,2004,47.90357
bra,2005,48.15825
bra,2006,46.32466
bra,2007,45.79003
bra,2008,46.3415
bra,2009,40.24204
bra,2010,36.45387
bra,2011,35.53733
bra,2012,38.51546
bra,2013,39.99259
bra,2014,37.63811
bra,2015,41.4583
bra,2016,43.03423
bra,2017,41.27093
bra,2018,43.17596
bra,2019,39.2596
brb,1990,36.45119
brb,1991,36.45119
brb,1992,36.45119
brb,1993,38.68984
brb,1994,39.03069
brb,1995,37.03028
brb,1996,30.90376
brb,1997,32.72985
brb,1998,32.82856
brb,1999,34.46343
brb,2000,31.96741
brb,2001,30.99717
brb,2002,30.08398
brb,2003,31.89769
brb,2004,29.35865
brb,2005,30.43984
brb,2006,37.14401
brb,2007,30.61004
brb,2008,28.74912
brb,2009,27.86964
brb,2010,39.17643
brb,2011,41.90251
brb,2012,41.7464
brb,2013,29.61805
brb,2014,33.30021
brb,2015,34.15831
brb,2016,32.83375
brb,2017,30.2853
brb,2018,31.3654
brb,2019,31.3654
brn,1990,0
brn,1991,0
brn,1992,0
brn,1993,0
brn,1994,0
brn,1995,0
brn,1996,42.97607
brn,1997,42.97607
brn,1998,38.87411
brn,1999,38.87411
brn,2000,0.00002
brn,2001,0.00002
brn,2002,0.00952
brn,2003,0.00985
brn,2004,35.80306
brn,2005,35.80306
brn,2006,38.61654
brn,2007,44.84652
brn,2008,41.64127
brn,2009,69.8719
brn,2010,82.74267
brn,2011,85.63969
brn,2012,82.79603
brn,2013,69.62004
brn,2014,85.74444
brn,2015,82.59337
brn,2016,87.22852
brn,2017,65.01978
brn,2018,87.41313
brn,2019,37.10845
bwa,1990,4.11286
bwa,1991,4.11286
bwa,1992,4.11286
bwa,1993,4.11286
bwa,1994,4.11286
bwa,1995,4.11286
bwa,1996,4.11286
bwa,1997,4.11286
bwa,1998,4.11286
bwa,1999,4.11286
bwa,2000,4.11286
bwa,2001,3.56397
bwa,2002,7.26662
bwa,2003,5.83875
bwa,2004,5.82589
bwa,2005,4.3483
bwa,2006,2.23724
bwa,2007,2.50477
bwa,2008,4.84722
bwa,2009,6.17547
bwa,2010,4.17153
bwa,2011,5.71103
bwa,2012,5.51666
bwa,2013,3.54298
bwa,2014,3.4385
bwa,2015,5.33697
bwa,2016,4.01183
bwa,2017,4.57563
bwa,2018,4.75837
bwa,2019,4.04637
caf,1990,15.83185
caf,1991,15.83185
caf,1992,15.83185
caf,1993,15.83185
caf,1994,8.41819
caf,1995,19.32799
caf,1996,25.78685
caf,1997,12.52626
caf,1998,10.46917
caf,1999,8.70448
caf,2000,3.37623
caf,2001,3.95959
caf,2002,2.89765
caf,2003,0.21252
caf,2004,2.63344
caf,2005,1.86572
caf,2006,0.26517
caf,2007,0.85293
caf,2008,4.66229
caf,2009,6.23252
caf,2010,8.29192
caf,2011,13.2402
caf,2012,23.59134
caf,2013,13.97253
caf,2014,0.62724
caf,2015,80.46303
caf,2016,65.08347
caf,2017,84.53959
caf,2018,84.53959
can,1990,57.54896
can,1991,58.57978
can,1992,59.12303
can,1993,59.74458
can,1994,60.829
can,1995,58.61989
can,1996,59.03243
can,1997,60.19286
can,1998,61.54419
can,1999,63.06816
can,2000,62.11424
can,2001,60.80728
can,2002,60.85326
can,2003,59.93839
can,2004,57.95151
can,2005,58.27162
can,2006,57.88762
can,2007,57.98712
can,2008,55.31906
