geo,time,cm_mkt_ldom_no
are,2003,28
are,2004,32
are,2005,55
are,2006,55
are,2007,60
are,2008,103
are,2009,104
are,2010,104
are,2011,108
are,2012,107
are,2013,117
are,2014,120
are,2015,125
are,2016,125
are,2017,127
are,2018,130
are,2019,130
are,2020,130
arg,1975,321
arg,1976,308
arg,1977,302
arg,1978,295
arg,1979,295
arg,1980,277
arg,1981,262
arg,1982,247
arg,1983,237
arg,1984,235
arg,1985,226
arg,1986,216
arg,1987,205
arg,1988,193
arg,1989,183
arg,1990,178
arg,1991,169
arg,1992,170
arg,1993,165
arg,1994,156
arg,1995,149
arg,1996,147
arg,1997,136
arg,1998,131
arg,1999,125
arg,2000,122
arg,2001,116
arg,2002,110
arg,2003,106
arg,2004,103
arg,2005,100
arg,2006,101
arg,2007,106
arg,2008,107
arg,2009,101
arg,2010,101
arg,2011,99
arg,2012,101
arg,2013,97
arg,2014,95
arg,2015,93
arg,2016,93
arg,2017,96
arg,2018,93
arg,2019,91
aus,1975,1319
aus,1976,1229
aus,1977,1185
aus,1978,1116
aus,1979,1011
aus,1980,1007
aus,1981,982
aus,1982,931
aus,1983,930
aus,1984,1009
aus,1985,1028
aus,1986,1162
aus,1987,1427
aus,1988,1393
aus,1989,1258
aus,1990,1089
aus,1991,968
aus,1992,1038
aus,1993,1070
aus,1994,1144
aus,1995,1129
aus,1996,1135
aus,1997,1159
aus,1998,1162
aus,1999,1217
aus,2000,1333
aus,2001,1334
aus,2002,1355
aus,2003,1405
aus,2004,1514
aus,2005,1643
aus,2006,1751
aus,2007,1913
aus,2008,1924
aus,2009,1882
aus,2010,1913
aus,2011,1983
aus,2012,1959
aus,2013,1955
aus,2014,1967
aus,2015,1989
aus,2016,1969
aus,2017,2013
aus,2018,2004
aus,2019,1952
aus,2020,1902
aut,1975,76
aut,1976,74
aut,1977,71
aut,1978,68
aut,1979,67
aut,1980,66
aut,1981,63
aut,1982,62
aut,1983,62
aut,1984,63
aut,1985,64
aut,1986,74
aut,1987,75
aut,1988,80
aut,1989,87
aut,1990,99
aut,1991,103
aut,1992,112
aut,1993,111
aut,1994,111
aut,1995,109
aut,1996,106
aut,1997,101
aut,1998,96
aut,1999,97
aut,2000,97
aut,2001,99
aut,2002,109
aut,2003,104
aut,2004,100
aut,2005,92
aut,2006,96
aut,2007,102
aut,2008,101
aut,2009,97
aut,2010,89
aut,2011,88
aut,2012,84
aut,2013,82
aut,2014,82
aut,2015,79
aut,2016,71
aut,2017,67
aut,2018,67
aut,2019,71
aut,2020,68
aze,1997,1
aze,1998,2
aze,1999,2
bel,1975,290
bel,1976,277
bel,1977,253
bel,1978,239
bel,1979,231
bel,1980,225
bel,1981,218
bel,1982,212
bel,1983,204
bel,1984,197
bel,1985,192
bel,1986,191
bel,1987,192
bel,1988,186
bel,1989,190
bel,1990,182
bel,1991,183
bel,1992,171
bel,1993,165
bel,1994,162
bel,1995,150
bel,1996,143
bel,1997,138
bel,1998,156
bel,1999,159
bel,2000,161
bel,2001,159
bel,2002,148
bel,2003,145
bel,2004,141
bel,2005,138
bel,2006,137
bel,2007,135
bel,2008,131
bel,2009,128
bel,2010,124
bel,2011,120
bel,2012,118
bel,2013,117
bel,2014,113
bel,2015,117
bgd,1993,143
bgd,1994,157
bgd,1995,231
bgd,1996,302
bgd,1997,341
bgd,1998,355
bgd,1999,348
bgd,2000,364
bgd,2001,163
bgd,2004,185
bgd,2005,195
bgd,2006,199
bgd,2007,211
bgd,2008,221
bgd,2009,197
bgd,2010,192
bgd,2011,433
bgd,2012,453
bgd,2013,481
bgd,2014,517
bgd,2015,543
bgd,2016,557
bgd,2017,572
bgd,2018,593
bgd,2019,611
bgd,2020,628
bgr,1993,8
bgr,1994,13
bgr,1995,15
bgr,1996,9
bgr,1997,0
bgr,1998,18
bgr,1999,28
bgr,2000,23
bgr,2001,404
bgr,2002,351
bgr,2003,326
bgr,2004,332
bgr,2005,331
bgr,2006,347
bgr,2007,369
bgr,2008,404
bgr,2009,398
bgr,2010,390
bgr,2011,393
bgr,2012,387
bgr,2013,381
bgr,2014,372
bgr,2015,365
bgr,2016,354
bgr,2018,274
bgr,2019,262
bgr,2020,259
bhr,1995,35
bhr,1996,35
bhr,1997,38
bhr,1998,38
bhr,1999,37
bhr,2000,36
bhr,2001,36
bhr,2003,38
bhr,2004,38
bhr,2005,40
bhr,2006,43
bhr,2007,44
bhr,2008,45
bhr,2009,44
bhr,2010,44
bhr,2011,44
bhr,2012,43
bhr,2013,43
bhr,2014,44
bhr,2015,44
bhr,2016,43
bhr,2017,42
bhr,2018,43
bhr,2019,43
bhr,2020,42
blr,2014,67
blr,2015,62
blr,2016,55
blr,2020,12
bmu,1995,28
bmu,1996,27
bmu,1997,26
bmu,1998,25
bmu,1999,22
bmu,2000,22
bmu,2001,22
bmu,2002,22
bmu,2003,22
bmu,2004,21
bmu,2005,19
bmu,2006,16
bmu,2007,16
bmu,2008,16
bmu,2009,16
bmu,2010,14
bmu,2011,13
bmu,2012,13
bmu,2013,13
bmu,2014,14
bmu,2015,14
bmu,2016,13
bmu,2017,13
bmu,2018,13
