geo,time,sp_pop_0014_ma_zs
abw,1960,44.67316
abw,1961,44.24251
abw,1962,43.88192
abw,1963,43.55164
abw,1964,43.13276
abw,1965,42.56523
abw,1966,42.05515
abw,1967,41.3315
abw,1968,40.50318
abw,1969,39.66321
abw,1970,38.86735
abw,1971,37.67562
abw,1972,36.61075
abw,1973,35.57289
abw,1974,34.41605
abw,1975,33.11303
abw,1976,32.35623
abw,1977,31.35446
abw,1978,30.14794
abw,1979,28.92927
abw,1980,27.8618
abw,1981,27.1674
abw,1982,26.62451
abw,1983,26.27826
abw,1984,26.04235
abw,1985,25.81538
abw,1986,26.15646
abw,1987,26.32831
abw,1988,26.29454
abw,1989,26.17597
abw,1990,26.14567
abw,1991,25.5567
abw,1992,25.11035
abw,1993,24.78323
abw,1994,24.4455
abw,1995,24.04836
abw,1996,24.23309
abw,1997,24.3355
abw,1998,24.36678
abw,1999,24.37023
abw,2000,24.3483
abw,2001,24.08216
abw,2002,23.78974
abw,2003,23.45714
abw,2004,23.06498
abw,2005,22.66364
abw,2006,22.52008
abw,2007,22.44287
abw,2008,22.41311
abw,2009,22.38105
abw,2010,22.31714
abw,2011,21.93101
abw,2012,21.4733
abw,2013,20.95694
abw,2014,20.4586
abw,2015,20.04153
abw,2016,19.57207
abw,2017,19.27928
abw,2018,19.09084
abw,2019,18.90252
abw,2020,18.64855
afg,1960,40.91371
afg,1961,41.31997
afg,1962,41.66747
afg,1963,41.97769
afg,1964,42.26115
afg,1965,42.51894
afg,1966,42.96437
afg,1967,43.33756
afg,1968,43.65361
afg,1969,43.9255
afg,1970,44.16188
afg,1971,44.55197
afg,1972,44.86384
afg,1973,45.11192
afg,1974,45.29909
afg,1975,45.4128
afg,1976,45.7156
afg,1977,45.98324
afg,1978,46.20548
afg,1979,46.34877
afg,1980,46.3688
afg,1981,46.67876
afg,1982,46.95823
afg,1983,47.2182
afg,1984,47.50138
afg,1985,47.87059
afg,1986,48.02965
afg,1987,48.07144
afg,1988,48.07957
afg,1989,48.1937
afg,1990,48.56965
afg,1991,48.44526
afg,1992,48.3216
afg,1993,48.24174
afg,1994,48.13295
afg,1995,47.87996
afg,1996,48.11131
afg,1997,48.35299
afg,1998,48.54043
afg,1999,48.67831
afg,2000,48.81593
afg,2001,48.67539
afg,2002,48.44722
afg,2003,48.18456
afg,2004,47.90701
afg,2005,47.59901
afg,2006,47.79413
afg,2007,47.98278
afg,2008,48.12458
afg,2009,48.18517
afg,2010,48.15391
afg,2011,47.62694
afg,2012,46.98062
afg,2013,46.2545
afg,2014,45.4875
afg,2015,44.69956
afg,2016,44.12317
afg,2017,43.54888
afg,2018,42.96393
afg,2019,42.3542
afg,2020,41.71801
ago,1960,42.65585
ago,1961,43.13005
ago,1962,43.63031
ago,1963,44.01456
ago,1964,44.15423
ago,1965,44.05588
ago,1966,44.26404
ago,1967,44.24908
ago,1968,44.29622
ago,1969,44.66097
ago,1970,45.3657
ago,1971,45.29626
ago,1972,45.53074
ago,1973,45.8476
ago,1974,45.97731
ago,1975,45.83714
ago,1976,46.09473
ago,1977,45.94394
ago,1978,45.60674
ago,1979,45.38107
ago,1980,45.38914
ago,1981,45.54588
ago,1982,45.90256
ago,1983,46.34218
ago,1984,46.68498
ago,1985,46.85522
ago,1986,47.13934
ago,1987,47.26726
ago,1988,47.2854
ago,1989,47.26564
ago,1990,47.23888
ago,1991,47.38439
ago,1992,47.47042
ago,1993,47.50631
ago,1994,47.4929
ago,1995,47.43144
ago,1996,47.48374
ago,1997,47.47732
ago,1998,47.42114
ago,1999,47.32624
ago,2000,47.20448
ago,2001,47.22207
ago,2002,47.19782
ago,2003,47.14723
ago,2004,47.08995
ago,2005,47.04106
ago,2006,47.14009
ago,2007,47.21622
ago,2008,47.27772
ago,2009,47.3267
ago,2010,47.3613
ago,2011,47.50015
ago,2012,47.59401
ago,2013,47.64865
ago,2014,47.66312
ago,2015,47.63227
ago,2016,47.62573
ago,2017,47.56285
ago,2018,47.44936
ago,2019,47.29236
ago,2020,47.09682
alb,1960,39.9673
alb,1961,40.30637
alb,1962,40.61731
alb,1963,40.88818
alb,1964,41.08159
alb,1965,41.17162
alb,1966,41.28309
alb,1967,41.25641
alb,1968,41.11722
alb,1969,40.90446
alb,1970,40.63973
alb,1971,40.30471
alb,1972,39.97282
alb,1973,39.61279
alb,1974,39.18203
alb,1975,38.6716
alb,1976,38.21955
alb,1977,37.67434
alb,1978,37.08725
alb,1979,36.53068
alb,1980,36.03916
alb,1981,35.60245
alb,1982,35.22372
alb,1983,34.88943
alb,1984,34.58028
alb,1985,34.29298
alb,1986,34.05283
alb,1987,33.85048
alb,1988,33.66542
alb,1989,33.44737
alb,1990,33.14222
alb,1991,33.45283
alb,1992,33.7194
alb,1993,33.91954
alb,1994,34.0848
alb,1995,34.2596
alb,1996,33.50635
alb,1997,32.83046
alb,1998,32.21499
alb,1999,31.60891
alb,2000,30.96572
alb,2001,30.3633
alb,2002,29.69811
alb,2003,28.97531
alb,2004,28.22248
alb,2005,27.45908
alb,2006,26.59449
alb,2007,25.77504
alb,2008,24.99094
alb,2009,24.24727
alb,2010,23.55172
alb,2011,22.45269
alb,2012,21.50194
alb,2013,20.70484
alb,2014,20.0286
alb,2015,19.43755
alb,2016,19.13742
alb,2017,18.75539
alb,2018,18.36267
alb,2019,18.04573
alb,2020,17.83645
are,1960,44.46702
are,1961,42.25349
are,1962,40.00431
are,1963,37.9224
are,1964,36.08959
are,1965,34.49033
are,1966,33.00195
are,1967,31.74516
are,1968,30.689
are,1969,29.7859
are,1970,29.06841
are,1971,26.18891
are,1972,23.92738
are,1973,22.3686
are,1974,21.46238
are,1975,21.07593
are,1976,20.34026
are,1977,19.91147
are,1978,19.92155
are,1979,20.23035
are,1980,20.63381
are,1981,21.45917
are,1982,22.32093
are,1983,23.2523
are,1984,24.21457
are,1985,25.13416
are,1986,25.33205
are,1987,25.25012
are,1988,25.00468
are,1989,24.65624
are,1990,24.22525
are,1991,23.5401
are,1992,22.89697
are,1993,22.29219
are,1994,21.70513
are,1995,21.14373
are,1996,20.83439
are,1997,20.4663
are,1998,20.22823
are,1999,20.12317
are,2000,20.02499
are,2001,18.13351
are,2002,16.48482
are,2003,15.17119
are,2004,14.18774
are,2005,13.47438
are,2006,11.83731
are,2007,10.62951
are,2008,9.85668
are,2009,9.36999
are,2010,8.99498
are,2011,9.30488
are,2012,9.50703
are,2013,9.70342
are,2014,9.95845
are,2015,10.26212
are,2016,10.46207
are,2017,10.56319
are,2018,10.66305
are,2019,10.79465
are,2020,10.93358
arg,1960,31.20122
arg,1961,31.14686
arg,1962,31.03914
arg,1963,30.89132
arg,1964,30.72493
arg,1965,30.55282
arg,1966,30.42741
arg,1967,30.29424
arg,1968,30.16109
arg,1969,30.03756
arg,1970,29.93245
arg,1971,29.86922
arg,1972,29.84049
arg,1973,29.84851
arg,1974,29.89855
arg,1975,29.99435
arg,1976,30.22409
arg,1977,30.50567
arg,1978,30.80812
arg,1979,31.08552
arg,1980,31.31237
arg,1981,31.59664
arg,1982,31.74267
arg,1983,31.81071
arg,1984,31.88148
arg,1985,31.98525
arg,1986,31.93604
arg,1987,31.99315
arg,1988,32.07535
arg,1989,32.07395
arg,1990,31.94865
arg,1991,31.87052
arg,1992,31.66682
arg,1993,31.38614
arg,1994,31.10632
arg,1995,30.86145
arg,1996,30.62133
arg,1997,30.39298
arg,1998,30.17726
arg,1999,29.96375
arg,2000,29.74659
arg,2001,29.48002
arg,2002,29.25009
arg,2003,29.03391
arg,2004,28.80186
arg,2005,28.54137
arg,2006,28.316
arg,2007,28.04287
arg,2008,27.74642
arg,2009,27.46864
arg,2010,27.23196
arg,2011,27.00333
arg,2012,26.81928
arg,2013,26.66466
arg,2014,26.51043
arg,2015,26.3412
arg,2016,26.19703
arg,2017,26.03193
arg,2018,25.85388
arg,2019,25.67676
arg,2020,25.50564
arm,1960,40.60206
arm,1961,41.81205
arm,1962,42.80216
arm,1963,43.54483
arm,1964,44.01938
arm,1965,44.20851
arm,1966,44.11542
arm,1967,43.70377
arm,1968,43.03631
arm,1969,42.22434
arm,1970,41.34575
arm,1971,40.13804
arm,1972,39.07547
arm,1973,38.08837
arm,1974,37.06964
arm,1975,35.98222
arm,1976,35.0783
arm,1977,34.0746
arm,1978,33.08965
arm,1979,32.28268
arm,1980,31.71319
arm,1981,31.35289
arm,1982,31.20685
arm,1983,31.20134
arm,1984,31.22927
arm,1985,31.23794
arm,1986,31.29611
arm,1987,31.36803
arm,1988,31.44181
arm,1989,31.48737
arm,1990,31.45091
arm,1991,31.48139
arm,1992,31.46341
arm,1993,31.40094
arm,1994,31.32082
arm,1995,31.24361
arm,1996,30.82056
arm,1997,30.34603
arm,1998,29.79878
arm,1999,29.16091
arm,2000,28.4453
arm,2001,27.40467
arm,2002,26.4235
arm,2003,25.51446
arm,2004,24.68998
arm,2005,23.95293
arm,2006,23.43262
arm,2007,22.95864
arm,2008,22.56312
arm,2009,22.30375
arm,2010,22.21486
arm,2011,22.22665
arm,2012,22.30223
arm,2013,22.44274
arm,2014,22.62117
arm,2015,22.81026
arm,2016,22.97746
arm,2017,23.16016
arm,2018,23.32832
arm,2019,23.44615
arm,2020,23.49164
atg,1960,46.03677
atg,1961,46.05197
atg,1962,46.11037
atg,1963,46.24568
atg,1964,46.43331
atg,1965,46.62023
atg,1966,46.55568
atg,1967,46.55677
atg,1968,46.65098
atg,1969,46.76568
atg,1970,46.79719
atg,1971,45.77875
atg,1972,44.88053
atg,1973,44.16535
