geo,time,ny_tax_nind_cn
abw,1995,208670000
abw,1996,220930000
abw,1997,228870000
abw,1998,238460000
abw,1999,258180000
abw,2000,258750000
abw,2001,257904000
abw,2002,259083000
abw,2003,280900000
abw,2004,320430000
abw,2005,343547000
abw,2006,379580000
abw,2007,500495000
abw,2008,541562000
abw,2009,505252000
afg,1960,400000000
afg,1961,400000000
afg,1962,400000000
afg,1963,900000000
afg,1964,1000000000
afg,1965,1500000000
afg,1966,2300000000
afg,1967,2800000000
afg,1968,1800000000
afg,1969,2100000000
afg,1970,2700000000
afg,1971,2900000000
afg,1972,2700000000
afg,1973,2900000000
afg,1974,5400000000
afg,1975,4100000000
afg,1976,2900000000
afg,1977,3900000000
afg,1978,4400000000
afg,1979,4800000000
afg,1980,4800000000
afg,1981,5200000000
afg,2002,2570000000
afg,2003,5369000000
afg,2004,7347000000
afg,2005,9446000000
afg,2006,11563000000
afg,2007,13193990000
afg,2008,14330000000
afg,2009,21782000000
afg,2010,27300000000
afg,2011,32477000000
afg,2012,39834102500
afg,2013,46258322500
afg,2014,42852081900
afg,2015,48987798400
afg,2016,58329000000
afg,2017,66829500000
afg,2018,67611748800
afg,2019,68999165300
afg,2020,68999165300
ago,2002,5374000000
ago,2003,3776000000
ago,2004,-8461000000
ago,2005,-6819000000
ago,2006,9126000000
ago,2007,-34640000000
ago,2008,129910000000
ago,2009,129900000000
ago,2010,83655920500
ago,2011,52507230400
ago,2012,-165984000000
ago,2013,-178975000000
ago,2014,76288049000
ago,2015,260371652200
ago,2016,405443448200
ago,2017,514829388900
ago,2018,522598301700
ago,2019,1545893554600
ago,2020,1667154410000
alb,1996,21542000000
alb,1997,26610000000
alb,1998,45694000000
alb,1999,47512000000
alb,2000,59072000000
alb,2001,59756000000
alb,2002,67716000000
alb,2003,81700000000
alb,2004,90117000000
alb,2005,100669000000
alb,2006,117470000000
alb,2007,124229000000
alb,2008,143759000000
alb,2009,154140000000
alb,2010,162160000000
alb,2011,169503000000
alb,2012,178064000000
alb,2013,172355000000
alb,2014,177462000000
alb,2015,174581000000
alb,2016,181276000000
alb,2017,196155000000
alb,2018,205173000000
alb,2019,212904000000
alb,2020,201497860000
and,2000,125300000
and,2001,163170000
and,2002,182850000
and,2003,191430000
and,2004,210080000
and,2005,232840000
and,2006,257740000
and,2007,277170000
and,2008,245360000
and,2009,232200000
and,2010,245050000
and,2011,266580000
and,2012,285460000
and,2013,259090000
and,2014,272500000
and,2015,272520000
and,2016,294040000
and,2017,296800000
and,2018,292190000
and,2019,288100000
and,2020,175160000
arg,1965,0
arg,1966,-0.00001
arg,1967,0
arg,1968,0
arg,1969,0.00001
arg,1970,0
arg,1971,0.00001
arg,1972,0
arg,1973,0.00001
arg,1974,0
arg,1975,0
arg,1976,0.00008
arg,1977,-0.00016
arg,1978,-0.00013
arg,1979,-0.0002
arg,1980,-0.00002
arg,1981,-0.00005
arg,1982,0
arg,1983,0
arg,1984,0
arg,1985,0
arg,1986,0
arg,1987,0
arg,1988,0
arg,1989,-16
arg,1990,-2048
arg,1991,300
arg,1992,-5400
arg,1993,18707079300
arg,1994,20133958300
arg,1995,19419715300
arg,1996,21050157300
arg,1997,23300894700
arg,1998,23598744700
arg,1999,21048781200
arg,2000,20984794700
arg,2001,17808208200
arg,2002,17775671300
arg,2003,24310273400
arg,2004,72687735300
arg,2005,87082383400
arg,2006,108187558700
arg,2007,140144892300
arg,2008,185706854000
arg,2009,201367997500
arg,2010,267767651100
arg,2011,348135444000
arg,2012,425524014500
arg,2013,536469550500
arg,2014,735829815000
arg,2015,945299843100
arg,2016,1280226842400
arg,2017,1666867122700
arg,2018,2266687085500
arg,2019,3461708264200
arg,2020,4436521950800
arm,2012,458234300000
arm,2013,506428100000
arm,2014,546334900000
arm,2015,535801100000
arm,2016,508803600000
arm,2017,572075000000
arm,2018,639224800000
arm,2019,745309000000
arm,2020,672920900000
atg,1977,19880000
atg,1978,24950000
atg,1979,31600000
atg,1980,40040000
atg,1981,46670000
atg,1982,55330000
atg,1983,57720000
atg,1984,65030000
atg,1985,75920000
atg,1986,111810000
atg,1987,126010000
atg,1988,147170000
atg,1989,153820000
atg,1990,163660000
atg,1991,166290000
atg,1992,174210000
atg,1993,184400000
atg,1994,207360000
atg,1995,212880000
atg,1996,240710000
atg,1997,249730000
atg,1998,260060000
atg,1999,261830000
atg,2000,226950000
atg,2001,247340000
atg,2002,263780000
atg,2003,280010000
atg,2004,340870000
atg,2005,353760000
atg,2006,418150000
atg,2007,541600000
atg,2008,520860000
atg,2009,422900000
atg,2010,437870000
atg,2011,437640000
atg,2012,477610000
atg,2013,423710000
atg,2014,447760000
atg,2015,485890000
atg,2016,519320000
atg,2017,518930000
atg,2018,551050000
atg,2019,535730000
atg,2020,476100000
aus,1990,32283000000
aus,1991,32819000000
aus,1992,32433000000
aus,1993,33506000000
aus,1994,37122000000
aus,1995,40261000000
aus,1996,43137000000
aus,1997,45141000000
aus,1998,47011000000
aus,1999,49401000000
aus,2000,52369000000
aus,2001,61118000000
aus,2002,63753000000
aus,2003,70192000000
aus,2004,75127000000
aus,2005,74976000000
aus,2006,79014000000
aus,2007,84579000000
aus,2008,89186000000
aus,2009,82726000000
aus,2010,89939000000
aus,2011,92865000000
aus,2012,92669000000
aus,2013,96267000000
aus,2014,104113000000
aus,2015,108724000000
aus,2016,116820000000
aus,2017,119912000000
aus,2018,124307000000
aus,2019,126319000000
aus,2020,123824000000
aut,1970,1290146000
aut,1971,1485179000
aut,1972,1721170000
aut,1973,5571128000
aut,1974,6063588000
aut,1975,6148427000
aut,1976,6331758000
aut,1977,7104816000
aut,1978,7353540000
aut,1979,7987003000
aut,1980,8604573000
aut,1981,9290391000
aut,1982,9856823000
aut,1983,10639476000
aut,1984,11966706000
aut,1985,12362615000
aut,1986,12629676000
aut,1987,13094967000
aut,1988,14021638000
aut,1989,14917943000
aut,1990,15469870000
aut,1991,16586269000
aut,1992,17440446000
aut,1993,17876402000
aut,1994,18672010000
aut,1995,17788120000
aut,1996,19321270000
aut,1997,20620970000
aut,1998,21270620000
aut,1999,22664050000
aut,2000,22981670000
aut,2001,23448480000
aut,2002,24381860000
aut,2003,24614790000
