geo,time,sg_vaw_1549_zs
afg,2015,46.1
ago,2016,25.9
arm,2016,3.5
aut,2012,4
aze,2006,9.8
bdi,2017,27.9
bel,2012,8
bfa,2010,9.3
bgd,2015,28.8
bgr,2012,9
bol,2016,27.1
caf,2006,26.3
civ,2012,22
cmr,2014,32.7
cod,2014,36.8
col,2015,18.4
com,2012,4.9
cpv,2005,7.8
cyp,2012,3
cze,2012,6
deu,2012,5
dnk,2012,7
dom,2013,16
ecu,2011,10.8
egy,2014,14
esp,2012,2
est,2012,4
eth,2016,19.8
fin,2012,8
fji,2011,29.7
fra,2012,7
fsm,2014,26
gab,2012,31.5
gbr,2012,6
gha,2008,19.2
gmb,2013,7.3
gnq,2011,43.6
grc,2012,8
gtm,2015,8.9
hnd,2012,11
hrv,2012,4
hti,2017,13.9
hun,2012,8
ind,2016,22
irl,2012,4
ita,2012,7
jam,2016,8.52
jor,2012,14.1
ken,2014,25.5
kgz,2012,17.1
khm,2014,10.9
kir,2008,36.1
lao,2014,6.4
lbr,2007,35
ltu,2012,6
lux,2012,3
lva,2012,7
mda,2005,14.6
mdv,2006,6.4
mex,2016,9.5
mhl,2014,20.1
mli,2006,21.5
mlt,2012,5
mmr,2016,11
mng,2017,14.7
moz,2015,15.5
mwi,2016,24.3
nam,2013,20.2
nga,2013,11
nic,2012,7.5
nld,2012,7
npl,2016,11.2
pan,2009,10.1
per,2016,10.8
phl,2017,5.5
plw,2013,9.6
pol,2012,3
prt,2012,6
pry,2008,8
rou,2012,7
rwa,2015,20.7
sen,2017,12.2
slb,2008,41.8
sle,2013,28.7
slv,2014,6.7
stp,2009,26.3
svk,2012,8
svn,2012,2
swe,2012,6
tcd,2015,17.5
tgo,2014,12.7
tjk,2017,19
tls,2016,34.6
ton,2009,18.9
tto,2017,6.74
tur,2014,11
tuv,2007,25
tza,2016,29.6
uga,2016,29.9
ukr,2007,10.2
ury,2013,2.8
vnm,2010,10.8
vut,2009,44
wsm,2000,22
zmb,2014,26.7
zwe,2015,19.9
