geo,time,se_sec_uner_lo_zs
abw,1999,0.24749
abw,2000,7.55948
abw,2001,13.2012
abw,2002,1.00893
abw,2003,5.86592
abw,2004,4.3057
abw,2005,6.07143
abw,2007,3.84737
abw,2008,3.82409
abw,2009,7.42783
afg,1974,80.27309
ago,1982,23.48726
ago,2008,25.70169
ago,2009,25.94461
ago,2010,23.60832
alb,2000,7.12167
alb,2001,6.31571
alb,2013,5.42662
alb,2014,5.24218
alb,2015,3.05841
alb,2016,5.17389
alb,2017,6.07264
alb,2018,3.0568
alb,2019,3.69733
alb,2020,3.54768
are,1978,35.68146
are,1980,29.75308
are,1991,15.87814
are,1992,13.27323
are,1993,9.81704
are,1994,6.54006
are,1995,8.52771
are,1997,13.5203
are,1998,13.698
are,2016,2.26607
are,2017,0.56579
are,2019,0.08784
are,2020,0.71596
arg,1974,35.03887
arg,1975,32.94034
arg,1998,3.57043
arg,1999,2.5971
arg,2000,0.83439
arg,2001,1.48796
arg,2002,2.59471
arg,2003,2.816
arg,2004,1.74856
arg,2005,1.99969
arg,2006,3.08559
arg,2007,2.72104
arg,2008,2.61453
arg,2009,2.42865
arg,2010,1.66972
arg,2011,1.98483
arg,2012,1.11118
arg,2013,0.77256
arg,2014,0.51128
arg,2015,0.38344
arg,2016,0.12941
arg,2017,0.00779
arg,2018,0.11445
arg,2019,0.93901
arm,2005,6.05935
arm,2006,6.21007
arm,2007,5.43893
arm,2009,2.05745
arm,2010,2.48381
arm,2011,5.25777
arm,2016,6.79751
arm,2017,7.37141
arm,2018,8.21479
arm,2019,10.29482
arm,2020,9.77754
atg,2013,2.78765
atg,2014,2.09878
atg,2015,1.2997
atg,2016,5.28153
atg,2017,4.68528
atg,2018,1.43781
atg,2019,2.51633
aus,1993,1.02071
aus,1994,1.45997
aus,1995,1.59851
aus,1996,0.82761
aus,2013,0.61647
aus,2014,0.42192
aus,2015,0.16973
aus,2016,1.09826
aus,2017,1.88277
aus,2018,2.45424
aus,2019,1.97147
aut,1971,4.61921
aut,1972,4.77205
aut,1974,4.22144
aut,1975,2.16779
aut,1976,2.62153
aut,1999,1.70553
aut,2000,0.27184
aut,2002,0.06825
aut,2003,0.06889
aut,2004,0.20859
aut,2005,0.94905
aut,2006,2.21452
aut,2007,2.25822
aut,2008,2.02962
aut,2009,1.6947
aut,2010,1.92084
aut,2011,2.51967
aut,2012,3.52686
aut,2013,3.25781
aut,2014,2.87492
aut,2015,1.97
aut,2016,0.33738
aut,2017,0.15585
aut,2018,0.31221
aut,2019,0.79665
aze,2006,10.36654
aze,2007,11.20977
aze,2008,10.75138
aze,2009,11.0311
aze,2010,11.61457
aze,2011,12.62993
aze,2012,12.8355
aze,2013,12.73805
aze,2014,12.60457
aze,2015,9.79391
aze,2016,5.98042
aze,2017,0.42551
aze,2018,0.52135
aze,2019,0.17285
aze,2020,0.62423
bdi,1980,88.07198
bdi,1982,85.79901
bdi,1983,84.87399
bdi,1984,84.18033
bdi,1985,83.42906
bdi,1986,79.97216
bdi,1987,76.24286
bdi,1993,67.42556
bdi,2009,35.72686
