global,time,sh_sta_suic_fe_p5
world,2000,9.12619
world,2001,8.56028
world,2002,8.16011
world,2003,8.04523
world,2004,8.01123
world,2005,7.93561
world,2006,7.63714
world,2007,7.37453
world,2008,7.19399
world,2009,7.0503
world,2010,6.97224
world,2011,6.77173
world,2012,6.44173
world,2013,6.24547
world,2014,5.99748
world,2015,5.87415
world,2016,5.72798
world,2017,5.65777
world,2018,5.72255
world,2019,5.67933
