geo,time,ne_con_prvt_pp_kd
abw,2017,2061441736.48849
ago,2002,39439916712.9484
ago,2003,42681877866.7527
ago,2004,44372080226.3577
ago,2005,46603995861.812
ago,2006,49591312003.1801
ago,2007,52556872465.1887
ago,2008,56850768942.2373
ago,2009,62716604820.9069
ago,2010,65171605738.46549
ago,2011,71850668589.1515
ago,2012,78923428294.93069
ago,2013,85447744761.68761
ago,2014,96277183645.23901
ago,2015,99125824411.53362
ago,2016,104968296523.2
ago,2017,108012377130.22701
ago,2018,104325903551.782
ago,2019,102657282082.506
ago,2020,98592009100.8513
alb,1996,13232398974.1371
alb,1997,10854483363.0208
alb,1998,10270366775.4713
alb,1999,10571708556.9882
alb,2000,11226966528.4131
alb,2001,11675047583.3092
alb,2002,12512446986.6582
alb,2003,13812863315.8113
alb,2004,14322147663.2491
alb,2005,15237873385.1418
alb,2006,16292983994.5455
alb,2007,18368136215.9954
alb,2008,20228558477.6879
alb,2009,20372939369.8062
alb,2010,20713252250.8278
alb,2011,21080135886.3232
alb,2012,21107325705.4248
alb,2013,21494979189.0005
alb,2014,22099835721.1866
alb,2015,22361216375.3801
alb,2016,22836799203.3382
alb,2017,23394804142.621
alb,2018,24147072885.765
alb,2019,24908902800.28
alb,2020,24311190293.7291
are,2001,188563060318.40799
are,2002,200262373440.34799
are,2003,204258838866.28799
are,2004,227589054280.84
are,2005,233661708964.97296
are,2006,269284661739.93201
are,2007,302409823628.60303
are,2008,338432104766.78699
are,2009,243629008289.32401
are,2010,177078491802.177
are,2011,196567620641.12296
are,2012,175316864384.97699
are,2013,184448752790.82199
are,2014,207173191819.776
are,2015,167649006234.56201
are,2016,170386699635.60501
are,2017,186365387508.51999
are,2018,197731373998.483
are,2019,217417448074.05399
are,2020,190280204435.004
arg,1993,339478162082.48102
arg,1994,360079100790.54797
arg,1995,344315987978.164
arg,1996,363372369569.85602
arg,1997,395990725181.03198
arg,1998,409751710826.89398
arg,1999,401564183853.58398
arg,2000,398915254967.86096
arg,2001,376012134448.82495
arg,2002,322038622781.55298
arg,2003,348345859499.98999
arg,2004,381437385034.74896
arg,2005,409635442672.61798
arg,2006,454516062090.22198
arg,2007,496962606246.65698
arg,2008,532965802434.43903
arg,2009,504198163269.77399
arg,2010,560608814218.98596
arg,2011,613130678547.77002
arg,2012,619938156827.61206
arg,2013,642497780561.27295
arg,2014,614496260868.48401
arg,2015,636963449662.53296
arg,2016,631993412535.56702
arg,2017,658274502104.151
arg,2018,643491460012.14197
arg,2019,596565490922.70898
arg,2020,514432325461.62402
arm,1994,8370846704.02656
arm,1995,9178788123.28634
arm,1996,9554352183.40259
arm,1997,10319768741.2939
arm,1998,10814932686.42
arm,1999,10895659770.1046
arm,2000,11789847633.3802
arm,2001,12638456933.1597
arm,2002,13684886276.5684
arm,2003,14678515464.6697
arm,2004,15984963393.0851
arm,2005,17437896162.2964
arm,2006,18883834302.6678
arm,2007,21380916455.23709
arm,2008,22527498965.9371
arm,2009,21521283574.3811
arm,2010,22339097941.8088
arm,2011,22875228947.4338
arm,2012,24952633426.8217
arm,2013,25377955007.994
arm,2014,25781561611.3451
arm,2015,23836891128.6644
arm,2016,23353881137.9505
arm,2017,26616489004.542
arm,2018,27895494404.4873
arm,2019,31106519065.6492
arm,2020,26787318344.8688
atg,2017,951937033.09213
aus,1990,265687084365.07501
aus,1991,268290404510.198
aus,1992,274551933090.12799
aus,1993,279698102077.14502
aus,1994,285699420806.81097
aus,1995,298344031394.37598
aus,1996,308358445702.04901
aus,1997,317165877230.09601
aus,1998,333121138964.20502
aus,1999,351514799107.35498
aus,2000,366431053904.14398
aus,2001,378742156092.07599
aus,2002,390283012690.37799
aus,2003,406897350547.57202
aus,2004,428483773337.02893
aus,2005,447686771629.47198
aus,2006,462296394161.39697
aus,2007,486611966272.396
aus,2008,509883034054.87299
aus,2009,511212181083.44897
aus,2010,528554007043.14001
aus,2011,550013379013.68799
aus,2012,565730420462.34497
aus,2013,576364207512.19397
aus,2014,588988660998.68201
aus,2015,603928737824.01697
aus,2016,619360525751.375
aus,2017,634310375716.62598
