geo,time,se_prm_nenr_ma
abw,1999,97.20058
abw,2000,98.34398
abw,2002,96.01701
abw,2003,95.10213
abw,2004,96.26574
abw,2005,99.04493
abw,2009,94.12297
afg,1974,44.56145
afg,1993,38.79503
ago,1982,46.92971
ago,1983,44.89727
ago,1998,48.76261
ago,2008,80.44834
ago,2009,80.11782
ago,2010,83.07248
ago,2011,88.90347
alb,1999,97.55622
alb,2000,95.39781
alb,2001,93.3156
alb,2003,91.20947
alb,2004,89.95864
alb,2008,86.27404
alb,2009,84.99766
alb,2010,85.18038
alb,2011,85.88065
alb,2012,88.28107
alb,2013,90.33588
are,1978,79.58904
are,1980,75.70157
are,1981,72.98296
are,1982,78.48933
are,1983,74.74958
are,1984,74.69751
are,1985,74.16793
are,1986,74.54775
are,1987,86.36588
are,1988,90.31656
are,1989,95.15574
are,1990,98.67207
are,1991,98.93055
are,1992,95.9447
are,1993,90.71612
are,1994,88.29795
are,1995,88.9665
are,1996,86.00386
are,1997,82.4154
are,1998,79.09119
are,2007,86.29445
are,2012,85.67866
are,2013,84.3664
arg,1970,94.16335
arg,1974,96.91181
arg,1975,96.55819
arg,1991,96.34115
arm,2002,83.96926
arm,2003,82.3245
arm,2005,80.02131
arm,2006,82.1462
arm,2007,86.67222
arm,2011,94.63208
arm,2012,96.00639
arm,2013,94.74936
arm,2014,93.41226
arm,2015,92.17705
arm,2016,92.01187
arm,2017,91.97348
arm,2018,90.87785
atg,2012,94.70564
atg,2014,91.65465
atg,2015,94.29689
atg,2017,93.6328
aus,1971,96.42732
aus,1973,94.71473
aus,1974,94.04269
aus,1975,97.07882
aus,1976,98.2513
aus,1982,99.12512
aus,1983,98.31969
aus,1984,96.42966
aus,1985,96.24445
aus,1986,96.79883
aus,1987,97.24751
aus,1988,97.85649
aus,1989,97.97229
aus,1990,97.68868
aus,1991,97.10927
aus,1992,96.87792
aus,1993,96.48325
aus,1994,96.16521
aus,1995,94.73492
aus,1996,95.02433
aus,1997,94.44082
aus,1998,93.89348
aus,1999,93.27764
aus,2000,92.99811
aus,2003,93.42278
aus,2004,93.89243
aus,2011,97.1801
aus,2012,97.54392
aus,2017,96.04001
aut,1989,93.86396
aut,2000,90.73421
aut,2001,89.79216
aut,2002,87.79972
aut,2003,86.69818
aut,2004,86.60841
aut,2005,86.87727
aut,2006,87.66842
aut,2007,87.69637
aut,2008,87.45923
