global,time,bm_gsr_nfsv_cd
world,1978,336487573555.97198
world,1979,414773351745.78802
world,1980,497278409118.27002
world,1981,516456633754.17102
world,1982,501620709422.758
world,1983,487964404321.81506
world,1984,495428522079.27197
world,1985,499530191105.19098
world,1986,560074506919.01294
world,1987,646349218908.17798
world,1988,718499312553.11499
world,1989,778785242183.39294
world,1990,937349628641.31995
world,1991,997956466566.11499
world,1992,1101973719961.06006
world,1993,1091211007962.58997
world,1994,1158861127683.95996
world,1995,1333514816621.44995
world,1996,1405392989672.76001
world,1997,1445003053686.19995
world,1998,1452004603687.20996
world,1999,1544028817427.77002
world,2000,1655438600715.84009
world,2001,1670616579825.02002
world,2002,1758353245873.05005
world,2003,1991540273773.02002
world,2004,2390829330486.58984
world,2005,2639819233242.56006
world,2006,2945718567129.43994
world,2007,3468853205474.70947
world,2008,3924119258179.12939
world,2009,3523690833044.45996
world,2010,3852662132272.75977
world,2011,4284970724556.72949
world,2012,4433441291538.26953
world,2013,4693856469654.40918
world,2014,5074193031493.83008
world,2015,4830898479603.01953
world,2016,4864670322935.80957
world,2017,5273041861549.60938
world,2018,5729421063796.15039
world,2019,5883565572962.95996
world,2020,4844759507925.54004
