global,time,se_prm_uner_ma_zs
world,1970,20.95974
world,1971,20.79493
world,1972,20.13889
world,1973,18.70171
world,1974,18.27029
world,1975,17.59939
world,1976,17.03849
world,1977,16.6278
world,1978,16.93312
world,1979,16.50921
world,1980,15.52665
world,1981,15.00641
world,1982,14.71954
world,1983,14.6085
world,1984,14.61784
world,1985,14.41737
world,1986,14.13739
world,1987,14.06865
world,1988,13.60063
world,1989,13.16298
world,1990,13.2699
world,1991,13.13896
world,1992,13.44599
world,1993,13.52833
world,1994,13.65369
world,1995,13.90505
world,1996,14.28418
world,1997,14.23877
world,1998,13.57067
world,1999,12.86382
world,2000,12.2373
world,2001,11.94853
world,2002,11.68041
world,2003,11.18798
world,2004,10.08325
world,2005,9.35131
world,2006,9.18195
world,2007,7.81891
world,2008,7.91521
world,2009,8.2768
world,2010,8.2127
world,2011,8.40129
world,2012,7.98777
world,2013,7.69155
world,2014,8.02623
world,2015,8.17629
world,2016,7.92925
world,2017,7.93075
world,2018,7.55879
world,2019,7.72995
world,2020,8.00887
