geo,time,ne_gdi_totl_cd
abw,1995,411173184.35754
abw,1996,392737430.1676
abw,1997,463128491.62011
abw,1998,527932960.89385
abw,1999,531843575.41899
abw,2000,477653631.28492
abw,2001,455307262.56983
abw,2002,522346368.71508
abw,2003,590502793.29609
abw,2004,641340782.12291
abw,2005,782681564.24581
abw,2006,852513966.48045
abw,2007,850279329.60894
abw,2008,912849162.01117
abw,2009,756983240.22346
abw,2010,691620111.73184
abw,2011,726815642.4581
abw,2012,675418994.41341
abw,2013,649933519.55307
abw,2014,645006464.05779
abw,2015,638178551.30841
abw,2016,613883317.41325
abw,2017,635531018.28189
abw,2018,690880062.32073
afg,1960,86666711.11111
afg,1961,91111155.55556
afg,1962,104444506.66667
afg,1963,106666724.44444
afg,1964,111111155.55556
afg,1965,113333340
afg,1966,117777771.11111
afg,1967,86666666.66667
afg,1968,88888888.88889
afg,1969,91111111.11111
afg,1970,95555562.22222
afg,1971,99999993.33333
afg,1972,104444451.11111
afg,1973,126666660
afg,1974,188888882.22222
afg,1975,231111111.11111
afg,1976,348888882.22222
afg,1977,366666660
afg,1978,457777788.88889
ago,1985,0
ago,1986,0
ago,1987,0
ago,1988,0
ago,1989,0
ago,1990,0
ago,2000,2783919585.678
ago,2001,2724893475.80685
ago,2002,4661062894.26651
ago,2003,5424166591.82938
ago,2004,7276093050.87059
ago,2005,10187920710.5167
ago,2006,12205178422.7822
ago,2007,16793436245.618
ago,2008,27273480876.5163
ago,2009,30106131295.0502
ago,2010,23629203640.253
ago,2011,29539702140.2079
ago,2012,34148595723.1743
ago,2013,35740017532.4265
ago,2014,40071528089.85329
ago,2015,39741120210.0271
ago,2016,27520561236.2242
ago,2017,29468850296.5356
ago,2018,21675315209.4258
ago,2019,17691775088.275
ago,2020,9784394115.57593
alb,1984,611538478.63175
alb,1985,643706276.1206
alb,1986,671875012.5
alb,1987,612875012.5
alb,1988,614499962.5
alb,1989,740750012.5
alb,1990,615888125
alb,1991,83600694.44444
alb,1992,36891479.02576
alb,1993,162105372.6883
alb,1994,355435600.95663
alb,1995,509144791.39135
alb,1996,577976514.58532
alb,1997,376257327.88003
alb,1998,502639653.34745
alb,1999,633902317.16148
alb,2000,1071819204.48864
alb,2001,1372290895.16915
alb,2002,1533305461.74018
alb,2003,1902121187.28198
alb,2004,2456928760.52151
alb,2005,2968773399.09863
alb,2006,3175677295.58812
alb,2007,3679616246.7557
alb,2008,4608745258.93204
alb,2009,4162218869.40253
alb,2010,3614891660.01999
alb,2011,4049450819.5584
alb,2012,3490029320.36286
alb,2013,3584048805.13906
alb,2014,3396286215.39628
alb,2015,2939976357.89292
alb,2016,2991848400.02417
alb,2017,3261763643.99664
alb,2018,3623931004.21153
alb,2019,3632298990.99506
are,2001,23247802287.2703
are,2002,24758811082.369
are,2003,27517552893.1246
are,2004,29533120000
are,2005,36424851681.4159
are,2006,42802745377.808
are,2007,64992757985.0238
are,2008,79178107855.6841
are,2009,80206027365.55478
are,2010,78593555316.5419
are,2011,81219427147.71948
are,2012,81978431095.9837
are,2013,75126823335.6024
are,2014,89369188618.1076
are,2015,91822890156.56911
are,2016,92902151858.4071
are,2017,97541306140.23151
are,2018,99269102573.179
are,2019,93724842259.65881
arg,1962,5313345058.38326
arg,1963,3338843016.44164
arg,1964,5498448879.20396
arg,1965,6357058745.58187
arg,1966,5881428621.0885
arg,1967,5146060702.23671
arg,1968,5734285805.39451
arg,1969,7498571825.73388
arg,1970,7719211096.5115
arg,1971,8027999890.81471
arg,1972,8298250320.65817
arg,1973,10978444355.8423
arg,1974,16124666971.2541
arg,1975,15438486959.3817
arg,1976,15724100557.6079
arg,1977,17569000350.9151
arg,1978,16147130586.8274
arg,1979,17906415044.079
arg,1980,19438878223.106
arg,1981,17852632104.7179
arg,1982,18341049876.29729
arg,1983,21718898273.9138
arg,1984,15790000398.889
arg,1985,15551667059.5348
arg,1986,19371110817.4477
arg,1987,21726666839.1419
arg,1988,23524999816.2601
arg,1989,11889983497.8928
arg,1990,19785065005.7631
arg,1991,27769271211.32669
arg,1992,38213203210.1757
arg,1993,46609970270.2703
arg,1994,51399500500
arg,1995,47736933000
arg,1996,53406319800
arg,1997,60990966300
arg,1998,62691747400
arg,1999,50645509000
arg,2000,49830828800
arg,2001,41986461000
arg,2002,10606870818.4831
arg,2003,18049680786.0707
arg,2004,28899558549.9966
arg,2005,37537987445.4148
arg,2006,43442829424.3763
arg,2007,57791082382.3567
arg,2008,70766944271.4722
arg,2009,53453089198.9967
arg,2010,75005496430.93871
arg,2011,97541873555.38788
arg,2012,90097938093.75969
arg,2013,95532250251.422
arg,2014,90857938989.90829
arg,2015,101527895313.53
arg,2016,98478037375.83168
arg,2017,117221303024.265
arg,2018,87192948627.86969
arg,2019,68050916712.0971
arg,2020,54577133372.3356
arm,1990,1064047261.03177
arm,1991,823376623.37662
arm,1992,20763233.48379
arm,1993,118596041.57767
arm,1994,367483703.32458
arm,1995,305535851.69728
arm,1996,336887740.31494
arm,1997,381439054.21932
arm,1998,429617443.01288
arm,1999,383285986.61832
arm,2000,419059322.44229
arm,2001,485221417.50441
arm,2002,604023894.65422
arm,2003,795744250.73863
arm,2004,1041601837.09813
arm,2005,1752674590.42415
arm,2006,2695863911.29323
arm,2007,4083144220.15259
arm,2008,5591113032.87191
arm,2009,3558197968.36243
arm,2010,3594356909.54757
arm,2011,3237544392.51019
arm,2012,2620949363.30781
arm,2013,2463681600.05586
arm,2014,2470857362.40496
arm,2015,2187762845.65793
arm,2016,1899939894.46567
arm,2017,2123558470.35651
arm,2018,2790546512.65591
arm,2019,2370918342.17895
arm,2020,2342728936.01732
atg,1993,120000000
atg,1994,128518518.51852
atg,1995,140370370.37037
atg,1996,160370370.37037
atg,1997,176666666.66667
atg,1998,201111111.11111
atg,1999,221481481.48148
atg,2000,239629629.62963
atg,2001,164074074.07407
atg,2002,180370370.37037
atg,2003,198518518.51852
atg,2004,216296296.2963
atg,2005,275185185.18519
atg,2006,418888888.88889
atg,2007,490370370.37037
atg,2008,512592592.59259
atg,2009,462962962.96296
atg,2010,322962962.96296
atg,2011,235925925.92593
atg,2012,265555555.55556
atg,2013,280370370.37037
atg,2014,311980222.22222
atg,2015,319849629.62963
atg,2016,390500851.85185
atg,2017,478079407.40741
atg,2018,593774629.62963
atg,2019,706740259.25926
atg,2020,789994259.25926
aus,1960,5874118042.33397
aus,1961,6522566916.78799
aus,1962,5662448202.48628
aus,1963,6639041326.01635
aus,1964,7304289394.10908
aus,1965,8710941874.79001
aus,1966,8905812520.99899
aus,1967,10021278978.609
aus,1968,10790682047.2617
aus,1969,12337327808.2652
aus,1970,13628625825.9604
aus,1971,14512263411.3563
aus,1972,15834112149.5327
aus,1973,18120435618.1935
aus,1974,27195283714.0752
aus,1975,26083572306.4318
aus,1976,27765032144.2077
aus,1977,29755677907.777
aus,1978,30592149785.6982
aus,1979,37570146540.952
aus,1980,40626183844.0111
aus,1981,50727969348.659
aus,1982,57890323292.508
aus,1983,44852597098.7365
aus,1984,51535953631.58849
aus,1985,50582956201.58009
aus,1986,51966284275.3218
aus,1987,51833642138.69769
aus,1988,66049912689.17351
aus,1989,88793257878.02299
aus,1990,90133897652.94339
aus,1991,78951416686.28841
aus,1992,72740905944.78198
aus,1993,73669898819.5616
aus,1994,78349360083.01628
aus,1995,95701663201.66319
aus,1996,99488619119.87859
aus,1997,108278290812.334
aus,1998,102495421555.993
aus,1999,101882441408.698
aus,2000,109252025372.103
aus,2001,88808629387.14182
aus,2002,96612076182.50307
aus,2003,121329644729.179
aus,2004,166365770379.85501
aus,2005,191035182679.29599
aus,2006,205861784965.55896
aus,2007,235146423804.664
aus,2008,302067144136.07898
aus,2009,254150346046.23801
aus,2010,307682550867.612
aus,2011,370063097702.84894
aus,2012,428848216127.03601
aus,2013,439550630963.37299
aus,2014,392345543009.27197
aus,2015,354962975289.12598
aus,2016,306660358130.73199
aus,2017,319788822686.47699
aus,2018,350782885047.67102
aus,2019,324146760120.15399
aus,2020,295695133395.89801
aut,1970,4771495104.52501
aut,1971,5541740279.76649
aut,1972,7058711828.085
aut,1973,9517022981.2355
aut,1974,11444997055.3592
aut,1975,10879523583.7876
aut,1976,12248654598.4506
aut,1977,15309730247.2733
aut,1978,16461066995.1673
aut,1979,21696574369.5317
aut,1980,23617236758.1366
aut,1981,19127014860.8951
aut,1982,17519558764.2171
aut,1983,16618430366.1713
aut,1984,16163509387.2498
aut,1985,16964551742.4847
aut,1986,23505006759.8017
aut,1987,29871903569.8737
aut,1988,34140480329.8785
aut,1989,35233812792.5117
aut,1990,44427926903.0618
aut,1991,46746366529.1691
aut,1992,51115807663.411
aut,1993,48063635395.7175
aut,1994,53086308878.4484
aut,1995,64509635594.377
aut,1996,62486378996.6207
aut,1997,55780133047.6942
aut,1998,56978190306.803
aut,1999,56742769390.5716
aut,2000,51151223869.9138
aut,2001,49694720840.2363
aut,2002,50688642610.5844
aut,2003,64017705669.2077
aut,2004,72533785056.5098
aut,2005,75309760547.85989
aut,2006,79396824794.7881
aut,2007,95678567534.58461
aut,2008,105712137732.312
aut,2009,91501841483.1445
aut,2010,88684956533.0002
aut,2011,104210859701.265
aut,2012,98162711032.4297
aut,2013,102055883866.071
aut,2014,104147035170.811
aut,2015,90930239902.46089
aut,2016,96015598610.72008
aut,2017,103641074465.70599
aut,2018,117080774865.569
aut,2019,113049495272.078
aut,2020,112219157207.767
aze,1992,-3092592.59259
aze,1993,342220000
aze,1994,182732484.07643
aze,1995,574827234.62105
aze,1996,921190282.45961
aze,1997,1356542466.44085
aze,1998,1483587490.30757
aze,1999,1213834951.45631
aze,2000,1090075994.63567
aze,2001,1180178245.46333
aze,2002,2156140711.7877
aze,2003,3869157926.89136
aze,2004,5033784471.35443
aze,2005,5501586629.99788
aze,2006,6265390642.48937
aze,2007,7114089266.9852
aze,2008,9132302823.75852
aze,2009,8392634983.82682
aze,2010,9555195614.25368
aze,2011,13366974800.5572
aze,2012,15551171079.4297
aze,2013,19029063097.5143
aze,2014,20699732245.3143
aze,2015,14814952176.4591
aze,2016,9724885630.13098
aze,2017,9962584243.55101
aze,2018,9483588235.29412
aze,2019,9783117647.05882
aze,2020,10346529411.7647
bdi,1960,12250000
bdi,1961,14000000
bdi,1962,15750000
bdi,1963,14000000
bdi,1964,14000000
bdi,1965,9168592.59259
bdi,1966,11196571.42857
bdi,1967,12216000
bdi,1968,15003428.57143
bdi,1969,15765714.28571
bdi,1970,10997714.28571
bdi,1971,19235428.57143
bdi,1972,7852571.42857
bdi,1973,16165996.05128
bdi,1974,13991111.11111
bdi,1975,31911111.11111
bdi,1976,40753623.18841
bdi,1977,61304333.33333
bdi,1978,85656666.66667
bdi,1979,116718888.88889
bdi,1980,127711111.11111
bdi,1981,164797777.77778
bdi,1982,146485555.55556
bdi,1983,247197417.96665
bdi,1984,181346587.58667
bdi,1985,159400115.99967
bdi,1986,139931680.82684
bdi,1987,255851408.22273
bdi,1988,162740838.34894
bdi,1989,183384068.52086
bdi,1990,164573297.13001
bdi,1991,168219356.18936
bdi,1992,115216775.56252
bdi,1993,108319604.61285
bdi,1994,64512809.55265
bdi,1995,63661624.45247
bdi,1996,71345995.04542
bdi,1997,59316021.00184
bdi,1998,60522710.75638
bdi,1999,47554830.00923
bdi,2000,24209416.23767
bdi,2001,39177455.28994
bdi,2002,32592023.71595
bdi,2003,61742809.11123
bdi,2004,94702564.24231
bdi,2005,203314574.3087
bdi,2006,235739735.7166
bdi,2007,205958651.02794
bdi,2008,216130410.22162
bdi,2009,338028841.65169
bdi,2010,348722179.83157
bdi,2011,365461634.94223
bdi,2012,380895609.69469
bdi,2013,358425887.41442
bdi,2014,384221122.48072
bdi,2015,378041365.01706
bdi,2016,251160237.29396
bdi,2017,242004728.38452
bdi,2018,296294777.73928
bdi,2019,322692791.48853
bdi,2020,323334102.231
bel,1970,7920173457.03913
bel,1971,8516198503.41255
bel,1972,9882648703.14362
bel,1973,13174221693.2312
bel,1974,16974109362.0547
bel,1975,17491570692.1136
bel,1976,19183382445.1411
bel,1977,22063809791.7839
bel,1978,26750690406.04589
bel,1979,30192670610.89709
bel,1980,33679664781.3492
bel,1981,23640708387.6575
bel,1982,19891607805.0503
bel,1983,16354968836.2919
bel,1984,16518434096.6211
bel,1985,16371354711.5973
bel,1986,22282198844.1394
bel,1987,29333124797.4068
bel,1988,35480165660.9984
bel,1989,38634424651.9247
bel,1990,49990834138.0975
bel,1991,48081293561.7247
bel,1992,53043104140.527
bel,1993,49285735774.25369
bel,1994,53905776464.9144
bel,1995,62762999452.6546
bel,1996,60393355048.8599
bel,1997,56354758682.9048
bel,1998,57777617248.2774
bel,1999,58593404930.1932
bel,2000,56316259202.6668
bel,2001,53584708567.2835
bel,2002,53607884006.0785
bel,2003,66685072366.745
bel,2004,83690121031.69908
bel,2005,91341356615.7198
bel,2006,97862125665.1763
bel,2007,115862269152.353
bel,2008,134178198018.437
bel,2009,107153322691.09399
bel,2010,111337132530
bel,2011,128252251484.436
bel,2012,117538249252.14799
bel,2013,117028316331.726
bel,2014,123868881729.09801
bel,2015,109240420185.15601
bel,2016,115455750565.448
bel,2017,122958227194.94099
bel,2018,137821997016.70599
bel,2019,133633575341.961
bel,2020,126087256906.14799
ben,1960,25842781.11594
ben,1961,25835932.13898
ben,1962,26266053.47697
ben,1963,29498340.92738
ben,1964,26264627.76377
ben,1965,25446737.11718
ben,1966,26591675.13302
ben,1967,36211250.85315
ben,1968,40381361.72079
ben,1969,41883268.07986
ben,1970,38675397.99662
ben,1971,34464412.13481
ben,1972,54835265.2646
ben,1973,65952052.85855
ben,1974,101119757.11318
ben,1975,130650091.52506
ben,1976,116300238.33388
ben,1977,133140835.81183
ben,1978,149209484.88384
ben,1979,225647042.8955
ben,1980,212987905.59997
ben,1981,202405678.03144
ben,1982,349962859.81127
ben,1983,189730921.41519
ben,1984,134338256.62817
ben,1985,93486441.12691
ben,1986,179898719.60021
ben,1987,201972073.61766
ben,1988,253296823.01253
ben,1989,177528295.97224
ben,1990,275578098.96836
ben,1991,287597361.14218
ben,1992,230920741.34348
ben,1993,365251614.79659
ben,1994,284492908.65153
ben,1995,464729105.01166
ben,1996,414403538.32765
ben,1997,420653263.47415
ben,1998,445725914.89678
ben,1999,670282104.19526
ben,2000,563494377.70343
ben,2001,650854241.75963
ben,2002,622177180.42557
ben,2003,811150302.6225
ben,2004,942072862.56632
ben,2005,793769670.43104
ben,2006,905533909.90028
ben,2007,1337834320.69242
ben,2008,1344876020.6278
ben,2009,1447716896.94136
