geo,time,sh_mlr_incd_p3
afg,2000,81.96956
afg,2001,78.83207
afg,2002,79.38579
afg,2003,68.09156
afg,2004,37.61647
afg,2005,27.07907
afg,2006,20.52607
afg,2007,21.66777
afg,2008,18.85518
afg,2009,12.56367
afg,2010,12.98047
afg,2011,15.60724
afg,2012,9.18641
afg,2013,11.24214
afg,2014,12.40709
afg,2015,13.88186
afg,2016,26.88333
afg,2017,28.55415
afg,2018,22.10977
afg,2019,14.10089
afg,2020,8.43681
ago,2000,325.70361
ago,2001,326.6507
ago,2002,309.12094
ago,2003,313.73099
ago,2004,313.73258
ago,2005,316.02213
ago,2006,301.36296
ago,2007,274.33271
ago,2008,233.454
ago,2009,196.81269
ago,2010,172.71906
ago,2011,157.17276
ago,2012,154.21633
ago,2013,160.69835
ago,2014,166.77967
ago,2015,176.68354
ago,2016,189.45218
ago,2017,208.94876
ago,2018,214.24721
ago,2019,227.25373
ago,2020,251.58232
are,2012,0
are,2013,0
are,2014,0
are,2015,0
are,2016,0
are,2017,0
are,2018,0
are,2019,0
are,2020,0
arg,2000,2.38673
arg,2001,1.15357
arg,2002,0.66345
arg,2003,0.65113
arg,2004,0.60273
arg,2005,1.18788
arg,2006,0.87555
arg,2007,1.65305
arg,2008,0.52395
arg,2009,0.45452
arg,2010,0.26409
arg,2011,0
arg,2012,0
arg,2013,0
arg,2014,0
arg,2015,0
arg,2016,0
arg,2017,0
arg,2018,0
arg,2019,0
arg,2020,0
arm,2000,0.04593
arm,2001,0.0259
arm,2002,0.01714
arm,2003,0.00961
arm,2004,0.01566
arm,2005,0.00235
arm,2007,0
arm,2008,0
arm,2010,0
arm,2012,0
arm,2014,0
arm,2015,0
arm,2016,0
arm,2017,0
arm,2018,0
arm,2019,0
aze,2000,8.16816
aze,2001,5.59041
aze,2002,2.6527
aze,2003,2.49594
aze,2004,1.98636
aze,2005,1.23225
aze,2006,0.71035
aze,2007,0.53823
aze,2008,0.35485
aze,2009,0.38001
aze,2010,0.24068
aze,2011,0.01901
aze,2012,0.01408
aze,2013,0
aze,2014,0
aze,2015,0
aze,2016,0
aze,2017,0
aze,2018,0
aze,2019,0
bdi,2000,477.77075
bdi,2001,468.93777
bdi,2002,430.5758
bdi,2003,383.65034
bdi,2004,331.54549
bdi,2005,292.63596
bdi,2006,261.97888
bdi,2007,223.52283
bdi,2008,197.28249
bdi,2009,174.82785
bdi,2010,169.3152
bdi,2011,164.90445
bdi,2012,164.60862
bdi,2013,170.30415
bdi,2014,176.21698
bdi,2015,194.27287
bdi,2016,228.89946
bdi,2017,250.05731
bdi,2018,288.4431
bdi,2019,297.13569
bdi,2020,294.86869
ben,2000,423.34268
ben,2001,432.80171
ben,2002,448.66231
ben,2003,460.23698
ben,2004,479.13349
ben,2005,486.09504
ben,2006,485.58646
ben,2007,482.00405
ben,2008,467.39436
ben,2009,442.7175
ben,2010,416.37811
ben,2011,387.12009
ben,2012,365.442
ben,2013,359.51664
ben,2014,364.24591
ben,2015,386.13546
ben,2016,418.49429
ben,2017,422.17825
ben,2018,409.78465
ben,2019,401.29984
ben,2020,388.30695
bfa,2000,603.21102
bfa,2001,601.93775
bfa,2002,595.85205
bfa,2003,585.12327
bfa,2004,562.41129
bfa,2005,533.84508
bfa,2006,518.07371
bfa,2007,526.30955
bfa,2008,555.74349
bfa,2009,571.97087
bfa,2010,571.28917
bfa,2011,557.08801
bfa,2012,534.15252
bfa,2013,487.19908
bfa,2014,448.0787
bfa,2015,423.61695
bfa,2016,382.63151
bfa,2017,369.67023
bfa,2018,369.20799
bfa,2019,366.08148
bfa,2020,389.92401
bgd,2000,6.87926
bgd,2001,6.87925
bgd,2002,6.87922
bgd,2003,6.87926
bgd,2004,6.87922
bgd,2005,6.87924
bgd,2006,4.52306
bgd,2007,8.27476
bgd,2008,7.80066
bgd,2009,5.1368
bgd,2010,4.3675
bgd,2011,3.95182
bgd,2012,2.17858
bgd,2013,1.92336
bgd,2014,3.98874
bgd,2015,2.70666
bgd,2016,1.86145
bgd,2017,1.94112
bgd,2018,0.71441
bgd,2019,1.20931
bgd,2020,0.42605
blz,2000,8.70824
blz,2001,6.60242
blz,2002,6.26357
blz,2003,7.12192
blz,2004,5.58712
blz,2005,7.91033
blz,2006,4.19852
blz,2007,4.09536
blz,2008,2.5507
blz,2009,1.17912
blz,2010,0.67416
blz,2011,0.31598
blz,2012,0.1415
blz,2013,0.08384
blz,2014,0.07793
blz,2015,0.03614
blz,2016,0.01574
blz,2017,0.027
blz,2018,0.01135
blz,2019,0
blz,2020,0
bol,2000,11.95224
bol,2001,5.73653
bol,2002,4.98392
bol,2003,6.82325
bol,2004,4.9111
bol,2005,6.51702
bol,2006,6.03927
bol,2007,4.56579
bol,2008,2.99524
bol,2009,2.97563
bol,2010,4.09301
bol,2011,2.08922
bol,2012,2.13422
bol,2013,2.28027
bol,2014,2.26343
bol,2015,1.88897
bol,2016,1.50056
bol,2017,1.22
bol,2018,1.40547
bol,2019,2.42268
bol,2020,3.11687
bra,2000,21.44047
bra,2001,12.98592
bra,2002,11.17266
bra,2003,12.61678
bra,2004,13.83382
bra,2005,17.42217
bra,2006,15.29356
bra,2007,13.84883
bra,2008,8.61148
bra,2009,8.35535
bra,2010,9.81687
bra,2011,7.0837
bra,2012,6.37975
bra,2013,4.84385
bra,2014,3.5616
bra,2015,3.96526
bra,2016,3.15456
bra,2017,5.23609
bra,2018,5.14584
bra,2019,4.16992
bra,2020,3.87251
btn,2000,13.57037
btn,2001,13.39169
btn,2002,14.28296
btn,2003,8.19198
btn,2004,5.64819
btn,2005,3.80153
btn,2006,3.83984
btn,2007,1.61177
btn,2008,0.66198
btn,2009,2.10573
btn,2010,0.8595
btn,2011,0.37814
btn,2012,0.15794
btn,2013,0.02854
btn,2014,0.03571
btn,2015,0.06312
btn,2016,0.02751
btn,2017,0.01994
btn,2018,0.01075
btn,2019,0.00354
btn,2020,0.03853
bwa,2000,17.57326
bwa,2001,6.93342
bwa,2002,3.24119
bwa,2003,1.61932
bwa,2004,1.03972
bwa,2005,1.22909
bwa,2006,3.94439
bwa,2007,1.03909
bwa,2008,1.9346
bwa,2009,2.09941
bwa,2010,1.69195
bwa,2011,0.51041
bwa,2012,0.22482
bwa,2013,0.52946
bwa,2014,1.49706
bwa,2015,0.3229
bwa,2016,0.9183
bwa,2017,1.99737
bwa,2018,0.53734
bwa,2019,0.16827
bwa,2020,1.12823
caf,2000,441.96427
caf,2001,433.93634
caf,2002,434.42503
caf,2003,438.87395
caf,2004,446.47127
caf,2005,444.80584
caf,2006,440.10466
caf,2007,432.30497
caf,2008,422.80609
caf,2009,409.57686
caf,2010,395.60177
caf,2011,385.81201
caf,2012,377.72492
caf,2013,371.19029
caf,2014,362.65479
caf,2015,346.44286
caf,2016,334.1203
caf,2017,328.6994
caf,2018,324.66722
caf,2019,322.87275
caf,2020,335.99447
chn,2000,0.01479
chn,2001,0.03887
chn,2002,0.04642
chn,2003,0.05151
chn,2004,0.04888
chn,2005,0.0392
chn,2006,0.06287
chn,2007,0.05177
chn,2008,0.02925
chn,2009,0.01623
chn,2010,0.00867
chn,2011,0.00226
chn,2012,0.00042
chn,2013,0.00014
chn,2014,0.00009
chn,2015,0.00007
chn,2016,0
chn,2017,0
chn,2018,0
chn,2019,0
chn,2020,0
civ,2000,510.66962
civ,2001,521.9457
civ,2002,523.07812
civ,2003,521.56539
civ,2004,515.90026
civ,2005,486.07795
civ,2006,475.74177
civ,2007,471.28617
civ,2008,477.93081
civ,2009,485.25289
civ,2010,481.86169
civ,2011,466.61203
civ,2012,382.51038
civ,2013,294.24956
civ,2014,265.47325
civ,2015,247.73557
civ,2016,251.31221
civ,2017,259.98398
civ,2018,272.33597
civ,2019,281.18709
civ,2020,287.04686
cmr,2000,403.73151
cmr,2001,407.10325
cmr,2002,401.98807
cmr,2003,416.4662
cmr,2004,433.27554
cmr,2005,431.84485
cmr,2006,419.12903
cmr,2007,399.78809
cmr,2008,363.4478
cmr,2009,315.4641
cmr,2010,290.87033
cmr,2011,268.44288
cmr,2012,258.02858
cmr,2013,262.10338
cmr,2014,261.89959
cmr,2015,261.29851
cmr,2016,257.61199
cmr,2017,250.56885
cmr,2018,247.33477
cmr,2019,244.10309
cmr,2020,259.95816
cod,2000,469.52373
cod,2001,469.83413
cod,2002,470.33801
cod,2003,474.5093
cod,2004,481.2416
cod,2005,481.68907
cod,2006,473.91407
cod,2007,464.05513
cod,2008,444.96345
cod,2009,413.96724
cod,2010,389.91272
cod,2011,365.71904
cod,2012,345.52394
cod,2013,326.49209
cod,2014,307.50466
cod,2015,295.76354
cod,2016,297.48054
cod,2017,308.21041
cod,2018,320.87887
cod,2019,320.67469
cod,2020,324.20743
cog,2000,355.36097
cog,2001,351.27551
cog,2002,319.89327
cog,2003,314.45633
cog,2004,308.72835
cog,2005,287.13403
cog,2006,263.65482
cog,2007,241.40668
cog,2008,219.01803
cog,2009,206.18565
cog,2010,201.13329
cog,2011,198.48199
cog,2012,195.69167
cog,2013,193.9492
cog,2014,186.50001
cog,2015,184.01419
cog,2016,190.02404
cog,2017,205.83869
cog,2018,217.63234
cog,2019,215.91713
cog,2020,213.17713
col,2000,24.01729
col,2001,37.36693
col,2002,32.20459
col,2003,27.68084
col,2004,21.19805
col,2005,17.67665
col,2006,17.29545
col,2007,17.886
col,2008,11.22376
col,2009,11.15904
col,2010,16.43692
col,2011,8.91557
col,2012,8.25198
col,2013,7.02823
col,2014,5.48404
col,2015,8.06427
col,2016,10.83402
col,2017,7.47709
col,2018,8.53402
col,2019,10.74605
col,2020,9.40926
com,2000,65.10276
com,2001,63.56416
com,2002,62.0689
com,2003,60.60736
com,2004,59.17653
com,2005,57.77396
