global,time,ip_jrn_artc_sc
world,2000,1066335.29642
world,2001,1104250.90693
world,2002,1152057.78733
world,2003,1207772.9047
world,2004,1322286.64354
world,2005,1486355.74391
world,2006,1567054.35786
world,2007,1658093.92769
world,2008,1747322.65225
world,2009,1851232.14922
world,2010,1940650.37985
world,2011,2043595.8494
world,2012,2102868.28512
world,2013,2175382.62538
world,2014,2263555.92859
world,2015,2294508.53452
world,2016,2376369.03389
world,2017,2464402.26047
world,2018,2554318.67158
