global,time,sh_sta_odfc_zs
world,2000,21.96218
world,2001,21.17231
world,2002,20.33609
world,2003,19.57893
world,2004,18.81552
world,2005,17.99223
world,2006,17.11555
world,2007,16.33814
world,2008,15.53747
world,2009,14.74919
world,2010,13.96
world,2011,13.25259
world,2012,12.45666
world,2013,11.66255
world,2014,10.8679
world,2015,10.12846
world,2016,9.33719
world,2017,8.69099
world,2018,7.92607
world,2019,7.18343
world,2020,6.47162
