global,time,gc_xpn_intp_rv_zs
world,2002,10.01013
world,2003,9.04358
world,2004,7.97672
world,2005,6.30082
world,2006,5.8007
world,2007,5.62539
world,2008,4.84493
world,2009,5.49033
world,2010,5.16337
world,2011,5.38883
world,2012,5.2767
world,2013,5.35197
world,2014,5.18624
world,2015,6.10624
world,2016,6.16222
world,2017,6.02499
world,2018,6.05096
world,2019,5.63924
