global,time,en_atm_co2e_gf_kt
world,1960,975070.95712
world,1961,1029718.03951
world,1962,1131368.83947
world,1963,1225205.84835
world,1964,1348665.89759
world,1965,1439240.86682
world,1966,1566721.84882
world,1967,1673974.19347
world,1968,1817652.79295
world,1969,1987612.0194
world,1970,2075284.5983
world,1971,2231486.00945
world,1972,2350296.91064
world,1973,2428529.96177
world,1974,2459300.41077
world,1975,2467434.20253
world,1976,2612520.87606
world,1977,2655363.76678
world,1978,2792921.23106
world,1979,2943150.71417
world,1980,3030954.6547
world,1981,3083024.35646
world,1982,3022264.51397
world,1983,3068544.01183
world,1984,3322459.67538
world,1985,3464304.66664
world,1986,3403900.75083
world,1987,3681832.78373
world,1988,3876844.76368
world,1989,4072637.72103
world,1990,4227305.29635
world,1991,4384284.68218
world,1992,4035709.00566
world,1993,4142077.12968
world,1994,4149536.1423
world,1995,4270944.7318
world,1996,4439930.1169
world,1997,4454172.79882
world,1998,4483282.68113
world,1999,4695608.62907
world,2000,4827174.8222
world,2001,4855798.64811
world,2002,4990227.14728
world,2003,5188889.05188
world,2004,5336288.71566
world,2005,5496794.5637
world,2006,5621251.56638
world,2007,5841716.04023
world,2008,5997793.07512
world,2009,5889266.33916
world,2010,6348233.05349
world,2011,6480915.63613
world,2012,6587834.08303
world,2013,6695602.94584
world,2014,6757742.72466
world,2015,6887191.68666
world,2016,7056781.13419
